id,buildingblock1_smiles,buildingblock2_smiles,buildingblock3_smiles,molecule_smiles,protein_name,binds
12,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCNC(=O)CN.Cl,C#CCOc1ccc(CNc2nc(NCC(=O)NCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
13,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCNC(=O)CN.Cl,C#CCOc1ccc(CNc2nc(NCC(=O)NCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
14,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCNC(=O)CN.Cl,C#CCOc1ccc(CNc2nc(NCC(=O)NCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
15,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCOC(C)CN,C#CCOc1ccc(CNc2nc(NCC(C)OCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
16,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCOC(C)CN,C#CCOc1ccc(CNc2nc(NCC(C)OCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
17,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCOC(C)CN,C#CCOc1ccc(CNc2nc(NCC(C)OCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
18,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCOCCCN,C#CCOc1ccc(CNc2nc(NCCCOCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
19,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCOCCCN,C#CCOc1ccc(CNc2nc(NCCCOCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
20,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCOCCCN,C#CCOc1ccc(CNc2nc(NCCCOCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
21,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCOCCN,C#CCOc1ccc(CNc2nc(NCCOCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
22,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCOCCN,C#CCOc1ccc(CNc2nc(NCCOCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
23,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,C=CCOCCN,C#CCOc1ccc(CNc2nc(NCCOCC=C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
24,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)OC(=O)N1CCC(n2cc(N)cn2)CC1,C#CCOc1ccc(CNc2nc(Nc3cnn(C4CCN(C(=O)OC(C)(C)C)CC4)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
25,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)OC(=O)N1CCC(n2cc(N)cn2)CC1,C#CCOc1ccc(CNc2nc(Nc3cnn(C4CCN(C(=O)OC(C)(C)C)CC4)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
26,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)OC(=O)N1CCC(n2cc(N)cn2)CC1,C#CCOc1ccc(CNc2nc(Nc3cnn(C4CCN(C(=O)OC(C)(C)C)CC4)c3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
27,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)OC(=O)N1Cc2c(N)n[nH]c2C1(C)C,C#CCOc1ccc(CNc2nc(Nc3n[nH]c4c3CN(C(=O)OC(C)(C)C)C4(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
28,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)OC(=O)N1Cc2c(N)n[nH]c2C1(C)C,C#CCOc1ccc(CNc2nc(Nc3n[nH]c4c3CN(C(=O)OC(C)(C)C)C4(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
29,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)OC(=O)N1Cc2c(N)n[nH]c2C1(C)C,C#CCOc1ccc(CNc2nc(Nc3n[nH]c4c3CN(C(=O)OC(C)(C)C)C4(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
30,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1cc(N)n[nH]1,C#CCOc1ccc(CNc2nc(Nc3cc(C(C)(C)C)[nH]n3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
31,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1cc(N)n[nH]1,C#CCOc1ccc(CNc2nc(Nc3cc(C(C)(C)C)[nH]n3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
32,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1cc(N)n[nH]1,C#CCOc1ccc(CNc2nc(Nc3cc(C(C)(C)C)[nH]n3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
33,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1ccc(O)c(N)c1,C#CCOc1ccc(CNc2nc(Nc3cc(C(C)(C)C)ccc3O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
34,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1ccc(O)c(N)c1,C#CCOc1ccc(CNc2nc(Nc3cc(C(C)(C)C)ccc3O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
35,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1ccc(O)c(N)c1,C#CCOc1ccc(CNc2nc(Nc3cc(C(C)(C)C)ccc3O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
36,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1ocnc1CN.Cl,C#CCOc1ccc(CNc2nc(NCc3ncoc3C(C)(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
37,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1ocnc1CN.Cl,C#CCOc1ccc(CNc2nc(NCc3ncoc3C(C)(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
38,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)(C)c1ocnc1CN.Cl,C#CCOc1ccc(CNc2nc(NCc3ncoc3C(C)(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
39,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)CC(C)(CN)NC(=O)c1cc(Cl)c(Cl)[nH]1.Cl,C#CCOc1ccc(CNc2nc(NCC(C)(CC(C)C)NC(=O)c3cc(Cl)c(Cl)[nH]3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
40,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)CC(C)(CN)NC(=O)c1cc(Cl)c(Cl)[nH]1.Cl,C#CCOc1ccc(CNc2nc(NCC(C)(CC(C)C)NC(=O)c3cc(Cl)c(Cl)[nH]3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
41,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)CC(C)(CN)NC(=O)c1cc(Cl)c(Cl)[nH]1.Cl,C#CCOc1ccc(CNc2nc(NCC(C)(CC(C)C)NC(=O)c3cc(Cl)c(Cl)[nH]3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
42,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)NC(=O)NCCN.Cl.Cl,C#CCOc1ccc(CNc2nc(NCCNC(=O)NC(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
43,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)NC(=O)NCCN.Cl.Cl,C#CCOc1ccc(CNc2nc(NCCNC(=O)NC(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
44,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)NC(=O)NCCN.Cl.Cl,C#CCOc1ccc(CNc2nc(NCCNC(=O)NC(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
45,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)c1nc(N)sc1Br,C#CCOc1ccc(CNc2nc(Nc3nc(C(C)C)c(Br)s3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
46,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)c1nc(N)sc1Br,C#CCOc1ccc(CNc2nc(Nc3nc(C(C)C)c(Br)s3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
47,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(C)c1nc(N)sc1Br,C#CCOc1ccc(CNc2nc(Nc3nc(C(C)C)c(Br)s3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
48,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CCN)S(C)=O,C#CCOc1ccc(CNc2nc(NCCC(C)S(C)=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
49,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CCN)S(C)=O,C#CCOc1ccc(CNc2nc(NCCC(C)S(C)=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
50,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CCN)S(C)=O,C#CCOc1ccc(CNc2nc(NCCC(C)S(C)=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
51,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Cn1cccn1,C#CCOc1ccc(CNc2nc(NCC(C)Cn3cccn3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
52,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Cn1cccn1,C#CCOc1ccc(CNc2nc(NCC(C)Cn3cccn3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
53,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Cn1cccn1,C#CCOc1ccc(CNc2nc(NCC(C)Cn3cccn3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
54,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)OC(C)(C)C.Cl,C#CCOc1ccc(CNc2nc(NCC(C)OC(C)(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
55,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)OC(C)(C)C.Cl,C#CCOc1ccc(CNc2nc(NCC(C)OC(C)(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
56,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)OC(C)(C)C.Cl,C#CCOc1ccc(CNc2nc(NCC(C)OC(C)(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
57,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Oc1ccc(Cl)cc1,C#CCOc1ccc(CNc2nc(NCC(C)Oc3ccc(Cl)cc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
58,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Oc1ccc(Cl)cc1,C#CCOc1ccc(CNc2nc(NCC(C)Oc3ccc(Cl)cc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
59,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Oc1ccc(Cl)cc1,C#CCOc1ccc(CNc2nc(NCC(C)Oc3ccc(Cl)cc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
60,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)S(C)=O,C#CCOc1ccc(CNc2nc(NCC(C)S(C)=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
61,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)S(C)=O,C#CCOc1ccc(CNc2nc(NCC(C)S(C)=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
62,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)S(C)=O,C#CCOc1ccc(CNc2nc(NCC(C)S(C)=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
63,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Sc1ccccc1,C#CCOc1ccc(CNc2nc(NCC(C)Sc3ccccc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
64,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Sc1ccccc1,C#CCOc1ccc(CNc2nc(NCC(C)Sc3ccccc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
65,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)Sc1ccccc1,C#CCOc1ccc(CNc2nc(NCC(C)Sc3ccccc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
66,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)c1c(Cl)cccc1Cl,C#CCOc1ccc(CNc2nc(NCC(C)c3c(Cl)cccc3Cl)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
67,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)c1c(Cl)cccc1Cl,C#CCOc1ccc(CNc2nc(NCC(C)c3c(Cl)cccc3Cl)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
68,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)c1c(Cl)cccc1Cl,C#CCOc1ccc(CNc2nc(NCC(C)c3c(Cl)cccc3Cl)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
69,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)c1nccs1,C#CCOc1ccc(CNc2nc(NCC(C)c3nccs3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
70,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)c1nccs1,C#CCOc1ccc(CNc2nc(NCC(C)c3nccs3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
71,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(CN)c1nccs1,C#CCOc1ccc(CNc2nc(NCC(C)c3nccs3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
72,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(O)(CN)c1ccsc1,C#CCOc1ccc(CNc2nc(NCC(C)(O)c3ccsc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
73,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(O)(CN)c1ccsc1,C#CCOc1ccc(CNc2nc(NCC(C)(O)c3ccsc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
74,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(O)(CN)c1ccsc1,C#CCOc1ccc(CNc2nc(NCC(C)(O)c3ccsc3)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
75,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(O)CCN,C#CCOc1ccc(CNc2nc(NCCC(C)O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
76,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(O)CCN,C#CCOc1ccc(CNc2nc(NCCC(C)O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
77,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC(O)CCN,C#CCOc1ccc(CNc2nc(NCCC(C)O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
78,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1(C)CC(CN)C(C)(C)O1,C#CCOc1ccc(CNc2nc(NCC3CC(C)(C)OC3(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
79,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1(C)CC(CN)C(C)(C)O1,C#CCOc1ccc(CNc2nc(NCC3CC(C)(C)OC3(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
80,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1(C)CC(CN)C(C)(C)O1,C#CCOc1ccc(CNc2nc(NCC3CC(C)(C)OC3(C)C)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
81,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1(C)NC(=O)N(CCCN)C1=O.Cl,C#CCOc1ccc(CNc2nc(NCCCN3C(=O)NC(C)(C)C3=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,BRD4,0
82,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1(C)NC(=O)N(CCCN)C1=O.Cl,C#CCOc1ccc(CNc2nc(NCCCN3C(=O)NC(C)(C)C3=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,HSA,0
83,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C#CCOc1ccc(CN)cc1.Cl,CC1(C)NC(=O)N(CCCN)C1=O.Cl,C#CCOc1ccc(CNc2nc(NCCCN3C(=O)NC(C)(C)C3=O)nc(N[C@@H](CC#C)CC(=O)N[Dy])n2)cc1,sEH,0
