,Name,Team,Position,Date of Birth,Age,Nationality,Market Value
35,Gregor Kobel,Borussia Dortmund,Goalkeeper,"Dec 6, 1997",25,Switzerland,€35.00m
36,Marcel Lotka,Borussia Dortmund,Goalkeeper,"May 25, 2001",22,Germany,€1.50m
37,Alexander Meyer,Borussia Dortmund,Goalkeeper,"Apr 13, 1991",32,Germany,€1.00m
38,Luca Unbehaun,Borussia Dortmund,Goalkeeper,"Feb 27, 2001",22,Germany,€650k
39,Silas Ostrzinski,Borussia Dortmund,Goalkeeper,"Nov 19, 2003",19,Germany,€150k
40,Nico Schlotterbeck,Borussia Dortmund,Centre-Back,"Dec 1, 1999",23,Germany,€40.00m
41,Niklas Süle,Borussia Dortmund,Centre-Back,"Sep 3, 1995",27,Germany,€35.00m
42,Mats Hummels,Borussia Dortmund,Centre-Back,"Dec 16, 1988",34,Germany,€6.00m
43,Soumaïla Coulibaly,Borussia Dortmund,Centre-Back,"Oct 14, 2003",19,France,€1.00m
44,Antonios Papadopoulos,Borussia Dortmund,Centre-Back,"Sep 10, 1999",23,Germany,€600k
45,Raphaël Guerreiro,Borussia Dortmund,Left-Back,"Dec 22, 1993",29,Portugal,€20.00m
46,Tom Rothe,Borussia Dortmund,Left-Back,"Oct 29, 2004",18,Germany,€3.50m
47,Nico Schulz,Borussia Dortmund,Left-Back,"Apr 1, 1993",30,Germany,€1.00m
48,Julian Ryerson,Borussia Dortmund,Right-Back,"Nov 17, 1997",25,Norway,€13.00m
49,Marius Wolf,Borussia Dortmund,Right-Back,"May 27, 1995",28,Germany,€10.00m
50,Thomas Meunier,Borussia Dortmund,Right-Back,"Sep 12, 1991",31,Belgium,€5.00m
51,Felix Passlack,Borussia Dortmund,Right-Back,"May 29, 1998",25,Germany,€1.50m
52,Mateu Morey,Borussia Dortmund,Right-Back,"Mar 2, 2000",23,Spain,€1.00m
53,Emre Can,Borussia Dortmund,Defensive Midfield,"Jan 12, 1994",29,Germany,€14.00m
54,Salih Özcan,Borussia Dortmund,Defensive Midfield,"Jan 11, 1998",25,Türkiye,€13.00m
55,Abdoulaye Kamara,Borussia Dortmund,Defensive Midfield,"Nov 6, 2004",18,France,€1.00m
56,Mahmoud Dahoud,Borussia Dortmund,Central Midfield,"Jan 1, 1996",27,Syria,€12.00m
57,Jude Bellingham,Borussia Dortmund,Attacking Midfield,"Jun 29, 2003",20,England,€120.00m
58,Julian Brandt,Borussia Dortmund,Attacking Midfield,"May 2, 1996",27,Germany,€40.00m
59,Giovanni Reyna,Borussia Dortmund,Attacking Midfield,"Nov 13, 2002",20,United States,€25.00m
60,Marco Reus,Borussia Dortmund,Attacking Midfield,"May 31, 1989",34,Germany,€7.00m
61,Göktan Gürpüz,Borussia Dortmund,Attacking Midfield,"Jan 22, 2003",20,Türkiye,€300k
62,Karim Adeyemi,Borussia Dortmund,Left Winger,"Jan 18, 2002",21,Germany,€40.00m
63,Jamie Bynoe-Gittens,Borussia Dortmund,Left Winger,"Aug 8, 2004",18,England,€14.00m
64,Thorgan Hazard,Borussia Dortmund,Left Winger,"Mar 29, 1993",30,Belgium,€7.00m
65,Donyell Malen,Borussia Dortmund,Right Winger,"Jan 19, 1999",24,Netherlands,€28.00m
66,Julien Duranville,Borussia Dortmund,Right Winger,"May 5, 2006",17,Belgium,€8.50m
67,Justin Njinmah,Borussia Dortmund,Right Winger,"Nov 15, 2000",22,Germany,€800k
68,Marco Pasalic,Borussia Dortmund,Right Winger,"Sep 14, 2000",22,Croatia,€350k
69,Sébastien Haller,Borussia Dortmund,Centre-Forward,"Jun 22, 1994",29,Cote d'Ivoire,€30.00m
70,Youssoufa Moukoko,Borussia Dortmund,Centre-Forward,"Nov 20, 2004",18,Germany,€30.00m
71,Anthony Modeste,Borussia Dortmund,Centre-Forward,"Apr 14, 1988",35,France,€700k
72,Péter Gulácsi,RB Leipzig,Goalkeeper,"May 6, 1990",33,Hungary,€5.00m
73,Janis Blaswich,RB Leipzig,Goalkeeper,"May 2, 1991",32,Germany,€2.50m
74,Ørjan Nyland,RB Leipzig,Goalkeeper,"Sep 10, 1990",32,Norway,€600k
75,Jonas Nickisch,RB Leipzig,Goalkeeper,"May 21, 2004",19,Germany,€200k
76,Timo Schlieck,RB Leipzig,Goalkeeper,"Mar 2, 2006",17,Germany,€200k
77,Oskar Preil,RB Leipzig,Goalkeeper,"Sep 14, 2003",19,Germany,€100k
78,Josko Gvardiol,RB Leipzig,Centre-Back,"Jan 23, 2002",21,Croatia,€75.00m
79,Mohamed Simakan,RB Leipzig,Centre-Back,"May 3, 2000",23,France,€25.00m
80,Lukas Klostermann,RB Leipzig,Centre-Back,"Jun 3, 1996",27,Germany,€12.00m
81,Willi Orbán,RB Leipzig,Centre-Back,"Nov 3, 1992",30,Hungary,€10.00m
82,Abdou Diallo,RB Leipzig,Centre-Back,"May 4, 1996",27,Senegal,€10.00m
83,Marcel Halstenberg,RB Leipzig,Centre-Back,"Sep 27, 1991",31,Germany,€3.50m
84,David Raum,RB Leipzig,Left-Back,"Apr 22, 1998",25,Germany,€14.00m
85,Sanoussy Ba,RB Leipzig,Left-Back,"Jan 5, 2004",19,Germany,€500k
86,Benjamin Henrichs,RB Leipzig,Right-Back,"Feb 23, 1997",26,Germany,€15.00m
87,Hugo Novoa,RB Leipzig,Right-Back,"Jan 24, 2003",20,Spain,€4.30m
88,Dominik Szoboszlai,RB Leipzig,Central Midfield,"Oct 25, 2000",22,Hungary,€50.00m
89,Konrad Laimer,RB Leipzig,Central Midfield,"May 27, 1997",26,Austria,€28.00m
90,Xaver Schlager,RB Leipzig,Central Midfield,"Sep 28, 1997",25,Austria,€22.00m
91,Amadou Haidara,RB Leipzig,Central Midfield,"Jan 31, 1998",25,Mali,€17.00m
92,Kevin Kampl,RB Leipzig,Central Midfield,"Oct 9, 1990",32,Slovenia,€3.50m
93,Christopher Nkunku,RB Leipzig,Attacking Midfield,"Nov 14, 1997",25,France,€80.00m
94,Dani Olmo,RB Leipzig,Attacking Midfield,"May 7, 1998",25,Spain,€40.00m
95,Emil Forsberg,RB Leipzig,Attacking Midfield,"Oct 23, 1991",31,Sweden,€7.00m
96,Caden Clark,RB Leipzig,Attacking Midfield,"May 27, 2003",20,United States,€2.00m
97,Timo Werner,RB Leipzig,Centre-Forward,"Mar 6, 1996",27,Germany,€25.00m
98,André Silva,RB Leipzig,Centre-Forward,"Nov 6, 1995",27,Portugal,€15.00m
99,Alexander Sørloth,RB Leipzig,Centre-Forward,"Dec 5, 1995",27,Norway,€12.00m
100,Yussuf Poulsen,RB Leipzig,Centre-Forward,"Jun 15, 1994",29,Denmark,€7.00m
101,Lukas Hradecky,Bayer 04 Leverkusen,Goalkeeper,"Nov 24, 1989",33,Finland,€2.50m
102,Patrick Pentz,Bayer 04 Leverkusen,Goalkeeper,"Jan 2, 1997",26,Austria,€1.50m
103,Andrey Lunev,Bayer 04 Leverkusen,Goalkeeper,"Nov 13, 1991",31,Russia,€1.20m
104,Niklas Lomb,Bayer 04 Leverkusen,Goalkeeper,"Jul 28, 1993",29,Germany,€250k
105,Maximilian Neutgens,Bayer 04 Leverkusen,Goalkeeper,"Mar 3, 2004",19,Germany,-
106,Piero Hincapié,Bayer 04 Leverkusen,Centre-Back,"Jan 9, 2002",21,Ecuador,€35.00m
107,Edmond Tapsoba,Bayer 04 Leverkusen,Centre-Back,"Feb 2, 1999",24,Burkina Faso,€30.00m
108,Jonathan Tah,Bayer 04 Leverkusen,Centre-Back,"Feb 11, 1996",27,Germany,€20.00m
109,Odilon Kossounou,Bayer 04 Leverkusen,Centre-Back,"Jan 4, 2001",22,Cote d'Ivoire,€18.00m
110,Madi Monamay,Bayer 04 Leverkusen,Centre-Back,"Apr 6, 2006",17,Belgium,-
111,Daley Sinkgraven,Bayer 04 Leverkusen,Left-Back,"Jul 4, 1995",27,Netherlands,€2.50m
112,Timothy Fosu-Mensah,Bayer 04 Leverkusen,Right-Back,"Jan 2, 1998",25,Netherlands,€2.00m
113,Robert Andrich,Bayer 04 Leverkusen,Defensive Midfield,"Sep 22, 1994",28,Germany,€11.00m
114,Noah Mbamba,Bayer 04 Leverkusen,Defensive Midfield,"Jan 5, 2005",18,Belgium,€3.00m
115,Ayman Azhil,Bayer 04 Leverkusen,Defensive Midfield,"Apr 10, 2001",22,Morocco,€400k
116,Joshua Eze,Bayer 04 Leverkusen,Defensive Midfield,"Mar 20, 2003",20,Germany,€150k
117,Leon Köhl,Bayer 04 Leverkusen,Defensive Midfield,"Feb 17, 2004",19,Germany,-
118,Exequiel Palacios,Bayer 04 Leverkusen,Central Midfield,"Oct 5, 1998",24,Argentina,€22.00m
119,Kerem Demirbay,Bayer 04 Leverkusen,Central Midfield,"Jul 3, 1993",29,Germany,€6.00m
120,Nadiem Amiri,Bayer 04 Leverkusen,Central Midfield,"Oct 27, 1996",26,Germany,€6.00m
121,Charles Aránguiz,Bayer 04 Leverkusen,Central Midfield,"Apr 17, 1989",34,Chile,€3.50m
122,Zidan Sertdemir,Bayer 04 Leverkusen,Central Midfield,"Feb 4, 2005",18,Denmark,€1.00m
123,Jeremie Frimpong,Bayer 04 Leverkusen,Right Midfield,"Dec 10, 2000",22,Netherlands,€40.00m
124,Mitchel Bakker,Bayer 04 Leverkusen,Left Midfield,"Jun 20, 2000",23,Netherlands,€9.00m
125,Florian Wirtz,Bayer 04 Leverkusen,Attacking Midfield,"May 3, 2003",20,Germany,€85.00m
126,Ayman Aourir,Bayer 04 Leverkusen,Attacking Midfield,"Oct 6, 2004",18,Morocco,-
127,Amine Adli,Bayer 04 Leverkusen,Left Winger,"May 10, 2000",23,Morocco,€20.00m
128,Callum Hudson-Odoi,Bayer 04 Leverkusen,Left Winger,"Nov 7, 2000",22,England,€15.00m
129,Paulinho,Bayer 04 Leverkusen,Left Winger,"Jul 15, 2000",22,Brazil,€7.50m
130,Moussa Diaby,Bayer 04 Leverkusen,Right Winger,"Jul 7, 1999",23,France,€50.00m
131,Karim Bellarabi,Bayer 04 Leverkusen,Right Winger,"Apr 8, 1990",33,Germany,€1.50m
132,Patrik Schick,Bayer 04 Leverkusen,Centre-Forward,"Jan 24, 1996",27,Czech Republic,€25.00m
133,Adam Hlozek,Bayer 04 Leverkusen,Centre-Forward,"Jul 25, 2002",20,Czech Republic,€18.00m
134,Sardar Azmoun,Bayer 04 Leverkusen,Centre-Forward,"Jan 1, 1995",28,Iran,€12.00m
135,Joel Pohjanpalo,Bayer 04 Leverkusen,Centre-Forward,"Sep 13, 1994",28,Finland,€3.50m
136,Kevin Trapp,Eintracht Frankfurt,Goalkeeper,"Jul 8, 1990",32,Germany,€8.50m
137,Diant Ramaj,Eintracht Frankfurt,Goalkeeper,"Sep 19, 2001",21,Germany,€750k
138,Jannik Horz,Eintracht Frankfurt,Goalkeeper,"Apr 14, 2003",20,Germany,€200k
139,Jens Grahl,Eintracht Frankfurt,Goalkeeper,"Sep 22, 1988",34,Germany,€200k
140,Simon Simoni,Eintracht Frankfurt,Goalkeeper,"Jul 14, 2004",18,Albania,€200k
141,Evan Ndicka,Eintracht Frankfurt,Centre-Back,"Aug 20, 1999",23,Cote d'Ivoire,€28.00m
142,Tuta,Eintracht Frankfurt,Centre-Back,"Jul 4, 1999",23,Brazil,€15.00m
143,Hrvoje Smolcic,Eintracht Frankfurt,Centre-Back,"Aug 17, 2000",22,Croatia,€4.00m
144,Almamy Touré,Eintracht Frankfurt,Centre-Back,"Apr 28, 1996",27,Mali,€2.50m
145,Jérôme Onguéné,Eintracht Frankfurt,Centre-Back,"Dec 22, 1997",25,Cameroon,€2.00m
146,Makoto Hasebe,Eintracht Frankfurt,Centre-Back,"Jan 18, 1984",39,Japan,€800k
147,Dario Gebuhr,Eintracht Frankfurt,Centre-Back,"May 6, 2003",20,Germany,€400k
148,Luca Pellegrini,Eintracht Frankfurt,Left-Back,"Mar 7, 1999",24,Italy,€7.00m
149,Philipp Max,Eintracht Frankfurt,Left-Back,"Sep 30, 1993",29,Germany,€3.00m
150,Christopher Lenz,Eintracht Frankfurt,Left-Back,"Sep 22, 1994",28,Germany,€2.50m
151,Jan Schröder,Eintracht Frankfurt,Left-Back,"Apr 15, 2003",20,Germany,€200k
152,Aurélio Buta,Eintracht Frankfurt,Right-Back,"Feb 10, 1997",26,Portugal,€8.00m
153,Timothy Chandler,Eintracht Frankfurt,Right-Back,"Mar 29, 1990",33,United States,€700k
154,Kristijan Jakic,Eintracht Frankfurt,Defensive Midfield,"May 14, 1997",26,Croatia,€7.00m
155,Djibril Sow,Eintracht Frankfurt,Central Midfield,"Feb 6, 1997",26,Switzerland,€22.00m
156,Junior Dina Ebimbe,Eintracht Frankfurt,Central Midfield,"Nov 21, 2000",22,France,€10.00m
157,Sebastian Rode,Eintracht Frankfurt,Central Midfield,"Oct 11, 1990",32,Germany,€2.00m
158,Marcel Wenig,Eintracht Frankfurt,Central Midfield,"May 4, 2004",19,Germany,€800k
159,Mehdi Loune,Eintracht Frankfurt,Central Midfield,"May 14, 2004",19,Germany,€300k
160,Filip Kostić,Eintracht Frankfurt,Left Midfield,"Nov 1, 1992",30,Serbia,€22.00m
161,Jesper Lindstrøm,Eintracht Frankfurt,Attacking Midfield,"Feb 29, 2000",23,Denmark,€28.00m
162,Daichi Kamada,Eintracht Frankfurt,Attacking Midfield,"Aug 5, 1996",26,Japan,€27.00m
163,Mario Götze,Eintracht Frankfurt,Attacking Midfield,"Jun 3, 1992",31,Germany,€12.00m
164,Paxten Aaronson,Eintracht Frankfurt,Attacking Midfield,"Aug 26, 2003",19,United States,€4.50m
165,Jens Petter Hauge,Eintracht Frankfurt,Left Winger,"Oct 12, 1999",23,Norway,€2.50m
166,Faride Alidou,Eintracht Frankfurt,Left Winger,"Jul 18, 2001",21,Germany,€2.50m
167,Ansgar Knauff,Eintracht Frankfurt,Right Winger,"Jan 10, 2002",21,Germany,€8.00m
168,Randal Kolo Muani,Eintracht Frankfurt,Centre-Forward,"Dec 5, 1998",24,France,€80.00m
169,Rafael Borré,Eintracht Frankfurt,Centre-Forward,"Sep 15, 1995",27,Colombia,€9.00m
170,Lucas Alario,Eintracht Frankfurt,Centre-Forward,"Oct 8, 1992",30,Argentina,€2.50m
171,Nacho Ferri,Eintracht Frankfurt,Centre-Forward,"Oct 5, 2004",18,Spain,€500k
172,Jonas Omlin,Borussia Mönchengladbach,Goalkeeper,"Jan 10, 1994",29,Switzerland,€9.00m
173,Yann Sommer,Borussia Mönchengladbach,Goalkeeper,"Dec 17, 1988",34,Switzerland,€5.00m
174,Jan Olschowsky,Borussia Mönchengladbach,Goalkeeper,"Nov 18, 2001",21,Germany,€800k
175,Tobias Sippel,Borussia Mönchengladbach,Goalkeeper,"Mar 22, 1988",35,Germany,€400k
176,Moritz Nicolas,Borussia Mönchengladbach,Goalkeeper,"Oct 21, 1997",25,Germany,€350k
177,Florian Dimmer,Borussia Mönchengladbach,Goalkeeper,"Jan 15, 2005",18,Germany,€100k
178,Maximilian Brüll,Borussia Mönchengladbach,Goalkeeper,"Aug 26, 2002",20,Germany,€75k
179,Nico Elvedi,Borussia Mönchengladbach,Centre-Back,"Sep 30, 1996",26,Switzerland,€18.00m
180,Jordan Beyer,Borussia Mönchengladbach,Centre-Back,"May 19, 2000",23,Germany,€16.00m
181,Ko Itakura,Borussia Mönchengladbach,Centre-Back,"Jan 27, 1997",26,Japan,€12.00m
182,Marvin Friedrich,Borussia Mönchengladbach,Centre-Back,"Dec 13, 1995",27,Germany,€4.00m
183,Tony Jantschke,Borussia Mönchengladbach,Centre-Back,"Apr 7, 1990",33,Germany,€600k
184,Mamadou Doucouré,Borussia Mönchengladbach,Centre-Back,"May 21, 1998",25,France,€100k
185,Ramy Bensebaini,Borussia Mönchengladbach,Left-Back,"Apr 16, 1995",28,Algeria,€20.00m
186,Luca Netz,Borussia Mönchengladbach,Left-Back,"May 15, 2003",20,Germany,€6.50m
187,Joe Scally,Borussia Mönchengladbach,Right-Back,"Dec 31, 2002",20,United States,€12.00m
188,Stefan Lainer,Borussia Mönchengladbach,Right-Back,"Aug 27, 1992",30,Austria,€3.00m
189,Simon Walde,Borussia Mönchengladbach,Right-Back,"Jan 4, 2005",18,Germany,€500k
190,Julian Weigl,Borussia Mönchengladbach,Defensive Midfield,"Sep 8, 1995",27,Germany,€10.00m
191,Christoph Kramer,Borussia Mönchengladbach,Defensive Midfield,"Feb 19, 1991",32,Germany,€2.50m
192,Manu Koné,Borussia Mönchengladbach,Central Midfield,"May 17, 2001",22,France,€40.00m
193,Florian Neuhaus,Borussia Mönchengladbach,Central Midfield,"Mar 16, 1997",26,Germany,€12.00m
194,Oscar Fraulo,Borussia Mönchengladbach,Central Midfield,"Dec 6, 2003",19,Denmark,€2.00m
195,Rocco Reitz,Borussia Mönchengladbach,Central Midfield,"May 29, 2002",21,Germany,€800k
196,Torben Müsel,Borussia Mönchengladbach,Central Midfield,"Jul 25, 1999",23,Germany,€200k
197,Jonas Hofmann,Borussia Mönchengladbach,Attacking Midfield,"Jul 14, 1992",30,Germany,€13.00m
198,Lars Stindl,Borussia Mönchengladbach,Attacking Midfield,"Aug 26, 1988",34,Germany,€1.00m
199,Conor Noß,Borussia Mönchengladbach,Attacking Midfield,"Jan 1, 2001",22,Ireland,€400k
200,Hannes Wolf,Borussia Mönchengladbach,Left Winger,"Apr 16, 1999",24,Austria,€3.00m
201,Yvandro Borges Sanches,Borussia Mönchengladbach,Left Winger,"May 24, 2004",19,Luxembourg,€1.50m
202,Nathan Ngoumou,Borussia Mönchengladbach,Right Winger,"Mar 14, 2000",23,France,€5.00m
203,Patrick Herrmann,Borussia Mönchengladbach,Right Winger,"Feb 12, 1991",32,Germany,€1.50m
204,Marcus Thuram,Borussia Mönchengladbach,Centre-Forward,"Aug 6, 1997",25,France,€32.00m
205,Alassane Plea,Borussia Mönchengladbach,Centre-Forward,"Mar 10, 1993",30,France,€8.00m
206,Semir Telalovic,Borussia Mönchengladbach,Centre-Forward,"Dec 23, 1999",23,Germany,€350k
207,Koen Casteels,VfL Wolfsburg,Goalkeeper,"Jun 25, 1992",31,Belgium,€8.00m
208,Pavao Pervan,VfL Wolfsburg,Goalkeeper,"Nov 13, 1987",35,Austria,€400k
209,Philipp Schulze,VfL Wolfsburg,Goalkeeper,"Jan 29, 2003",20,Germany,€200k
210,Niklas Klinger,VfL Wolfsburg,Goalkeeper,"Oct 13, 1995",27,Germany,€100k
211,Micky van de Ven,VfL Wolfsburg,Centre-Back,"Apr 19, 2001",22,Netherlands,€30.00m
212,Maxence Lacroix,VfL Wolfsburg,Centre-Back,"Apr 6, 2000",23,France,€17.00m
213,Sebastiaan Bornauw,VfL Wolfsburg,Centre-Back,"Mar 22, 1999",24,Belgium,€8.50m
214,David Odogu,VfL Wolfsburg,Centre-Back,"Jun 3, 2006",17,Germany,-
215,Paulo Otávio,VfL Wolfsburg,Left-Back,"Nov 23, 1994",28,Brazil,€4.00m
216,Nicolas Cozza,VfL Wolfsburg,Left-Back,"Jan 8, 1999",24,France,€3.50m
217,Jérôme Roussillon,VfL Wolfsburg,Left-Back,"Jan 6, 1993",30,Guadeloupe,€3.00m
218,Ridle Baku,VfL Wolfsburg,Right-Back,"Apr 8, 1998",25,Germany,€13.00m
219,Kilian Fischer,VfL Wolfsburg,Right-Back,"Oct 12, 2000",22,Germany,€2.00m
220,Bartol Franjic,VfL Wolfsburg,Defensive Midfield,"Jan 14, 2000",23,Croatia,€3.00m
221,Josuha Guilavogui,VfL Wolfsburg,Defensive Midfield,"Sep 19, 1990",32,France,€2.00m
222,Mattias Svanberg,VfL Wolfsburg,Central Midfield,"Jan 5, 1999",24,Sweden,€18.00m
223,Felix Nmecha,VfL Wolfsburg,Central Midfield,"Oct 10, 2000",22,Germany,€15.00m
224,Maximilian Arnold,VfL Wolfsburg,Central Midfield,"May 27, 1994",29,Germany,€14.00m
225,Aster Vranckx,VfL Wolfsburg,Central Midfield,"Oct 4, 2002",20,Belgium,€8.50m
226,Yannick Gerhardt,VfL Wolfsburg,Central Midfield,"Mar 13, 1994",29,Germany,€6.00m
227,Kevin Paredes,VfL Wolfsburg,Left Midfield,"May 7, 2003",20,United States,€5.00m
228,Jakub Kaminski,VfL Wolfsburg,Left Winger,"Jun 5, 2002",21,Poland,€12.00m
229,Josip Brekalo,VfL Wolfsburg,Left Winger,"Jun 23, 1998",25,Croatia,€5.00m
230,Lukas Ambros,VfL Wolfsburg,Left Winger,"Jun 5, 2004",19,Czech Republic,€200k
231,Patrick Wimmer,VfL Wolfsburg,Right Winger,"May 30, 2001",22,Austria,€18.00m
232,Maximilian Philipp,VfL Wolfsburg,Second Striker,"Mar 1, 1994",29,Germany,€2.00m
233,Max Kruse,VfL Wolfsburg,Second Striker,"Mar 19, 1988",35,Germany,€900k
234,Jonas Wind,VfL Wolfsburg,Centre-Forward,"Feb 7, 1999",24,Denmark,€14.00m
235,Lukas Nmecha,VfL Wolfsburg,Centre-Forward,"Dec 14, 1998",24,Germany,€12.00m
236,Omar Marmoush,VfL Wolfsburg,Centre-Forward,"Feb 7, 1999",24,Egypt,€6.00m
237,Bartosz Bialek,VfL Wolfsburg,Centre-Forward,"Nov 11, 2001",21,Poland,€3.00m
238,Luca Waldschmidt,VfL Wolfsburg,Centre-Forward,"May 19, 1996",27,Germany,€3.00m
239,Dzenan Pejcinovic,VfL Wolfsburg,Centre-Forward,"Feb 15, 2005",18,Germany,€1.00m
240,Mark Flekken,SC Freiburg,Goalkeeper,"Jun 13, 1993",30,Netherlands,€10.00m
241,Noah Atubolu,SC Freiburg,Goalkeeper,"May 25, 2002",21,Germany,€3.50m
242,Benjamin Uphoff,SC Freiburg,Goalkeeper,"Aug 8, 1993",29,Germany,€500k
243,Philipp Lienhart,SC Freiburg,Centre-Back,"Jul 11, 1996",26,Austria,€20.00m
244,Matthias Ginter,SC Freiburg,Centre-Back,"Jan 19, 1994",29,Germany,€18.00m
245,Keven Schlotterbeck,SC Freiburg,Centre-Back,"Apr 28, 1997",26,Germany,€3.00m
246,Kenneth Schmidt,SC Freiburg,Centre-Back,"Jun 3, 2002",21,Germany,€3.00m
247,Manuel Gulde,SC Freiburg,Centre-Back,"Feb 12, 1991",32,Germany,€1.50m
248,Christian Günter,SC Freiburg,Left-Back,"Feb 28, 1993",30,Germany,€7.50m
249,Kimberly Ezekwem,SC Freiburg,Left-Back,"Jun 19, 2001",22,Germany,€350k
250,Kiliann Sildillia,SC Freiburg,Right-Back,"May 16, 2002",21,France,€12.00m
251,Hugo Siquet,SC Freiburg,Right-Back,"Jul 9, 2002",20,Belgium,€3.30m
252,Lukas Kübler,SC Freiburg,Right-Back,"Aug 30, 1992",30,Germany,€2.50m
253,Yannik Keitel,SC Freiburg,Defensive Midfield,"Feb 15, 2000",23,Germany,€4.00m
254,Nicolas Höfler,SC Freiburg,Defensive Midfield,"Mar 9, 1990",33,Germany,€2.50m
255,Maximilian Eggestein,SC Freiburg,Central Midfield,"Dec 8, 1996",26,Germany,€10.00m
256,Merlin Röhl,SC Freiburg,Central Midfield,"Jul 5, 2002",20,Germany,€2.00m
257,Robert Wagner,SC Freiburg,Central Midfield,"Jul 14, 2003",19,Germany,€1.40m
258,Jonathan Schmid,SC Freiburg,Right Midfield,"Jun 22, 1990",33,France,€900k
259,Daniel-Kofi Kyereh,SC Freiburg,Attacking Midfield,"Mar 8, 1996",27,Ghana,€8.00m
260,Woo-yeong Jeong,SC Freiburg,Attacking Midfield,"Sep 20, 1999",23,"Korea, South",€3.50m
261,Vincenzo Grifo,SC Freiburg,Left Winger,"Apr 7, 1993",30,Italy,€12.00m
262,Noah Weißhaupt,SC Freiburg,Left Winger,"Sep 20, 2001",21,Germany,€4.00m
263,Kevin Schade,SC Freiburg,Right Winger,"Nov 27, 2001",21,Germany,€25.00m
264,Ritsu Doan,SC Freiburg,Right Winger,"Jun 16, 1998",25,Japan,€18.00m
265,Roland Sallai,SC Freiburg,Right Winger,"May 22, 1997",26,Hungary,€10.00m
266,Michael Gregoritsch,SC Freiburg,Centre-Forward,"Apr 18, 1994",29,Austria,€8.00m
267,Lucas Höler,SC Freiburg,Centre-Forward,"Jul 10, 1994",28,Germany,€5.00m
