Name,Team,Position,Date of Birth,Age,Nationality,Market Value
Silas Ostrzinski,Borussia Dortmund,Goalkeeper,"Nov 19, 2003",19,Germany,€150k
Nico Schlotterbeck,Borussia Dortmund,Centre-Back,"Dec 1, 1999",23,Germany,€40.00m
Niklas Süle,Borussia Dortmund,Centre-Back,"Sep 3, 1995",27,Germany,€35.00m
Mats Hummels,Borussia Dortmund,Centre-Back,"Dec 16, 1988",34,Germany,€6.00m
Soumaïla Coulibaly,Borussia Dortmund,Centre-Back,"Oct 14, 2003",19,France,€1.00m
Antonios Papadopoulos,Borussia Dortmund,Centre-Back,"Sep 10, 1999",23,Germany,€600k
Raphaël Guerreiro,Borussia Dortmund,Left-Back,"Dec 22, 1993",29,Portugal,€20.00m
Tom Rothe,Borussia Dortmund,Left-Back,"Oct 29, 2004",18,Germany,€3.50m
Nico Schulz,Borussia Dortmund,Left-Back,"Apr 1, 1993",30,Germany,€1.00m
Julian Ryerson,Borussia Dortmund,Right-Back,"Nov 17, 1997",25,Norway,€13.00m
Marius Wolf,Borussia Dortmund,Right-Back,"May 27, 1995",28,Germany,€10.00m
Thomas Meunier,Borussia Dortmund,Right-Back,"Sep 12, 1991",31,Belgium,€5.00m
Felix Passlack,Borussia Dortmund,Right-Back,"May 29, 1998",25,Germany,€1.50m
Mateu Morey,Borussia Dortmund,Right-Back,"Mar 2, 2000",23,Spain,€1.00m
Emre Can,Borussia Dortmund,Defensive Midfield,"Jan 12, 1994",29,Germany,€14.00m
Salih Özcan,Borussia Dortmund,Defensive Midfield,"Jan 11, 1998",25,Türkiye,€13.00m
Abdoulaye Kamara,Borussia Dortmund,Defensive Midfield,"Nov 6, 2004",18,France,€1.00m
Mahmoud Dahoud,Borussia Dortmund,Central Midfield,"Jan 1, 1996",27,Syria,€12.00m
Jude Bellingham,Borussia Dortmund,Attacking Midfield,"Jun 29, 2003",20,England,€120.00m
Julian Brandt,Borussia Dortmund,Attacking Midfield,"May 2, 1996",27,Germany,€40.00m
Giovanni Reyna,Borussia Dortmund,Attacking Midfield,"Nov 13, 2002",20,United States,€25.00m
Marco Reus,Borussia Dortmund,Attacking Midfield,"May 31, 1989",34,Germany,€7.00m
Göktan Gürpüz,Borussia Dortmund,Attacking Midfield,"Jan 22, 2003",20,Türkiye,€300k
Karim Adeyemi,Borussia Dortmund,Left Winger,"Jan 18, 2002",21,Germany,€40.00m
Jamie Bynoe-Gittens,Borussia Dortmund,Left Winger,"Aug 8, 2004",18,England,€14.00m
Thorgan Hazard,Borussia Dortmund,Left Winger,"Mar 29, 1993",30,Belgium,€7.00m
Donyell Malen,Borussia Dortmund,Right Winger,"Jan 19, 1999",24,Netherlands,€28.00m
Julien Duranville,Borussia Dortmund,Right Winger,"May 5, 2006",17,Belgium,€8.50m
Justin Njinmah,Borussia Dortmund,Right Winger,"Nov 15, 2000",22,Germany,€800k
Marco Pasalic,Borussia Dortmund,Right Winger,"Sep 14, 2000",22,Croatia,€350k
Sébastien Haller,Borussia Dortmund,Centre-Forward,"Jun 22, 1994",29,Cote d'Ivoire,€30.00m
Youssoufa Moukoko,Borussia Dortmund,Centre-Forward,"Nov 20, 2004",18,Germany,€30.00m
Anthony Modeste,Borussia Dortmund,Centre-Forward,"Apr 14, 1988",35,France,€700k
Péter Gulácsi,RB Leipzig,Goalkeeper,"May 6, 1990",33,Hungary,€5.00m
Janis Blaswich,RB Leipzig,Goalkeeper,"May 2, 1991",32,Germany,€2.50m
Ørjan Nyland,RB Leipzig,Goalkeeper,"Sep 10, 1990",32,Norway,€600k
Jonas Nickisch,RB Leipzig,Goalkeeper,"May 21, 2004",19,Germany,€200k
Timo Schlieck,RB Leipzig,Goalkeeper,"Mar 2, 2006",17,Germany,€200k
Oskar Preil,RB Leipzig,Goalkeeper,"Sep 14, 2003",19,Germany,€100k
Josko Gvardiol,RB Leipzig,Centre-Back,"Jan 23, 2002",21,Croatia,€75.00m
Mohamed Simakan,RB Leipzig,Centre-Back,"May 3, 2000",23,France,€25.00m
Lukas Klostermann,RB Leipzig,Centre-Back,"Jun 3, 1996",27,Germany,€12.00m
Willi Orbán,RB Leipzig,Centre-Back,"Nov 3, 1992",30,Hungary,€10.00m
Abdou Diallo,RB Leipzig,Centre-Back,"May 4, 1996",27,Senegal,€10.00m
Marcel Halstenberg,RB Leipzig,Centre-Back,"Sep 27, 1991",31,Germany,€3.50m
David Raum,RB Leipzig,Left-Back,"Apr 22, 1998",25,Germany,€14.00m
Sanoussy Ba,RB Leipzig,Left-Back,"Jan 5, 2004",19,Germany,€500k
Benjamin Henrichs,RB Leipzig,Right-Back,"Feb 23, 1997",26,Germany,€15.00m
Hugo Novoa,RB Leipzig,Right-Back,"Jan 24, 2003",20,Spain,€4.30m
Dominik Szoboszlai,RB Leipzig,Central Midfield,"Oct 25, 2000",22,Hungary,€50.00m
Konrad Laimer,RB Leipzig,Central Midfield,"May 27, 1997",26,Austria,€28.00m
Xaver Schlager,RB Leipzig,Central Midfield,"Sep 28, 1997",25,Austria,€22.00m
Amadou Haidara,RB Leipzig,Central Midfield,"Jan 31, 1998",25,Mali,€17.00m
Kevin Kampl,RB Leipzig,Central Midfield,"Oct 9, 1990",32,Slovenia,€3.50m
Christopher Nkunku,RB Leipzig,Attacking Midfield,"Nov 14, 1997",25,France,€80.00m
Dani Olmo,RB Leipzig,Attacking Midfield,"May 7, 1998",25,Spain,€40.00m
Emil Forsberg,RB Leipzig,Attacking Midfield,"Oct 23, 1991",31,Sweden,€7.00m
Caden Clark,RB Leipzig,Attacking Midfield,"May 27, 2003",20,United States,€2.00m
Timo Werner,RB Leipzig,Centre-Forward,"Mar 6, 1996",27,Germany,€25.00m
André Silva,RB Leipzig,Centre-Forward,"Nov 6, 1995",27,Portugal,€15.00m
Alexander Sørloth,RB Leipzig,Centre-Forward,"Dec 5, 1995",27,Norway,€12.00m
Yussuf Poulsen,RB Leipzig,Centre-Forward,"Jun 15, 1994",29,Denmark,€7.00m
Lukas Hradecky,Bayer 04 Leverkusen,Goalkeeper,"Nov 24, 1989",33,Finland,€2.50m
Patrick Pentz,Bayer 04 Leverkusen,Goalkeeper,"Jan 2, 1997",26,Austria,€1.50m
Andrey Lunev,Bayer 04 Leverkusen,Goalkeeper,"Nov 13, 1991",31,Russia,€1.20m
Niklas Lomb,Bayer 04 Leverkusen,Goalkeeper,"Jul 28, 1993",29,Germany,€250k
Maximilian Neutgens,Bayer 04 Leverkusen,Goalkeeper,"Mar 3, 2004",19,Germany,-
Piero Hincapié,Bayer 04 Leverkusen,Centre-Back,"Jan 9, 2002",21,Ecuador,€35.00m
Edmond Tapsoba,Bayer 04 Leverkusen,Centre-Back,"Feb 2, 1999",24,Burkina Faso,€30.00m
Jonathan Tah,Bayer 04 Leverkusen,Centre-Back,"Feb 11, 1996",27,Germany,€20.00m
Odilon Kossounou,Bayer 04 Leverkusen,Centre-Back,"Jan 4, 2001",22,Cote d'Ivoire,€18.00m
Madi Monamay,Bayer 04 Leverkusen,Centre-Back,"Apr 6, 2006",17,Belgium,-
Daley Sinkgraven,Bayer 04 Leverkusen,Left-Back,"Jul 4, 1995",27,Netherlands,€2.50m
Timothy Fosu-Mensah,Bayer 04 Leverkusen,Right-Back,"Jan 2, 1998",25,Netherlands,€2.00m
Robert Andrich,Bayer 04 Leverkusen,Defensive Midfield,"Sep 22, 1994",28,Germany,€11.00m
Noah Mbamba,Bayer 04 Leverkusen,Defensive Midfield,"Jan 5, 2005",18,Belgium,€3.00m
Ayman Azhil,Bayer 04 Leverkusen,Defensive Midfield,"Apr 10, 2001",22,Morocco,€400k
Joshua Eze,Bayer 04 Leverkusen,Defensive Midfield,"Mar 20, 2003",20,Germany,€150k
Leon Köhl,Bayer 04 Leverkusen,Defensive Midfield,"Feb 17, 2004",19,Germany,-
Exequiel Palacios,Bayer 04 Leverkusen,Central Midfield,"Oct 5, 1998",24,Argentina,€22.00m
Kerem Demirbay,Bayer 04 Leverkusen,Central Midfield,"Jul 3, 1993",29,Germany,€6.00m
Nadiem Amiri,Bayer 04 Leverkusen,Central Midfield,"Oct 27, 1996",26,Germany,€6.00m
Charles Aránguiz,Bayer 04 Leverkusen,Central Midfield,"Apr 17, 1989",34,Chile,€3.50m
Zidan Sertdemir,Bayer 04 Leverkusen,Central Midfield,"Feb 4, 2005",18,Denmark,€1.00m
Jeremie Frimpong,Bayer 04 Leverkusen,Right Midfield,"Dec 10, 2000",22,Netherlands,€40.00m
Mitchel Bakker,Bayer 04 Leverkusen,Left Midfield,"Jun 20, 2000",23,Netherlands,€9.00m
Florian Wirtz,Bayer 04 Leverkusen,Attacking Midfield,"May 3, 2003",20,Germany,€85.00m
Ayman Aourir,Bayer 04 Leverkusen,Attacking Midfield,"Oct 6, 2004",18,Morocco,-
Amine Adli,Bayer 04 Leverkusen,Left Winger,"May 10, 2000",23,Morocco,€20.00m
Callum Hudson-Odoi,Bayer 04 Leverkusen,Left Winger,"Nov 7, 2000",22,England,€15.00m
Paulinho,Bayer 04 Leverkusen,Left Winger,"Jul 15, 2000",22,Brazil,€7.50m
Moussa Diaby,Bayer 04 Leverkusen,Right Winger,"Jul 7, 1999",23,France,€50.00m
Karim Bellarabi,Bayer 04 Leverkusen,Right Winger,"Apr 8, 1990",33,Germany,€1.50m
Patrik Schick,Bayer 04 Leverkusen,Centre-Forward,"Jan 24, 1996",27,Czech Republic,€25.00m
Adam Hlozek,Bayer 04 Leverkusen,Centre-Forward,"Jul 25, 2002",20,Czech Republic,€18.00m
Sardar Azmoun,Bayer 04 Leverkusen,Centre-Forward,"Jan 1, 1995",28,Iran,€12.00m
Joel Pohjanpalo,Bayer 04 Leverkusen,Centre-Forward,"Sep 13, 1994",28,Finland,€3.50m
Kevin Trapp,Eintracht Frankfurt,Goalkeeper,"Jul 8, 1990",32,Germany,€8.50m
Diant Ramaj,Eintracht Frankfurt,Goalkeeper,"Sep 19, 2001",21,Germany,€750k
Jannik Horz,Eintracht Frankfurt,Goalkeeper,"Apr 14, 2003",20,Germany,€200k
Jens Grahl,Eintracht Frankfurt,Goalkeeper,"Sep 22, 1988",34,Germany,€200k
Simon Simoni,Eintracht Frankfurt,Goalkeeper,"Jul 14, 2004",18,Albania,€200k
Evan Ndicka,Eintracht Frankfurt,Centre-Back,"Aug 20, 1999",23,Cote d'Ivoire,€28.00m
Tuta,Eintracht Frankfurt,Centre-Back,"Jul 4, 1999",23,Brazil,€15.00m
Hrvoje Smolcic,Eintracht Frankfurt,Centre-Back,"Aug 17, 2000",22,Croatia,€4.00m
Almamy Touré,Eintracht Frankfurt,Centre-Back,"Apr 28, 1996",27,Mali,€2.50m
Jérôme Onguéné,Eintracht Frankfurt,Centre-Back,"Dec 22, 1997",25,Cameroon,€2.00m
Makoto Hasebe,Eintracht Frankfurt,Centre-Back,"Jan 18, 1984",39,Japan,€800k
Dario Gebuhr,Eintracht Frankfurt,Centre-Back,"May 6, 2003",20,Germany,€400k
Luca Pellegrini,Eintracht Frankfurt,Left-Back,"Mar 7, 1999",24,Italy,€7.00m
Philipp Max,Eintracht Frankfurt,Left-Back,"Sep 30, 1993",29,Germany,€3.00m
Christopher Lenz,Eintracht Frankfurt,Left-Back,"Sep 22, 1994",28,Germany,€2.50m
Jan Schröder,Eintracht Frankfurt,Left-Back,"Apr 15, 2003",20,Germany,€200k
Aurélio Buta,Eintracht Frankfurt,Right-Back,"Feb 10, 1997",26,Portugal,€8.00m
Timothy Chandler,Eintracht Frankfurt,Right-Back,"Mar 29, 1990",33,United States,€700k
Kristijan Jakic,Eintracht Frankfurt,Defensive Midfield,"May 14, 1997",26,Croatia,€7.00m
Djibril Sow,Eintracht Frankfurt,Central Midfield,"Feb 6, 1997",26,Switzerland,€22.00m
Junior Dina Ebimbe,Eintracht Frankfurt,Central Midfield,"Nov 21, 2000",22,France,€10.00m
Sebastian Rode,Eintracht Frankfurt,Central Midfield,"Oct 11, 1990",32,Germany,€2.00m
Marcel Wenig,Eintracht Frankfurt,Central Midfield,"May 4, 2004",19,Germany,€800k
Mehdi Loune,Eintracht Frankfurt,Central Midfield,"May 14, 2004",19,Germany,€300k
Filip Kostić,Eintracht Frankfurt,Left Midfield,"Nov 1, 1992",30,Serbia,€22.00m
Jesper Lindstrøm,Eintracht Frankfurt,Attacking Midfield,"Feb 29, 2000",23,Denmark,€28.00m
Daichi Kamada,Eintracht Frankfurt,Attacking Midfield,"Aug 5, 1996",26,Japan,€27.00m
Mario Götze,Eintracht Frankfurt,Attacking Midfield,"Jun 3, 1992",31,Germany,€12.00m
Paxten Aaronson,Eintracht Frankfurt,Attacking Midfield,"Aug 26, 2003",19,United States,€4.50m
Jens Petter Hauge,Eintracht Frankfurt,Left Winger,"Oct 12, 1999",23,Norway,€2.50m
Faride Alidou,Eintracht Frankfurt,Left Winger,"Jul 18, 2001",21,Germany,€2.50m
Ansgar Knauff,Eintracht Frankfurt,Right Winger,"Jan 10, 2002",21,Germany,€8.00m
Randal Kolo Muani,Eintracht Frankfurt,Centre-Forward,"Dec 5, 1998",24,France,€80.00m
Rafael Borré,Eintracht Frankfurt,Centre-Forward,"Sep 15, 1995",27,Colombia,€9.00m
Lucas Alario,Eintracht Frankfurt,Centre-Forward,"Oct 8, 1992",30,Argentina,€2.50m
Nacho Ferri,Eintracht Frankfurt,Centre-Forward,"Oct 5, 2004",18,Spain,€500k
Jonas Omlin,Borussia Mönchengladbach,Goalkeeper,"Jan 10, 1994",29,Switzerland,€9.00m
Yann Sommer,Borussia Mönchengladbach,Goalkeeper,"Dec 17, 1988",34,Switzerland,€5.00m
Jan Olschowsky,Borussia Mönchengladbach,Goalkeeper,"Nov 18, 2001",21,Germany,€800k
Tobias Sippel,Borussia Mönchengladbach,Goalkeeper,"Mar 22, 1988",35,Germany,€400k
Moritz Nicolas,Borussia Mönchengladbach,Goalkeeper,"Oct 21, 1997",25,Germany,€350k
Florian Dimmer,Borussia Mönchengladbach,Goalkeeper,"Jan 15, 2005",18,Germany,€100k
Maximilian Brüll,Borussia Mönchengladbach,Goalkeeper,"Aug 26, 2002",20,Germany,€75k
Nico Elvedi,Borussia Mönchengladbach,Centre-Back,"Sep 30, 1996",26,Switzerland,€18.00m
Jordan Beyer,Borussia Mönchengladbach,Centre-Back,"May 19, 2000",23,Germany,€16.00m
Ko Itakura,Borussia Mönchengladbach,Centre-Back,"Jan 27, 1997",26,Japan,€12.00m
Marvin Friedrich,Borussia Mönchengladbach,Centre-Back,"Dec 13, 1995",27,Germany,€4.00m
Tony Jantschke,Borussia Mönchengladbach,Centre-Back,"Apr 7, 1990",33,Germany,€600k
Mamadou Doucouré,Borussia Mönchengladbach,Centre-Back,"May 21, 1998",25,France,€100k
Ramy Bensebaini,Borussia Mönchengladbach,Left-Back,"Apr 16, 1995",28,Algeria,€20.00m
Luca Netz,Borussia Mönchengladbach,Left-Back,"May 15, 2003",20,Germany,€6.50m
Joe Scally,Borussia Mönchengladbach,Right-Back,"Dec 31, 2002",20,United States,€12.00m
Stefan Lainer,Borussia Mönchengladbach,Right-Back,"Aug 27, 1992",30,Austria,€3.00m
Simon Walde,Borussia Mönchengladbach,Right-Back,"Jan 4, 2005",18,Germany,€500k
Julian Weigl,Borussia Mönchengladbach,Defensive Midfield,"Sep 8, 1995",27,Germany,€10.00m
Christoph Kramer,Borussia Mönchengladbach,Defensive Midfield,"Feb 19, 1991",32,Germany,€2.50m
Manu Koné,Borussia Mönchengladbach,Central Midfield,"May 17, 2001",22,France,€40.00m
Florian Neuhaus,Borussia Mönchengladbach,Central Midfield,"Mar 16, 1997",26,Germany,€12.00m
Oscar Fraulo,Borussia Mönchengladbach,Central Midfield,"Dec 6, 2003",19,Denmark,€2.00m
Rocco Reitz,Borussia Mönchengladbach,Central Midfield,"May 29, 2002",21,Germany,€800k
Torben Müsel,Borussia Mönchengladbach,Central Midfield,"Jul 25, 1999",23,Germany,€200k
Jonas Hofmann,Borussia Mönchengladbach,Attacking Midfield,"Jul 14, 1992",30,Germany,€13.00m
Lars Stindl,Borussia Mönchengladbach,Attacking Midfield,"Aug 26, 1988",34,Germany,€1.00m
Conor Noß,Borussia Mönchengladbach,Attacking Midfield,"Jan 1, 2001",22,Ireland,€400k
Hannes Wolf,Borussia Mönchengladbach,Left Winger,"Apr 16, 1999",24,Austria,€3.00m
Yvandro Borges Sanches,Borussia Mönchengladbach,Left Winger,"May 24, 2004",19,Luxembourg,€1.50m
Nathan Ngoumou,Borussia Mönchengladbach,Right Winger,"Mar 14, 2000",23,France,€5.00m
Patrick Herrmann,Borussia Mönchengladbach,Right Winger,"Feb 12, 1991",32,Germany,€1.50m
Marcus Thuram,Borussia Mönchengladbach,Centre-Forward,"Aug 6, 1997",25,France,€32.00m
Alassane Plea,Borussia Mönchengladbach,Centre-Forward,"Mar 10, 1993",30,France,€8.00m
Semir Telalovic,Borussia Mönchengladbach,Centre-Forward,"Dec 23, 1999",23,Germany,€350k
Koen Casteels,VfL Wolfsburg,Goalkeeper,"Jun 25, 1992",31,Belgium,€8.00m
Pavao Pervan,VfL Wolfsburg,Goalkeeper,"Nov 13, 1987",35,Austria,€400k
Philipp Schulze,VfL Wolfsburg,Goalkeeper,"Jan 29, 2003",20,Germany,€200k
Niklas Klinger,VfL Wolfsburg,Goalkeeper,"Oct 13, 1995",27,Germany,€100k
Micky van de Ven,VfL Wolfsburg,Centre-Back,"Apr 19, 2001",22,Netherlands,€30.00m
Maxence Lacroix,VfL Wolfsburg,Centre-Back,"Apr 6, 2000",23,France,€17.00m
Sebastiaan Bornauw,VfL Wolfsburg,Centre-Back,"Mar 22, 1999",24,Belgium,€8.50m
David Odogu,VfL Wolfsburg,Centre-Back,"Jun 3, 2006",17,Germany,-
Paulo Otávio,VfL Wolfsburg,Left-Back,"Nov 23, 1994",28,Brazil,€4.00m
Nicolas Cozza,VfL Wolfsburg,Left-Back,"Jan 8, 1999",24,France,€3.50m
Jérôme Roussillon,VfL Wolfsburg,Left-Back,"Jan 6, 1993",30,Guadeloupe,€3.00m
Ridle Baku,VfL Wolfsburg,Right-Back,"Apr 8, 1998",25,Germany,€13.00m
Kilian Fischer,VfL Wolfsburg,Right-Back,"Oct 12, 2000",22,Germany,€2.00m
Bartol Franjic,VfL Wolfsburg,Defensive Midfield,"Jan 14, 2000",23,Croatia,€3.00m
Josuha Guilavogui,VfL Wolfsburg,Defensive Midfield,"Sep 19, 1990",32,France,€2.00m
Mattias Svanberg,VfL Wolfsburg,Central Midfield,"Jan 5, 1999",24,Sweden,€18.00m
Felix Nmecha,VfL Wolfsburg,Central Midfield,"Oct 10, 2000",22,Germany,€15.00m
Maximilian Arnold,VfL Wolfsburg,Central Midfield,"May 27, 1994",29,Germany,€14.00m
Aster Vranckx,VfL Wolfsburg,Central Midfield,"Oct 4, 2002",20,Belgium,€8.50m
Yannick Gerhardt,VfL Wolfsburg,Central Midfield,"Mar 13, 1994",29,Germany,€6.00m
Kevin Paredes,VfL Wolfsburg,Left Midfield,"May 7, 2003",20,United States,€5.00m
Jakub Kaminski,VfL Wolfsburg,Left Winger,"Jun 5, 2002",21,Poland,€12.00m
Josip Brekalo,VfL Wolfsburg,Left Winger,"Jun 23, 1998",25,Croatia,€5.00m
Lukas Ambros,VfL Wolfsburg,Left Winger,"Jun 5, 2004",19,Czech Republic,€200k
Patrick Wimmer,VfL Wolfsburg,Right Winger,"May 30, 2001",22,Austria,€18.00m
Maximilian Philipp,VfL Wolfsburg,Second Striker,"Mar 1, 1994",29,Germany,€2.00m
Max Kruse,VfL Wolfsburg,Second Striker,"Mar 19, 1988",35,Germany,€900k
Jonas Wind,VfL Wolfsburg,Centre-Forward,"Feb 7, 1999",24,Denmark,€14.00m
Lukas Nmecha,VfL Wolfsburg,Centre-Forward,"Dec 14, 1998",24,Germany,€12.00m
Omar Marmoush,VfL Wolfsburg,Centre-Forward,"Feb 7, 1999",24,Egypt,€6.00m
Bartosz Bialek,VfL Wolfsburg,Centre-Forward,"Nov 11, 2001",21,Poland,€3.00m
Luca Waldschmidt,VfL Wolfsburg,Centre-Forward,"May 19, 1996",27,Germany,€3.00m
Dzenan Pejcinovic,VfL Wolfsburg,Centre-Forward,"Feb 15, 2005",18,Germany,€1.00m
Mark Flekken,SC Freiburg,Goalkeeper,"Jun 13, 1993",30,Netherlands,€10.00m
Noah Atubolu,SC Freiburg,Goalkeeper,"May 25, 2002",21,Germany,€3.50m
Benjamin Uphoff,SC Freiburg,Goalkeeper,"Aug 8, 1993",29,Germany,€500k
Philipp Lienhart,SC Freiburg,Centre-Back,"Jul 11, 1996",26,Austria,€20.00m
Matthias Ginter,SC Freiburg,Centre-Back,"Jan 19, 1994",29,Germany,€18.00m
Keven Schlotterbeck,SC Freiburg,Centre-Back,"Apr 28, 1997",26,Germany,€3.00m
Kenneth Schmidt,SC Freiburg,Centre-Back,"Jun 3, 2002",21,Germany,€3.00m
Manuel Gulde,SC Freiburg,Centre-Back,"Feb 12, 1991",32,Germany,€1.50m
Christian Günter,SC Freiburg,Left-Back,"Feb 28, 1993",30,Germany,€7.50m
Kimberly Ezekwem,SC Freiburg,Left-Back,"Jun 19, 2001",22,Germany,€350k
Kiliann Sildillia,SC Freiburg,Right-Back,"May 16, 2002",21,France,€12.00m
Hugo Siquet,SC Freiburg,Right-Back,"Jul 9, 2002",20,Belgium,€3.30m
Lukas Kübler,SC Freiburg,Right-Back,"Aug 30, 1992",30,Germany,€2.50m
Yannik Keitel,SC Freiburg,Defensive Midfield,"Feb 15, 2000",23,Germany,€4.00m
Nicolas Höfler,SC Freiburg,Defensive Midfield,"Mar 9, 1990",33,Germany,€2.50m
Maximilian Eggestein,SC Freiburg,Central Midfield,"Dec 8, 1996",26,Germany,€10.00m
Merlin Röhl,SC Freiburg,Central Midfield,"Jul 5, 2002",20,Germany,€2.00m
Robert Wagner,SC Freiburg,Central Midfield,"Jul 14, 2003",19,Germany,€1.40m
Jonathan Schmid,SC Freiburg,Right Midfield,"Jun 22, 1990",33,France,€900k
Daniel-Kofi Kyereh,SC Freiburg,Attacking Midfield,"Mar 8, 1996",27,Ghana,€8.00m
Woo-yeong Jeong,SC Freiburg,Attacking Midfield,"Sep 20, 1999",23,"Korea, South",€3.50m
Vincenzo Grifo,SC Freiburg,Left Winger,"Apr 7, 1993",30,Italy,€12.00m
Noah Weißhaupt,SC Freiburg,Left Winger,"Sep 20, 2001",21,Germany,€4.00m
Kevin Schade,SC Freiburg,Right Winger,"Nov 27, 2001",21,Germany,€25.00m
Ritsu Doan,SC Freiburg,Right Winger,"Jun 16, 1998",25,Japan,€18.00m
Roland Sallai,SC Freiburg,Right Winger,"May 22, 1997",26,Hungary,€10.00m
Michael Gregoritsch,SC Freiburg,Centre-Forward,"Apr 18, 1994",29,Austria,€8.00m
Lucas Höler,SC Freiburg,Centre-Forward,"Jul 10, 1994",28,Germany,€5.00m
Nils Petersen,SC Freiburg,Centre-Forward,"Dec 6, 1988",34,Germany,€1.50m
Oliver Baumann,TSG 1899 Hoffenheim,Goalkeeper,"Jun 2, 1990",33,Germany,€4.00m
Philipp Pentke,TSG 1899 Hoffenheim,Goalkeeper,"May 1, 1985",38,Germany,€300k
Luca Philipp,TSG 1899 Hoffenheim,Goalkeeper,"Nov 28, 2000",22,Germany,€300k
Nahuel Noll,TSG 1899 Hoffenheim,Goalkeeper,"Mar 17, 2003",20,Germany,€250k
Ozan Kabak,TSG 1899 Hoffenheim,Centre-Back,"Mar 25, 2000",23,Türkiye,€10.00m
Stanley Nsoki,TSG 1899 Hoffenheim,Centre-Back,"Apr 9, 1999",24,France,€5.50m
Kevin Akpoguma,TSG 1899 Hoffenheim,Centre-Back,"Apr 19, 1995",28,Nigeria,€3.50m
Kevin Vogt,TSG 1899 Hoffenheim,Centre-Back,"Sep 23, 1991",31,Germany,€2.50m
Eduardo Quaresma,TSG 1899 Hoffenheim,Centre-Back,"Mar 2, 2002",21,Portugal,€2.50m
