player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
Aurélio Buta,Eintracht Frankfurt,27," D(R),M(R)",15(3),1325,3,2,3,0,0.5,77.9,1.2,0,6.81,1.8,0.5,1.7,0.2,1.7,0.7,0.1,0,1.0,0.6,0.9,0.1,0.5,1.3,29.9,0.7,0.9,0.0,0.6,2.4,0.04,9.0,0.07
Manu Koné,Borussia M.Gladbach,22, DMC,30,2620,1,1,12,0,0.9,87.3,0.5,0,6.81,2.5,1.1,1.7,0.1,0.7,0.8,0.4,0,0.7,1.9,2.5,0.0,1.7,2.7,45.3,0.0,0.9,0.0,1.03,-0.03,0.04,26.0,0.04
Philipp Lienhart,Freiburg,27, D(C),27(2),2498,1,0,3,0,0.6,85.4,2.2,1,6.81,1.0,1.2,0.6,0.3,3.2,0.5,0.5,0,0.1,0.1,1.1,0.0,0.0,0.7,54.9,0.0,4.1,0.0,1.04,-0.04,0.04,17.0,0.06
Lukas Kübler,Freiburg,31," D(CLR),M(R)",19(3),1648,2,1,1,0,0.4,70.1,1.1,0,6.81,1.7,1.3,0.8,0.1,2.1,0.5,0.5,0,0.3,0.2,0.7,0.0,0.1,0.6,30.7,0.3,1.8,0.0,0.95,1.05,0.05,9.0,0.11
Lars Stindl,Borussia M.Gladbach,35," M(CLR),FW",20(9),1745,8,7,9,0,1.7,81.6,0.3,0,6.81,0.8,0.4,1.0,0.0,0.6,0.6,0.2,0,1.4,0.3,1.3,0.3,0.9,1.1,25.9,0.3,1.0,0.2,5.47,2.53,0.28,50.0,0.11
Daichi Kamada,Eintracht Frankfurt,27," AM(CLR),FW",25(7),2271,9,6,3,0,1.4,83.3,0.6,2,6.8,1.6,0.5,1.3,0.0,0.5,0.8,0.1,0,1.1,0.5,0.8,0.2,0.8,1.0,37.2,0.4,1.5,0.1,9.03,-0.03,0.36,44.0,0.21
Rafal Gikiewicz,Augsburg,36, GK,23,2070,0,0,3,0,0.0,71.0,0.3,3,6.8,0.1,0.0,0.0,0.0,1.2,0.0,0.0,0,0.0,0.0,0.2,0.0,0.0,0.1,44.5,0.0,9.6,0.0,,,,,
Tomás Koubek,Augsburg,31, GK,11,990,0,0,0,0,0.0,65.2,0.7,1,6.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,42.0,0.0,9.0,0.0,,,,,
Mark Flekken,Freiburg,30, GK,34,3060,0,0,0,0,0.0,68.5,0.2,2,6.8,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.1,0.1,0.1,0.0,0.0,0.0,39.4,0.0,9.7,0.0,,,,,
Niklas Süle,Borussia Dortmund,28, D(CR),23(6),2116,2,3,2,0,1.1,91.3,1.1,0,6.8,0.9,0.6,0.3,0.7,1.8,0.3,0.7,0,0.6,0.3,0.2,0.0,0.3,0.3,61.4,0.1,4.4,0.0,2.38,-0.38,0.1,33.0,0.07
Julian Ryerson,Borussia Dortmund,26," D(LR),M(CLR)",17,1417,1,0,2,0,0.6,83.6,0.8,0,6.8,2.2,0.9,1.2,0.0,1.2,0.8,0.2,0,0.6,1.4,0.9,0.1,1.1,0.8,26.1,0.7,1.2,0.1,0.81,-0.81,0.07,16.0,0.05
Nicolas Höfler,Freiburg,34," D(C),DMC",32,2822,0,1,9,1,0.7,83.2,2.2,1,6.79,2.1,1.8,2.1,0.1,1.4,1.1,0.4,0,0.2,0.5,1.6,0.0,0.4,1.0,43.1,0.0,1.5,0.0,1.38,-1.38,0.04,21.0,0.07
Gregor Kobel,Borussia Dortmund,26, GK,27,2430,0,0,0,0,0.0,81.1,0.2,1,6.79,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1,0.0,0.0,0.1,0.0,0.0,0.0,34.3,0.0,5.7,0.0,,,,,
Florian Niederlechner,Augsburg,33," AM(CR),FW",10(4),912,4,1,1,0,2.0,60.4,2.1,0,6.79,0.7,0.1,0.9,0.0,0.6,0.2,0.1,0,0.4,0.4,0.9,0.6,0.8,1.1,13.7,0.0,0.1,0.0,3.05,0.95,0.3,28.0,0.11
Josip Juranovic,Union Berlin,28," D(LR),M(R)",10(2),932,2,1,0,0,0.6,69.4,0.3,1,6.79,0.8,0.5,0.2,0.3,1.6,0.9,0.3,0,1.8,0.6,0.3,0.3,0.3,0.5,25.6,1.9,1.4,0.0,1.27,0.73,0.12,7.0,0.18
Lee Jae-Sung,Mainz 05,31," AM(CLR),FW",24(10),1904,7,4,2,0,1.0,74.4,1.1,3,6.78,1.1,0.5,0.5,0.0,0.4,0.6,0.1,0,0.8,0.7,0.7,0.2,0.7,1.3,21.8,0.2,0.6,0.0,4.29,2.71,0.2,35.0,0.12
Koen Casteels,Wolfsburg,31, GK,34,3060,0,0,0,0,0.0,74.0,0.1,2,6.78,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,41.2,0.0,10.6,0.0,0.05,-0.05,0.0,1.0,0.05
Christopher Trimmel,Union Berlin,37," D(CR),M(R)",20(5),1811,0,6,1,0,0.6,66.8,0.9,0,6.77,1.2,1.0,0.7,0.1,1.8,0.4,0.0,0,1.4,0.3,0.3,0.0,0.3,0.5,25.3,1.7,1.2,0.0,0.8,-0.8,0.04,14.0,0.06
Serhou Guirassy,VfB Stuttgart,28," AM(L),FW",20(2),1653,11,0,2,1,2.2,74.3,1.9,1,6.76,0.2,0.0,0.8,0.0,0.6,0.0,0.1,0,0.9,0.6,2.0,0.5,0.9,2.4,20.0,0.0,0.4,0.0,12.28,-1.28,0.67,49.0,0.25
Benjamin Henrichs,RB Leipzig,27," D(LR),DMC,M(LR)",23(7),2188,2,2,8,0,1.0,78.2,0.8,0,6.76,2.4,1.2,1.2,0.0,1.3,0.8,0.1,0,0.7,0.7,0.9,0.1,0.6,1.1,43.4,0.5,1.6,0.1,1.56,0.44,0.06,31.0,0.05
Ermedin Demirovic,Augsburg,26," AM(CL),FW",30,2383,8,4,7,1,2.1,51.0,2.2,2,6.76,1.0,0.5,1.6,0.0,1.2,0.4,0.1,0,1.0,0.6,1.0,0.4,1.1,1.8,16.8,0.2,0.1,0.1,8.45,-0.45,0.32,64.0,0.13
Stefan Bell,Mainz 05,32, D(CR),26(4),2395,0,0,9,0,0.2,77.0,3.4,1,6.76,1.4,1.5,1.6,0.3,4.4,0.7,0.5,0,0.3,0.2,0.4,0.1,0.1,0.4,40.8,0.0,3.3,0.0,1.01,-1.01,0.04,7.0,0.14
Abdou Diallo,RB Leipzig,27, D(CL),5(3),476,1,0,2,0,0.5,85.1,1.5,0,6.76,0.8,1.0,0.4,0.5,2.5,0.3,0.6,0,0.1,0.4,0.3,0.1,0.8,0.4,47.1,0.0,3.1,0.1,0.23,0.77,0.04,4.0,0.06
Ko Itakura,Borussia M.Gladbach,27," D(C),DMC",22(2),1982,0,2,1,2,0.5,91.0,1.8,0,6.76,1.2,1.1,0.5,0.9,3.8,0.6,1.0,0,0.2,0.3,0.6,0.0,0.1,0.4,65.0,0.0,1.9,0.0,0.49,-0.49,0.02,11.0,0.04
Leandro Barreiro,Mainz 05,24, DMC,25(6),2144,4,3,5,0,1.0,69.0,1.3,2,6.75,1.9,1.3,1.5,0.0,1.1,0.9,0.4,0,0.5,0.2,1.1,0.1,0.4,1.3,17.7,0.0,0.4,0.0,3.76,0.24,0.16,32.0,0.12
Gabriel Vidovic,Bayern Munich,20, AM(L),0(1),18,0,1,0,0,0.0,76.9,0.0,0,6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,,,,,
Hrvoje Smolcic,Eintracht Frankfurt,23, D(C),4(5),467,0,0,0,0,0.3,80.7,3.0,1,6.73,0.9,0.7,0.0,0.6,4.0,0.6,0.4,0,0.0,0.2,0.6,0.0,0.1,0.3,39.2,0.0,1.7,0.0,0.17,-0.17,0.03,3.0,0.06
Ridle Baku,Wolfsburg,26," D(R),M(CR)",29(4),2582,5,3,6,0,0.8,78.9,0.7,1,6.73,1.5,0.6,0.8,0.2,1.6,0.8,0.2,0,0.8,0.7,1.0,0.1,0.6,1.8,37.6,0.6,2.0,0.0,3.11,1.89,0.11,28.0,0.11
Moritz Jenz,Schalke 04,25, D(C),11,946,0,0,5,0,0.9,76.7,3.1,0,6.73,1.3,0.7,1.7,0.3,4.5,0.3,0.9,0,0.1,0.1,0.5,0.2,0.2,0.8,44.2,0.1,4.4,0.0,0.74,-0.74,0.07,10.0,0.07
Angeliño,Hoffenheim,27," D(L),M(L)",30(3),2622,0,9,2,0,0.6,68.2,0.5,1,6.73,1.2,0.8,0.4,0.1,1.6,0.4,0.2,0,1.5,0.4,0.9,0.2,0.5,0.8,32.5,1.6,2.4,0.0,0.94,-0.94,0.03,21.0,0.04
Marcin Kaminski,Schalke 04,32, D(C),7(1),631,2,0,0,0,0.5,82.4,3.6,0,6.73,0.8,1.1,0.1,0.8,3.5,0.3,0.9,0,0.3,0.1,0.0,0.0,0.1,0.5,38.4,0.1,3.5,0.0,0.31,1.69,0.04,4.0,0.08
Marius Bülter,Schalke 04,31," D(R),M(CLR),FW",30(3),2605,11,1,5,0,2.1,64.2,1.3,2,6.72,0.7,0.3,0.8,0.0,0.5,0.6,0.0,0,1.2,1.0,1.5,0.2,0.8,2.5,18.7,0.8,0.5,0.1,8.67,2.33,0.3,68.0,0.13
Tuta,Eintracht Frankfurt,24, D(C),30(1),2717,2,1,8,0,0.5,80.4,1.6,1,6.72,1.7,1.6,1.1,0.5,4.1,0.8,0.5,0,0.2,0.4,0.6,0.0,0.4,0.9,59.1,0.1,2.7,0.0,2.02,-0.02,0.07,17.0,0.12
Ivan Ordets,Bochum,31, D(C),28(2),2450,0,0,4,0,0.6,72.9,4.6,0,6.72,1.0,1.9,1.1,0.5,4.5,0.4,0.6,0,0.3,0.1,0.8,0.1,0.1,0.3,33.1,0.0,2.1,0.0,1.49,-1.49,0.05,17.0,0.09
Junior Dina Ebimbe,Eintracht Frankfurt,23, M(CLR),10(9),1061,3,1,4,0,1.4,72.7,1.2,1,6.71,1.6,0.6,0.8,0.0,1.0,0.9,0.3,0,0.5,0.9,0.6,0.1,0.8,1.4,23.3,0.1,0.7,0.0,3.1,-0.1,0.26,26.0,0.12
Dayot Upamecano,Bayern Munich,25, D(C),27(2),2348,0,1,6,1,0.2,90.8,1.6,0,6.71,2.2,0.9,1.0,0.4,2.4,0.6,0.2,0,0.2,0.3,0.5,0.0,0.3,0.7,79.5,0.0,4.7,0.0,0.85,-0.85,0.03,7.0,0.12
Luca Pellegrini,Eintracht Frankfurt,25," D(L),M(L)",7(2),559,0,0,1,0,1.6,72.7,0.6,0,6.71,1.4,0.8,0.9,0.2,1.2,0.0,0.2,0,0.9,1.2,0.9,0.0,0.6,0.8,32.6,0.9,2.4,0.1,0.54,-0.54,0.09,14.0,0.04
John Anthony Brooks,Hoffenheim,31, D(C),15,1350,0,0,4,0,0.5,81.0,4.3,0,6.71,1.2,0.7,1.4,0.4,6.9,0.3,0.8,0,0.0,0.1,0.9,0.1,0.1,0.1,51.3,0.0,3.7,0.0,0.31,-0.31,0.02,7.0,0.04
Jakub Kaminski,Wolfsburg,21, M(LR),25(6),2074,4,2,0,0,1.3,76.4,0.4,1,6.7,1.2,0.3,0.3,0.1,0.4,0.6,0.1,0,0.9,0.9,0.4,0.1,1.0,1.8,19.0,0.3,0.6,0.1,5.58,-1.58,0.24,39.0,0.14
Marco Richter,Hertha Berlin,26," M(CLR),FW",21(8),1844,6,5,8,0,1.7,67.3,0.4,2,6.7,1.5,0.8,1.2,0.0,0.6,1.0,0.1,0,0.7,1.2,1.1,0.2,1.2,2.0,20.0,0.5,1.2,0.0,3.59,2.41,0.18,49.0,0.07
Kevin Akpoguma,Hoffenheim,29," D(CR),M(R)",21(7),1952,0,0,11,0,0.3,79.8,2.0,0,6.7,2.7,0.9,1.2,0.4,2.2,0.5,0.6,0,0.2,0.3,0.7,0.0,0.3,0.6,35.3,0.1,1.9,0.0,0.49,-0.49,0.02,8.0,0.06
Oliver Baumann,Hoffenheim,33, GK,34,3060,0,0,2,0,0.0,72.3,0.5,2,6.7,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,0.0,7.4,0.0,,,,,
Jonas Omlin,Borussia M.Gladbach,30, GK,15,1291,0,0,0,0,0.0,78.6,0.3,1,6.7,0.1,0.0,0.0,0.0,0.9,0.1,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,44.3,0.0,6.1,0.0,,,,,
Anthony Losilla,Bochum,38," D(C),DMC",31,2725,2,2,6,1,0.9,68.3,3.0,1,6.7,2.5,1.2,1.5,0.0,2.1,1.3,0.4,0,0.5,0.3,0.5,0.1,0.3,0.8,30.6,0.1,1.2,0.0,2.35,-0.35,0.08,27.0,0.09
Xaver Schlager,RB Leipzig,26, M(C),16(6),1505,1,1,2,0,0.2,83.8,0.6,1,6.69,1.9,0.8,1.2,0.0,1.0,1.0,0.1,0,0.4,0.6,1.1,0.0,0.6,1.0,41.7,0.0,2.6,0.1,0.5,0.5,0.03,5.0,0.1
Kerem Demirbay,Bayer Leverkusen,30, M(C),17(8),1548,4,3,5,0,1.2,82.5,0.4,2,6.69,1.4,0.6,1.2,0.0,0.4,0.6,0.2,0,1.2,0.3,0.9,0.0,0.8,1.0,38.7,0.9,1.7,0.1,2.58,1.42,0.15,31.0,0.08
Hiroki Ito,VfB Stuttgart,24, D(CL),29(1),2563,1,1,5,0,0.7,83.0,1.3,0,6.69,1.3,1.3,0.5,0.5,2.8,0.6,0.6,0,0.7,0.2,0.6,0.1,0.2,0.7,66.0,0.5,6.1,0.0,0.5,0.5,0.02,21.0,0.02
Anthony Caci,Mainz 05,26," D(CLR),M(LR)",23(8),2036,2,1,4,0,0.3,74.2,0.7,0,6.69,1.9,1.7,0.6,0.1,1.2,0.5,0.1,0,0.7,0.3,0.3,0.0,0.3,0.5,29.4,0.8,3.2,0.0,0.61,1.39,0.03,10.0,0.06
Amine Adli,Bayer Leverkusen,23," AM(CLR),FW",16(10),1443,5,3,2,2,1.4,78.1,1.1,1,6.69,0.7,0.2,1.5,0.0,0.2,0.5,0.1,0,0.8,1.0,1.8,0.2,0.7,2.0,20.6,0.2,0.3,0.0,5.43,-0.43,0.34,37.0,0.15
Mërgim Berisha,Augsburg,25," AM(C),FW",20(3),1688,9,4,7,1,2.4,54.0,1.7,4,6.69,0.5,0.0,1.2,0.0,0.8,0.4,0.0,0,0.9,0.2,1.3,0.7,1.2,1.8,11.4,0.8,0.3,0.0,8.39,0.61,0.45,55.0,0.15
Marco Reus,Borussia Dortmund,34," M(CLR),FW",14(11),1352,6,4,4,0,1.5,81.1,0.5,1,6.69,1.2,0.3,0.7,0.0,0.3,0.7,0.2,0,0.8,0.4,0.7,0.1,0.6,1.2,21.8,0.2,0.1,0.0,5.66,0.34,0.38,37.0,0.15
Nico Elvedi,Borussia M.Gladbach,27, D(CLR),32,2828,3,0,2,0,0.6,91.7,2.3,1,6.69,1.4,1.1,0.8,0.8,4.5,0.4,0.5,0,0.2,0.0,0.3,0.0,0.1,0.3,67.0,0.0,2.4,0.0,1.83,1.17,0.06,18.0,0.1
Eric Martel,FC Koln,22, DMC,23(6),2024,1,1,6,0,1.0,79.7,2.0,0,6.68,2.3,1.1,1.4,0.0,1.5,1.0,0.3,0,0.2,0.2,0.9,0.0,0.9,1.2,29.8,0.2,0.8,0.0,1.76,-0.76,0.08,28.0,0.06
Davie Selke,FC Koln,29, FW,12(5),877,5,0,2,0,1.6,58.4,3.8,2,6.68,0.0,0.0,0.9,0.0,0.6,0.2,0.1,0,0.5,0.2,0.7,0.4,0.5,0.7,11.9,0.0,0.0,0.0,3.67,1.33,0.38,28.0,0.13
Ozan Kabak,Hoffenheim,24, D(C),28(2),2395,2,2,8,2,0.8,83.4,2.7,1,6.68,1.7,1.5,1.8,0.4,2.7,0.4,0.8,1,0.1,0.5,0.5,0.0,0.2,0.8,42.1,0.0,2.0,0.0,1.45,0.55,0.05,24.0,0.06
Maximilian Eggestein,Freiburg,27, M(CR),27(4),2459,1,2,6,0,0.5,77.5,1.9,0,6.68,1.6,1.2,1.0,0.0,0.8,0.6,0.3,0,0.8,0.3,0.7,0.0,0.7,0.7,27.4,0.1,0.7,0.1,0.88,0.12,0.03,16.0,0.06
Philipp Max,Eintracht Frankfurt,30," D(L),M(L)",8(2),698,0,1,1,0,0.9,80.5,0.5,0,6.68,1.2,0.3,0.6,0.1,1.1,1.1,0.2,0,1.6,0.3,0.2,0.1,0.3,0.8,33.8,1.7,1.1,0.0,0.54,-0.54,0.07,9.0,0.06
Jonas Wind,Wolfsburg,25," AM(C),FW",15(9),1294,6,0,1,0,1.3,67.2,2.5,2,6.68,0.6,0.0,0.7,0.0,0.4,0.2,0.2,0,0.6,0.3,0.9,0.0,0.8,1.9,15.3,0.0,0.0,0.0,4.5,1.5,0.31,30.0,0.15
Jamie Bynoe-Gittens,Borussia Dortmund,19, AM(L),4(11),527,3,1,1,0,1.6,77.3,0.6,0,6.67,0.5,0.1,0.6,0.0,0.1,0.3,0.0,0,0.1,1.3,1.2,0.0,0.3,1.5,8.8,0.0,0.1,0.1,3.23,-0.23,0.55,24.0,0.13
Evan Ndicka,Eintracht Frankfurt,24, D(CL),30,2693,1,0,4,0,0.6,86.4,2.6,1,6.67,0.8,1.0,1.0,0.5,4.8,0.5,0.6,1,0.1,0.2,0.5,0.0,0.2,0.6,60.1,0.0,2.5,0.0,1.4,-0.4,0.05,17.0,0.08
Josko Gvardiol,RB Leipzig,22, D(CL),24(6),2171,1,0,2,0,0.5,89.3,1.4,1,6.67,0.8,1.1,0.7,0.5,2.3,0.4,0.6,1,0.4,0.5,0.4,0.0,0.2,0.3,71.3,0.1,4.8,0.0,1.42,-0.42,0.06,14.0,0.1
Marco Friedl,Werder Bremen,26," D(CL),M(L)",30,2597,0,0,8,1,0.2,82.3,1.6,0,6.67,2.1,1.9,0.8,0.7,4.1,0.9,0.6,2,0.3,0.3,0.8,0.1,0.3,0.6,55.9,0.3,6.1,0.0,0.36,-0.36,0.01,6.0,0.06
André Hahn,Augsburg,33," AM(CLR),FW",4(3),389,2,0,1,0,1.0,43.2,1.9,0,6.67,1.3,0.6,1.1,0.1,1.4,0.6,0.3,0,0.1,0.1,0.4,0.1,0.1,1.9,10.6,0.0,0.3,0.0,0.26,1.74,0.06,7.0,0.04
Piero Hincapié,Bayer Leverkusen,22," D(CL),M(L)",27(3),2466,1,1,9,3,0.6,83.2,2.0,0,6.66,1.7,1.0,1.3,0.4,2.5,0.4,0.7,0,0.3,0.5,1.2,0.0,0.3,0.7,55.7,0.1,1.9,0.1,1.26,-0.26,0.05,17.0,0.07
Jesper Lindstrøm,Eintracht Frankfurt,24," AM(CLR),FW",22(5),1696,7,2,2,0,1.7,67.9,0.2,2,6.66,1.0,0.3,0.7,0.0,0.2,0.6,0.1,0,0.7,1.0,0.7,0.1,1.3,2.4,17.0,0.4,0.1,0.1,6.11,0.89,0.32,45.0,0.14
Patrik Schick,Bayer Leverkusen,28," AM(R),FW",10(4),941,3,1,0,0,2.4,69.8,2.1,0,6.66,0.0,0.1,0.4,0.0,0.5,0.1,0.1,0,0.7,0.5,1.1,0.0,0.9,2.0,17.3,0.1,0.1,0.0,5.08,-2.08,0.49,34.0,0.15
Aarón Martín,Mainz 05,27," D(L),M(L)",20(8),1848,5,3,3,0,0.7,80.5,0.0,1,6.66,1.5,0.5,1.0,0.1,1.0,0.7,0.0,0,1.0,0.4,0.4,0.1,0.5,0.5,24.4,1.3,1.3,0.0,1.99,3.01,0.1,19.0,0.1
Tom Krauß,Schalke 04,22, DMC,31(1),2531,2,0,8,0,0.8,73.3,0.8,0,6.66,3.5,1.1,1.4,0.1,1.1,1.5,0.2,0,0.3,0.6,1.0,0.0,1.0,0.8,24.5,0.1,0.8,0.0,2.12,-0.12,0.08,25.0,0.08
Micky van de Ven,Wolfsburg,23, D(CL),33,2970,1,1,5,0,0.5,88.3,1.1,1,6.66,1.4,0.8,0.7,0.8,3.1,0.3,0.7,0,0.2,0.6,0.8,0.0,0.3,0.4,50.5,0.1,2.0,0.0,1.28,-0.28,0.04,16.0,0.08
Suat Serdar,Hertha Berlin,27, M(CLR),24(8),2034,4,2,7,0,0.7,70.6,0.9,1,6.66,1.6,0.9,1.0,0.0,0.7,0.7,0.4,0,0.6,1.1,1.0,0.0,1.0,1.1,19.0,0.1,1.0,0.0,2.27,1.73,0.1,23.0,0.1
Maxence Lacroix,Wolfsburg,24, D(C),18(6),1628,1,0,1,0,0.2,87.3,2.1,1,6.66,0.9,1.1,0.8,0.7,3.4,0.3,0.5,0,0.1,0.3,0.5,0.0,0.3,0.4,45.2,0.0,3.1,0.0,0.36,0.64,0.02,4.0,0.09
Christopher Lenz,Eintracht Frankfurt,29," D(L),M(L)",13(11),1286,0,2,1,0,0.5,82.5,0.6,0,6.66,1.2,0.9,0.8,0.2,1.3,0.9,0.1,0,1.0,0.5,0.5,0.0,0.2,0.5,26.1,0.9,1.2,0.0,0.47,-0.47,0.03,12.0,0.04
Rani Khedira,Union Berlin,30," D(C),DMC",33,2887,2,0,8,0,0.7,75.4,1.3,1,6.66,1.8,1.2,1.6,0.0,0.9,0.8,0.3,0,0.2,0.3,0.4,0.0,0.5,0.8,31.1,0.2,1.4,0.0,2.01,-0.01,0.06,24.0,0.08
Mario Götze,Eintracht Frankfurt,31," M(CLR),FW",32,2749,3,1,6,0,0.8,78.2,0.1,0,6.65,1.3,0.4,0.8,0.0,0.3,1.0,0.0,0,1.3,0.8,1.4,0.1,1.4,1.8,43.8,0.7,1.3,0.2,3.03,-0.03,0.1,26.0,0.12
Robin Zentner,Mainz 05,29, GK,26,2340,0,0,1,0,0.0,55.0,0.7,0,6.65,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,27.7,0.0,6.8,0.0,,,,,
Marcel Sabitzer,Bayern Munich,30," M(CLR),FW",7(8),627,1,1,2,0,1.0,87.7,0.5,0,6.65,1.8,0.7,0.5,0.0,0.6,0.5,0.0,0,0.4,0.1,0.1,0.1,0.2,0.4,30.3,0.0,0.8,0.0,1.04,-0.04,0.15,15.0,0.07
Chris Führich,VfB Stuttgart,26," M(CLR),FW",21(12),1892,5,2,2,0,1.3,82.3,0.1,1,6.65,1.1,0.2,0.2,0.0,0.3,0.6,0.1,0,0.7,1.5,0.3,0.1,0.9,1.1,19.1,0.4,0.7,0.0,3.89,1.11,0.19,44.0,0.09
Christian Günter,Freiburg,31," D(L),M(L)",31(2),2749,1,4,5,0,0.8,76.3,0.4,1,6.65,0.9,0.5,1.0,0.2,1.0,0.9,0.1,0,1.8,0.3,0.4,0.2,0.4,0.5,29.4,1.8,1.8,0.0,1.84,-0.84,0.06,27.0,0.07
Andrej Kramaric,Hoffenheim,32," AM(CLR),FW",26(6),2394,12,3,3,0,2.0,82.8,0.3,2,6.65,0.2,0.2,0.3,0.0,0.3,0.3,0.1,0,1.1,0.9,1.1,0.3,1.0,1.9,28.9,0.3,1.5,0.0,12.76,-0.76,0.48,63.0,0.2
Mohamed Simakan,RB Leipzig,24, D(CR),18(6),1461,1,1,2,0,0.5,81.0,1.6,1,6.65,0.9,0.7,1.0,0.2,2.1,0.3,0.2,0,0.5,0.5,1.0,0.1,0.3,0.9,41.3,0.2,1.8,0.1,2.4,-1.4,0.15,12.0,0.2
Maximilian Mittelstädt,Hertha Berlin,27," D(L),M(CL)",7(10),845,0,0,5,0,0.4,72.4,0.6,0,6.65,2.3,1.5,0.8,0.2,1.2,1.3,0.1,0,0.6,1.1,0.5,0.0,0.5,0.7,19.2,0.5,0.7,0.1,0.17,-0.17,0.02,6.0,0.03
Roland Sallai,Freiburg,26," M(CLR),FW",10(9),1003,1,3,6,0,1.7,74.5,1.1,1,6.64,0.6,0.1,1.5,0.0,0.6,0.3,0.1,0,0.9,0.6,1.6,0.2,0.5,1.1,15.7,0.6,0.3,0.0,2.66,-1.66,0.24,32.0,0.08
Malick Thiaw,Schalke 04,22, D(C),3,270,0,0,2,0,0.7,87.8,3.3,0,6.64,1.0,3.0,1.0,1.7,8.0,0.3,1.0,0,0.0,0.3,0.0,0.0,0.0,0.0,41.0,0.0,2.0,0.0,0.22,-0.22,0.07,2.0,0.11
Clinton Mola,VfB Stuttgart,23, D(LR),0(1),14,0,0,1,0,0.0,50.0,1.0,0,6.64,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,
Leonardo Bittencourt,Werder Bremen,30," M(CLR),FW",22(3),1644,3,2,10,0,1.0,76.1,0.4,0,6.64,2.1,0.4,1.7,0.0,0.5,1.5,0.0,0,0.6,1.0,1.6,0.1,0.4,1.7,28.4,0.3,1.0,0.0,1.29,1.71,0.07,25.0,0.05
Lucas Hernández,Bayern Munich,28, D(CL),6(1),479,0,0,1,0,0.0,90.8,0.6,0,6.63,0.9,0.7,0.6,0.3,0.9,0.1,0.1,0,0.1,0.1,0.6,0.0,0.0,0.1,49.7,0.0,4.0,0.0,,,,,
Janik Haberer,Union Berlin,30," M(CLR),FW",30(2),2213,5,1,1,0,1.0,73.8,1.2,1,6.63,0.9,0.4,1.1,0.0,0.8,1.0,0.1,0,0.7,0.3,1.2,0.0,0.6,1.1,20.3,0.1,0.7,0.0,2.78,2.22,0.11,32.0,0.09
Edmond Tapsoba,Bayer Leverkusen,25, D(C),32(1),2872,1,0,5,0,0.5,85.8,1.7,1,6.63,1.5,1.1,0.8,0.6,3.0,0.4,0.5,1,0.2,0.5,0.5,0.1,0.4,0.5,66.4,0.0,3.9,0.2,2.57,-1.57,0.08,15.0,0.17
David Raum,RB Leipzig,26," D(L),M(LR)",19(9),1688,0,2,5,0,0.5,80.7,0.6,0,6.63,1.4,0.6,0.8,0.0,0.8,0.4,0.2,0,1.3,0.3,0.5,0.1,0.3,0.6,31.2,1.3,1.1,0.1,0.52,-0.52,0.03,14.0,0.04
Maya Yoshida,Schalke 04,35, D(CR),28(1),2554,0,0,4,0,0.4,76.7,2.9,0,6.63,1.2,1.6,0.7,0.5,4.4,0.4,1.0,0,0.1,0.2,0.6,0.0,0.1,0.4,47.9,0.1,4.1,0.0,0.86,-0.86,0.03,12.0,0.07
Mattias Svanberg,Wolfsburg,25, M(CLR),21(11),1836,4,6,4,0,0.9,71.8,0.6,1,6.63,0.8,0.7,0.8,0.0,0.7,0.6,0.2,0,0.8,0.5,0.9,0.1,0.6,1.5,16.4,0.4,0.6,0.1,3.94,0.06,0.19,30.0,0.13
André Silva,RB Leipzig,28, FW,20(11),1741,4,3,3,0,1.9,73.7,0.6,0,6.63,0.4,0.1,1.0,0.0,0.1,0.2,0.0,0,0.8,0.7,1.4,0.3,1.4,2.1,15.1,0.0,0.3,0.1,10.13,-6.13,0.52,60.0,0.17
Manuel Riemann,Bochum,35, GK,34,3060,0,0,3,0,0.0,58.9,0.3,3,6.63,0.1,0.1,0.0,0.0,1.1,0.1,0.0,1,0.1,0.0,0.1,0.0,0.0,0.0,49.0,0.0,18.4,0.0,0.04,-0.04,0.0,1.0,0.04
