Name,Team,Position,Date of Birth,Age,Nationality,Market Value
Matteo Politano,SSC Napoli,Right Winger,"Aug 3, 1993",29,Italy,€15.00m
Adam Ounas,SSC Napoli,Right Winger,"Nov 11, 1996",26,Algeria,€7.00m
Giacomo Raspadori,SSC Napoli,Second Striker,"Feb 18, 2000",23,Italy,€35.00m
Victor Osimhen,SSC Napoli,Centre-Forward,"Dec 29, 1998",24,Nigeria,€120.00m
Giovanni Simeone,SSC Napoli,Centre-Forward,"Jul 5, 1995",27,Argentina,€15.00m
André Onana,Inter Milan,Goalkeeper,"Apr 2, 1996",27,Cameroon,€35.00m
Samir Handanovic,Inter Milan,Goalkeeper,"Jul 14, 1984",38,Slovenia,€500k
Gabriel Brazão,Inter Milan,Goalkeeper,"Oct 5, 2000",22,Brazil,€400k
Alex Cordaz,Inter Milan,Goalkeeper,"Jan 1, 1983",40,Italy,€200k
Nikolaos Botis,Inter Milan,Goalkeeper,"Mar 31, 2004",19,Greece,€100k
Alessandro Bastoni,Inter Milan,Centre-Back,"Apr 13, 1999",24,Italy,€60.00m
Milan Skriniar,Inter Milan,Centre-Back,"Feb 11, 1995",28,Slovakia,€50.00m
Stefan de Vrij,Inter Milan,Centre-Back,"Feb 5, 1992",31,Netherlands,€8.00m
Francesco Acerbi,Inter Milan,Centre-Back,"Feb 10, 1988",35,Italy,€4.00m
Danilo D'Ambrosio,Inter Milan,Centre-Back,"Sep 9, 1988",34,Italy,€1.50m
Alessandro Fontanarosa,Inter Milan,Centre-Back,"Feb 7, 2003",20,Italy,€400k
Federico Dimarco,Inter Milan,Left-Back,"Nov 10, 1997",25,Italy,€35.00m
Dalbert,Inter Milan,Left-Back,"Sep 8, 1993",29,Brazil,€1.00m
Matteo Darmian,Inter Milan,Right-Back,"Dec 2, 1989",33,Italy,€4.00m
Mattia Zanotti,Inter Milan,Right-Back,"Jan 11, 2003",20,Italy,€800k
Hakan Çalhanoğlu,Inter Milan,Defensive Midfield,"Feb 8, 1994",29,Türkiye,€40.00m
Marcelo Brozovic,Inter Milan,Defensive Midfield,"Nov 16, 1992",30,Croatia,€25.00m
Kristjan Asllani,Inter Milan,Defensive Midfield,"Mar 9, 2002",21,Albania,€12.00m
Lucien Agoumé,Inter Milan,Defensive Midfield,"Feb 9, 2002",21,France,€7.00m
Aleksandar Stankovic,Inter Milan,Defensive Midfield,"Aug 3, 2005",17,Serbia,-
Nicolò Barella,Inter Milan,Central Midfield,"Feb 7, 1997",26,Italy,€75.00m
Henrikh Mkhitaryan,Inter Milan,Central Midfield,"Jan 21, 1989",34,Armenia,€6.00m
Roberto Gagliardini,Inter Milan,Central Midfield,"Apr 7, 1994",29,Italy,€4.00m
Ebenezer Akinsanmiro,Inter Milan,Central Midfield,"Nov 25, 2004",18,Nigeria,€800k
Denzel Dumfries,Inter Milan,Right Midfield,"Apr 18, 1996",27,Netherlands,€28.00m
Raoul Bellanova,Inter Milan,Right Midfield,"May 17, 2000",23,Italy,€5.00m
Robin Gosens,Inter Milan,Left Midfield,"Jul 5, 1994",28,Germany,€15.00m
Valentín Carboni,Inter Milan,Attacking Midfield,"Mar 5, 2005",18,Argentina,€5.00m
Issiaka Kamate,Inter Milan,Right Winger,"Aug 2, 2004",18,France,€200k
Joaquín Correa,Inter Milan,Second Striker,"Aug 13, 1994",28,Argentina,€12.00m
Lautaro Martínez,Inter Milan,Centre-Forward,"Aug 22, 1997",25,Argentina,€85.00m
Romelu Lukaku,Inter Milan,Centre-Forward,"May 13, 1993",30,Belgium,€40.00m
Edin Dzeko,Inter Milan,Centre-Forward,"Mar 17, 1986",37,Bosnia-Herzegovina,€4.00m
Eddie Salcedo,Inter Milan,Centre-Forward,"Oct 1, 2001",21,Italy,€2.50m
Dennis Curatolo,Inter Milan,Centre-Forward,"Apr 3, 2004",19,Italy,€150k
Mike Maignan,AC Milan,Goalkeeper,"Jul 3, 1995",27,France,€45.00m
Ciprian Tătărușanu,AC Milan,Goalkeeper,"Feb 9, 1986",37,Romania,€400k
Devis Vásquez,AC Milan,Goalkeeper,"May 12, 1998",25,Colombia,€350k
Andreas Jungdal,AC Milan,Goalkeeper,"Feb 22, 2002",21,Denmark,€300k
Lapo Nava,AC Milan,Goalkeeper,"Jan 22, 2004",19,Italy,€150k
Antonio Mirante,AC Milan,Goalkeeper,"Jul 8, 1983",39,Italy,€100k
Fikayo Tomori,AC Milan,Centre-Back,"Dec 19, 1997",25,England,€40.00m
Pierre Kalulu,AC Milan,Centre-Back,"Jun 5, 2000",23,France,€30.00m
Malick Thiaw,AC Milan,Centre-Back,"Aug 8, 2001",21,Germany,€20.00m
Matteo Gabbia,AC Milan,Centre-Back,"Oct 21, 1999",23,Italy,€5.00m
Simon Kjaer,AC Milan,Centre-Back,"Mar 26, 1989",34,Denmark,€3.50m
Andrei Coubiș,AC Milan,Centre-Back,"Sep 29, 2003",19,Romania,€100k
Theo Hernández,AC Milan,Left-Back,"Oct 6, 1997",25,France,€60.00m
Sergiño Dest,AC Milan,Left-Back,"Nov 3, 2000",22,United States,€10.00m
Fodé Ballo-Touré,AC Milan,Left-Back,"Jan 3, 1997",26,Senegal,€3.50m
Andrea Bozzolan,AC Milan,Left-Back,"Feb 23, 2004",19,Italy,€125k
Davide Calabria,AC Milan,Right-Back,"Dec 6, 1996",26,Italy,€20.00m
Alessandro Florenzi,AC Milan,Right-Back,"Mar 11, 1991",32,Italy,€2.00m
Sandro Tonali,AC Milan,Defensive Midfield,"May 8, 2000",23,Italy,€50.00m
Ismaël Bennacer,AC Milan,Defensive Midfield,"Dec 1, 1997",25,Algeria,€40.00m
Rade Krunic,AC Milan,Defensive Midfield,"Oct 7, 1993",29,Bosnia-Herzegovina,€10.00m
Yacine Adli,AC Milan,Defensive Midfield,"Jul 29, 2000",22,France,€8.00m
Tiemoué Bakayoko,AC Milan,Defensive Midfield,"Aug 17, 1994",28,France,€2.50m
Tommaso Pobega,AC Milan,Central Midfield,"Jul 15, 1999",23,Italy,€14.00m
Aster Vranckx,AC Milan,Central Midfield,"Oct 4, 2002",20,Belgium,€8.50m
Antonio Gala,AC Milan,Central Midfield,"Jun 7, 2004",19,Italy,€75k
Charles De Ketelaere,AC Milan,Attacking Midfield,"Mar 10, 2001",22,Belgium,€22.00m
Brahim Díaz,AC Milan,Attacking Midfield,"Aug 3, 1999",23,Morocco,€20.00m
Rafael Leão,AC Milan,Left Winger,"Jun 10, 1999",24,Portugal,€90.00m
Ante Rebic,AC Milan,Left Winger,"Sep 21, 1993",29,Croatia,€6.00m
Alexis Saelemaekers,AC Milan,Right Winger,"Jun 27, 1999",24,Belgium,€15.00m
Junior Messias,AC Milan,Right Winger,"May 13, 1991",32,Brazil,€4.50m
Divock Origi,AC Milan,Centre-Forward,"Apr 18, 1995",28,Belgium,€6.00m
Olivier Giroud,AC Milan,Centre-Forward,"Sep 30, 1986",36,France,€4.00m
Marko Lazetic,AC Milan,Centre-Forward,"Jan 22, 2004",19,Serbia,€2.00m
Zlatan Ibrahimović,AC Milan,Centre-Forward,"Oct 3, 1981",41,Sweden,€2.00m
Wojciech Szczęsny,Juventus FC,Goalkeeper,"Apr 18, 1990",33,Poland,€10.00m
Mattia Perin,Juventus FC,Goalkeeper,"Nov 10, 1992",30,Italy,€4.00m
Gian Marco Crespi,Juventus FC,Goalkeeper,"Jun 28, 2001",22,Italy,€200k
Giovanni Garofani,Juventus FC,Goalkeeper,"Oct 20, 2002",20,Italy,€200k
Carlo Pinsoglio,Juventus FC,Goalkeeper,"Mar 16, 1990",33,Italy,€200k
Simone Scaglia,Juventus FC,Goalkeeper,"Jul 12, 2004",18,Italy,€25k
Bremer,Juventus FC,Centre-Back,"Mar 18, 1997",26,Brazil,€40.00m
Danilo,Juventus FC,Centre-Back,"Jul 15, 1991",31,Brazil,€15.00m
Federico Gatti,Juventus FC,Centre-Back,"Jun 24, 1998",25,Italy,€12.00m
Daniele Rugani,Juventus FC,Centre-Back,"Jul 29, 1994",28,Italy,€2.00m
Leonardo Bonucci,Juventus FC,Centre-Back,"May 1, 1987",36,Italy,€1.50m
Alessandro Pio Riccio,Juventus FC,Centre-Back,"Feb 6, 2002",21,Italy,€700k
Alex Sandro,Juventus FC,Left-Back,"Jan 26, 1991",32,Brazil,€3.00m
Mattia De Sciglio,Juventus FC,Right-Back,"Oct 20, 1992",30,Italy,€3.00m
Tommaso Barbieri,Juventus FC,Right-Back,"Aug 26, 2002",20,Italy,€1.20m
Manuel Locatelli,Juventus FC,Defensive Midfield,"Jan 8, 1998",25,Italy,€30.00m
Denis Zakaria,Juventus FC,Defensive Midfield,"Nov 20, 1996",26,Switzerland,€18.00m
Nicolò Rovella,Juventus FC,Defensive Midfield,"Dec 4, 2001",21,Italy,€18.00m
Leandro Paredes,Juventus FC,Defensive Midfield,"Jun 29, 1994",29,Argentina,€12.00m
Enzo Barrenechea,Juventus FC,Defensive Midfield,"May 22, 2001",22,Argentina,€900k
Adrien Rabiot,Juventus FC,Central Midfield,"Apr 3, 1995",28,France,€40.00m
Nicolò Fagioli,Juventus FC,Central Midfield,"Feb 12, 2001",22,Italy,€35.00m
Weston McKennie,Juventus FC,Central Midfield,"Aug 28, 1998",24,United States,€18.00m
Paul Pogba,Juventus FC,Central Midfield,"Mar 15, 1993",30,France,€15.00m
Fabio Miretti,Juventus FC,Central Midfield,"Aug 3, 2003",19,Italy,€15.00m
Alessandro Sersanti,Juventus FC,Central Midfield,"Feb 16, 2002",21,Italy,€400k
Juan Cuadrado,Juventus FC,Right Midfield,"May 26, 1988",35,Colombia,€4.00m
Filip Kostić,Juventus FC,Left Midfield,"Nov 1, 1992",30,Serbia,€22.00m
Mohamed Ihattaren,Juventus FC,Attacking Midfield,"Feb 12, 2002",21,Netherlands,-
Federico Chiesa,Juventus FC,Left Winger,"Oct 25, 1997",25,Italy,€40.00m
Samuel Iling-Junior,Juventus FC,Left Winger,"Oct 4, 2003",19,England,€9.00m
Ángel Di María,Juventus FC,Right Winger,"Feb 14, 1988",35,Argentina,€8.00m
Matías Soulé,Juventus FC,Right Winger,"Apr 15, 2003",20,Argentina,€4.00m
Nikola Sekulov,Juventus FC,Right Winger,"Feb 18, 2002",21,Italy,€600k
Mattia Compagnon,Juventus FC,Right Winger,"Nov 6, 2001",21,Italy,€400k
Dušan Vlahović,Juventus FC,Centre-Forward,"Jan 28, 2000",23,Serbia,€70.00m
Moise Kean,Juventus FC,Centre-Forward,"Feb 28, 2000",23,Italy,€18.00m
Arkadiusz Milik,Juventus FC,Centre-Forward,"Feb 28, 1994",29,Poland,€8.00m
Kaio Jorge,Juventus FC,Centre-Forward,"Jan 24, 2002",21,Brazil,€3.00m
Cosimo da Graça,Juventus FC,Centre-Forward,"May 1, 2002",21,Italy,€800k
Rui Patrício,AS Roma,Goalkeeper,"Feb 15, 1988",35,Portugal,€5.00m
Mile Svilar,AS Roma,Goalkeeper,"Aug 27, 1999",23,Serbia,€1.50m
Pietro Boer,AS Roma,Goalkeeper,"May 12, 2002",21,Italy,€150k
Gabriele Baldi,AS Roma,Goalkeeper,"Aug 24, 2004",18,Italy,€100k
Jacopo Del Bello,AS Roma,Goalkeeper,"Sep 25, 2004",18,Italy,€25k
Roger Ibañez,AS Roma,Centre-Back,"Nov 23, 1998",24,Brazil,€30.00m
Gianluca Mancini,AS Roma,Centre-Back,"Apr 17, 1996",27,Italy,€18.00m
Diego Llorente,AS Roma,Centre-Back,"Aug 16, 1993",29,Spain,€12.00m
Chris Smalling,AS Roma,Centre-Back,"Nov 22, 1989",33,England,€8.00m
Marash Kumbulla,AS Roma,Centre-Back,"Feb 8, 2000",23,Albania,€8.00m
Dimitrios Keramitsis,AS Roma,Centre-Back,"Jul 1, 2004",18,Greece,€250k
William Bianda,AS Roma,Centre-Back,"Apr 30, 2000",23,France,€200k
Brian Silva,AS Roma,Centre-Back,"Jun 2, 2003",20,France,€75k
Leonardo Spinazzola,AS Roma,Left-Back,"Mar 25, 1993",30,Italy,€10.00m
Matías Viña,AS Roma,Left-Back,"Nov 9, 1997",25,Uruguay,€8.00m
Jan Oliveras,AS Roma,Left-Back,"Jul 7, 2004",18,Spain,€175k
Matteo Falasca,AS Roma,Left-Back,"Apr 27, 2004",19,Italy,€100k
Zeki Çelik,AS Roma,Right-Back,"Feb 17, 1997",26,Türkiye,€10.00m
Rick Karsdorp,AS Roma,Right-Back,"Feb 11, 1995",28,Netherlands,€7.00m
Filippo Missori,AS Roma,Right-Back,"Mar 24, 2004",19,Italy,€800k
Corentin Louakima,AS Roma,Right-Back,"Feb 28, 2003",20,France,€100k
Bryan Cristante,AS Roma,Defensive Midfield,"Mar 3, 1995",28,Italy,€20.00m
Nemanja Matic,AS Roma,Defensive Midfield,"Aug 1, 1988",34,Serbia,€4.00m
Ebrima Darboe,AS Roma,Defensive Midfield,"Jun 6, 2001",22,The Gambia,€1.80m
Benjamin Tahirovic,AS Roma,Defensive Midfield,"Mar 3, 2003",20,Bosnia-Herzegovina,€1.50m
Giacomo Faticanti,AS Roma,Defensive Midfield,"Jul 31, 2004",18,Italy,€800k
Filippo Tripi,AS Roma,Defensive Midfield,"Jan 6, 2002",21,Italy,€300k
Mady Camara,AS Roma,Central Midfield,"Feb 28, 1997",26,Guinea,€10.00m
Edoardo Bove,AS Roma,Central Midfield,"May 16, 2002",21,Italy,€10.00m
Georginio Wijnaldum,AS Roma,Central Midfield,"Nov 11, 1990",32,Netherlands,€8.00m
Niccolò Pisilli,AS Roma,Central Midfield,"Sep 23, 2004",18,Italy,€1.00m
Riccardo Pagano,AS Roma,Central Midfield,"Nov 28, 2004",18,Italy,€900k
Nicola Zalewski,AS Roma,Left Midfield,"Jan 23, 2002",21,Poland,€20.00m
Lorenzo Pellegrini,AS Roma,Attacking Midfield,"Jun 19, 1996",27,Italy,€35.00m
Nicolò Zaniolo,AS Roma,Attacking Midfield,"Jul 2, 1999",23,Italy,€27.00m
Cristian Volpato,AS Roma,Attacking Midfield,"Nov 15, 2003",19,Italy,€3.00m
Ante Coric,AS Roma,Attacking Midfield,"Apr 14, 1997",26,Croatia,€300k
Claudio Cassano,AS Roma,Attacking Midfield,"Jul 22, 2003",19,Italy,€200k
Stephan El Shaarawy,AS Roma,Left Winger,"Oct 27, 1992",30,Italy,€5.00m
Luigi Cherubini,AS Roma,Left Winger,"Jan 15, 2004",19,Italy,€200k
Ola Solbakken,AS Roma,Right Winger,"Sep 7, 1998",24,Norway,€3.50m
Paulo Dybala,AS Roma,Second Striker,"Nov 15, 1993",29,Argentina,€30.00m
Tammy Abraham,AS Roma,Centre-Forward,"Oct 2, 1997",25,England,€40.00m
Andrea Belotti,AS Roma,Centre-Forward,"Dec 20, 1993",29,Italy,€8.00m
Eldor Shomurodov,AS Roma,Centre-Forward,"Jun 29, 1995",28,Uzbekistan,€6.00m
Felix Afena-Gyan,AS Roma,Centre-Forward,"Jan 19, 2003",20,Ghana,€5.00m
Jordan Majchrzak,AS Roma,Centre-Forward,"Oct 8, 2004",18,Poland,€400k
Juan Musso,Atalanta BC,Goalkeeper,"May 6, 1994",29,Argentina,€8.00m
Marco Sportiello,Atalanta BC,Goalkeeper,"May 10, 1992",31,Italy,€1.50m
Tommaso Bertini,Atalanta BC,Goalkeeper,"Jan 13, 2004",19,Italy,€100k
Francesco Rossi,Atalanta BC,Goalkeeper,"Apr 27, 1991",32,Italy,€100k
Giorgio Scalvini,Atalanta BC,Centre-Back,"Dec 11, 2003",19,Italy,€40.00m
Merih Demiral,Atalanta BC,Centre-Back,"Mar 5, 1998",25,Türkiye,€20.00m
Caleb Okoli,Atalanta BC,Centre-Back,"Jul 13, 2001",21,Italy,€10.00m
Berat Djimsiti,Atalanta BC,Centre-Back,"Feb 19, 1993",30,Albania,€10.00m
Rafael Tolói,Atalanta BC,Centre-Back,"Oct 10, 1990",32,Italy,€6.00m
José Luis Palomino,Atalanta BC,Centre-Back,"Jan 5, 1990",33,Argentina,€2.50m
Tommaso Del Lungo,Atalanta BC,Centre-Back,"Nov 21, 2003",19,Italy,€100k
Iacopo Regonesi,Atalanta BC,Left-Back,"Mar 28, 2004",19,Italy,€200k
Lorenzo Bernasconi,Atalanta BC,Left-Back,"Nov 16, 2003",19,Italy,€75k
Joakim Maehle,Atalanta BC,Right-Back,"May 20, 1997",26,Denmark,€14.00m
Brandon Soppy,Atalanta BC,Right-Back,"Feb 21, 2002",21,France,€9.00m
Marten de Roon,Atalanta BC,Defensive Midfield,"Mar 29, 1991",32,Netherlands,€10.00m
Matteo Colombo,Atalanta BC,Defensive Midfield,"Mar 9, 2004",19,Italy,€125k
Mannah Chiwisa,Atalanta BC,Defensive Midfield,"Dec 12, 2003",19,Zambia,€125k
Leonardo Mendicino,Atalanta BC,Defensive Midfield,"Jun 25, 2006",17,Italy,-
Éderson,Atalanta BC,Central Midfield,"Jul 7, 1999",23,Brazil,€20.00m
Mario Pasalic,Atalanta BC,Central Midfield,"Feb 9, 1995",28,Croatia,€20.00m
Endri Muhameti,Atalanta BC,Central Midfield,"Jul 12, 2004",18,Albania,€150k
Simone Muratore,Atalanta BC,Central Midfield,"May 30, 1998",25,Italy,€100k
Davide Zappacosta,Atalanta BC,Right Midfield,"Jun 11, 1992",31,Italy,€7.00m
Hans Hateboer,Atalanta BC,Right Midfield,"Jan 9, 1994",29,Netherlands,€6.00m
Nadir Zortea,Atalanta BC,Right Midfield,"Jun 19, 1999",24,Italy,€2.00m
Marco Palestra,Atalanta BC,Right Midfield,"Mar 3, 2005",18,Italy,-
Matteo Ruggeri,Atalanta BC,Left Midfield,"Jul 11, 2002",20,Italy,€4.00m
Teun Koopmeiners,Atalanta BC,Attacking Midfield,"Feb 28, 1998",25,Netherlands,€30.00m
Ruslan Malinovskyi,Atalanta BC,Attacking Midfield,"May 4, 1993",30,Ukraine,€15.00m
Lukas Vorlicky,Atalanta BC,Attacking Midfield,"Jan 18, 2002",21,Czech Republic,€100k
Jérémie Boga,Atalanta BC,Left Winger,"Jan 3, 1997",26,Cote d'Ivoire,€14.00m
Ademola Lookman,Atalanta BC,Second Striker,"Oct 20, 1997",25,Nigeria,€30.00m
Tommaso De Nipoti,Atalanta BC,Second Striker,"Jul 23, 2003",19,Italy,€175k
Alessandro Falleni,Atalanta BC,Second Striker,"May 9, 2003",20,Italy,€25k
Rasmus Højlund,Atalanta BC,Centre-Forward,"Feb 4, 2003",20,Denmark,€45.00m
Duván Zapata,Atalanta BC,Centre-Forward,"Apr 1, 1991",32,Colombia,€8.00m
Luis Muriel,Atalanta BC,Centre-Forward,"Apr 16, 1991",32,Colombia,€5.00m
Ivan Provedel,SS Lazio,Goalkeeper,"Mar 17, 1994",29,Italy,€12.00m
Luís Maximiano,SS Lazio,Goalkeeper,"Jan 5, 1999",24,Portugal,€6.00m
Marius Adamonis,SS Lazio,Goalkeeper,"May 13, 1997",26,Lithuania,€150k
Federico Magro,SS Lazio,Goalkeeper,"Jan 10, 2005",18,Italy,-
Nicolò Casale,SS Lazio,Centre-Back,"Feb 14, 1998",25,Italy,€22.00m
Alessio Romagnoli,SS Lazio,Centre-Back,"Jan 12, 1995",28,Italy,€18.00m
Patric,SS Lazio,Centre-Back,"Apr 17, 1993",30,Spain,€5.00m
Mario Gila,SS Lazio,Centre-Back,"Aug 29, 2000",22,Spain,€3.00m
Fabio Ruggeri,SS Lazio,Centre-Back,"Dec 13, 2004",18,Italy,€75k
Luca Pellegrini,SS Lazio,Left-Back,"Mar 7, 1999",24,Italy,€7.00m
Mohamed Salim Fares,SS Lazio,Left-Back,"Feb 15, 1996",27,Algeria,€2.00m
Dimitrije Kamenovic,SS Lazio,Left-Back,"Jul 16, 2000",22,Serbia,€700k
Ștefan Radu,SS Lazio,Left-Back,"Oct 22, 1986",36,Romania,€300k
Adam Marusic,SS Lazio,Right-Back,"Oct 17, 1992",30,Montenegro,€8.00m
Elseid Hysaj,SS Lazio,Right-Back,"Feb 2, 1994",29,Albania,€5.00m
Djavan Anderson,SS Lazio,Right-Back,"Apr 21, 1995",28,Suriname,€275k
Romano Floriani Mussolini,SS Lazio,Right-Back,"Jan 27, 2003",20,Italy,€75k
Danilo Cataldi,SS Lazio,Defensive Midfield,"Aug 6, 1994",28,Italy,€10.00m
Marco Bertini,SS Lazio,Defensive Midfield,"Aug 7, 2002",20,Italy,€100k
Sergej Milinković-Savić,SS Lazio,Central Midfield,"Feb 27, 1995",28,Serbia,€50.00m
Luis Alberto,SS Lazio,Central Midfield,"Sep 28, 1992",30,Spain,€18.00m
Marcos Antônio,SS Lazio,Central Midfield,"Jun 13, 2000",23,Brazil,€8.00m
Toma Bašić,SS Lazio,Central Midfield,"Nov 25, 1996",26,Croatia,€6.00m
Matías Vecino,SS Lazio,Central Midfield,"Aug 24, 1991",31,Uruguay,€4.50m
Manuel Lazzari,SS Lazio,Right Midfield,"Nov 29, 1993",29,Italy,€7.50m
Mattia Zaccagni,SS Lazio,Left Winger,"Jun 16, 1995",28,Italy,€30.00m
Raúl Moro,SS Lazio,Left Winger,"Dec 5, 2002",20,Spain,€2.50m
Diego González,SS Lazio,Left Winger,"Jan 7, 2003",20,Paraguay,€750k
Felipe Anderson,SS Lazio,Right Winger,"Apr 15, 1993",30,Brazil,€15.00m
Matteo Cancellieri,SS Lazio,Right Winger,"Feb 12, 2002",21,Italy,€5.00m
Luka Romero,SS Lazio,Right Winger,"Nov 18, 2004",18,Argentina,€3.00m
Pedro,SS Lazio,Right Winger,"Jul 28, 1987",35,Spain,€1.50m
Ciro Immobile,SS Lazio,Centre-Forward,"Feb 20, 1990",33,Italy,€15.00m
Pierluigi Gollini,ACF Fiorentina,Goalkeeper,"Mar 18, 1995",28,Italy,€4.50m
Pietro Terracciano,ACF Fiorentina,Goalkeeper,"Mar 8, 1990",33,Italy,€2.00m
Michele Cerofolini,ACF Fiorentina,Goalkeeper,"Jan 4, 1999",24,Italy,€500k
Salvatore Sirigu,ACF Fiorentina,Goalkeeper,"Jan 12, 1987",36,Italy,€500k
Tommaso Martinelli,ACF Fiorentina,Goalkeeper,"Jan 6, 2006",17,Italy,-
Tommaso Vannucchi,ACF Fiorentina,Goalkeeper,"Mar 5, 2007",16,Italy,-
Nikola Milenković,ACF Fiorentina,Centre-Back,"Oct 12, 1997",25,Serbia,€18.00m
Lucas Martínez Quarta,ACF Fiorentina,Centre-Back,"May 10, 1996",27,Argentina,€10.00m
Igor,ACF Fiorentina,Centre-Back,"Feb 7, 1998",25,Brazil,€10.00m
Luca Ranieri,ACF Fiorentina,Centre-Back,"Apr 23, 1999",24,Italy,€2.50m
Matija Nastasic,ACF Fiorentina,Centre-Back,"Mar 28, 1993",30,Serbia,€1.50m
Dimo Krastev,ACF Fiorentina,Centre-Back,"Feb 10, 2003",20,Bulgaria,€200k
Cristiano Biraghi,ACF Fiorentina,Left-Back,"Sep 1, 1992",30,Italy,€5.00m
Aleksa Terzic,ACF Fiorentina,Left-Back,"Aug 17, 1999",23,Serbia,€2.00m
Dodô,ACF Fiorentina,Right-Back,"Nov 17, 1998",24,Brazil,€20.00m
Lorenzo Venuti,ACF Fiorentina,Right-Back,"Apr 12, 1995",28,Italy,€2.00m
Michael Kayode,ACF Fiorentina,Right-Back,"Jul 10, 2004",18,Italy,€800k
Sofyan Amrabat,ACF Fiorentina,Defensive Midfield,"Aug 21, 1996",26,Morocco,€30.00m
Rolando Mandragora,ACF Fiorentina,Defensive Midfield,"Jun 29, 1997",26,Italy,€10.00m
Lorenzo Amatucci,ACF Fiorentina,Defensive Midfield,"Feb 5, 2004",19,Italy,€700k
Gaetano Castrovilli,ACF Fiorentina,Central Midfield,"Feb 17, 1997",26,Italy,€10.00m
Youssef Maleh,ACF Fiorentina,Central Midfield,"Aug 22, 1998",24,Morocco,€4.50m
Alfred Duncan,ACF Fiorentina,Central Midfield,"Mar 10, 1993",30,Ghana,€4.00m
Szymon Żurkowski,ACF Fiorentina,Central Midfield,"Sep 25, 1997",25,Poland,€3.50m
Giacomo Bonaventura,ACF Fiorentina,Central Midfield,"Aug 22, 1989",33,Italy,€2.50m
Marco Benassi,ACF Fiorentina,Central Midfield,"Sep 8, 1994",28,Italy,€1.50m
Alessandro Bianco,ACF Fiorentina,Central Midfield,"Oct 1, 2002",20,Italy,€800k
Costantino Favasuli,ACF Fiorentina,Left Midfield,"Apr 26, 2004",19,Italy,€200k
Antonín Barák,ACF Fiorentina,Attacking Midfield,"Dec 3, 1994",28,Czech Republic,€10.00m
Riccardo Saponara,ACF Fiorentina,Attacking Midfield,"Dec 21, 1991",31,Italy,€2.00m
Christian Kouamé,ACF Fiorentina,Left Winger,"Dec 6, 1997",25,Cote d'Ivoire,€12.00m
Riccardo Sottil,ACF Fiorentina,Left Winger,"Jun 3, 1999",24,Italy,€8.00m
Josip Brekalo,ACF Fiorentina,Left Winger,"Jun 23, 1998",25,Croatia,€5.00m
Nicolás González,ACF Fiorentina,Right Winger,"Apr 6, 1998",25,Argentina,€30.00m
Jonathan Ikoné,ACF Fiorentina,Right Winger,"May 2, 1998",25,France,€16.00m
Filippo Distefano,ACF Fiorentina,Second Striker,"Aug 28, 2003",19,Italy,€600k
