,Name,Team,Position,Date of Birth,Age,Nationality,Market Value
200,Iacopo Regonesi,Atalanta BC,Left-Back,"Mar 28, 2004",19,Italy,€200k
201,Lorenzo Bernasconi,Atalanta BC,Left-Back,"Nov 16, 2003",19,Italy,€75k
202,Joakim Maehle,Atalanta BC,Right-Back,"May 20, 1997",26,Denmark,€14.00m
203,Brandon Soppy,Atalanta BC,Right-Back,"Feb 21, 2002",21,France,€9.00m
204,Marten de Roon,Atalanta BC,Defensive Midfield,"Mar 29, 1991",32,Netherlands,€10.00m
205,Matteo Colombo,Atalanta BC,Defensive Midfield,"Mar 9, 2004",19,Italy,€125k
206,Mannah Chiwisa,Atalanta BC,Defensive Midfield,"Dec 12, 2003",19,Zambia,€125k
207,Leonardo Mendicino,Atalanta BC,Defensive Midfield,"Jun 25, 2006",17,Italy,-
208,Éderson,Atalanta BC,Central Midfield,"Jul 7, 1999",23,Brazil,€20.00m
209,Mario Pasalic,Atalanta BC,Central Midfield,"Feb 9, 1995",28,Croatia,€20.00m
210,Endri Muhameti,Atalanta BC,Central Midfield,"Jul 12, 2004",18,Albania,€150k
211,Simone Muratore,Atalanta BC,Central Midfield,"May 30, 1998",25,Italy,€100k
212,Davide Zappacosta,Atalanta BC,Right Midfield,"Jun 11, 1992",31,Italy,€7.00m
213,Hans Hateboer,Atalanta BC,Right Midfield,"Jan 9, 1994",29,Netherlands,€6.00m
214,Nadir Zortea,Atalanta BC,Right Midfield,"Jun 19, 1999",24,Italy,€2.00m
215,Marco Palestra,Atalanta BC,Right Midfield,"Mar 3, 2005",18,Italy,-
216,Matteo Ruggeri,Atalanta BC,Left Midfield,"Jul 11, 2002",20,Italy,€4.00m
217,Teun Koopmeiners,Atalanta BC,Attacking Midfield,"Feb 28, 1998",25,Netherlands,€30.00m
218,Ruslan Malinovskyi,Atalanta BC,Attacking Midfield,"May 4, 1993",30,Ukraine,€15.00m
219,Lukas Vorlicky,Atalanta BC,Attacking Midfield,"Jan 18, 2002",21,Czech Republic,€100k
220,Jérémie Boga,Atalanta BC,Left Winger,"Jan 3, 1997",26,Cote d'Ivoire,€14.00m
221,Ademola Lookman,Atalanta BC,Second Striker,"Oct 20, 1997",25,Nigeria,€30.00m
222,Tommaso De Nipoti,Atalanta BC,Second Striker,"Jul 23, 2003",19,Italy,€175k
223,Alessandro Falleni,Atalanta BC,Second Striker,"May 9, 2003",20,Italy,€25k
224,Rasmus Højlund,Atalanta BC,Centre-Forward,"Feb 4, 2003",20,Denmark,€45.00m
225,Duván Zapata,Atalanta BC,Centre-Forward,"Apr 1, 1991",32,Colombia,€8.00m
226,Luis Muriel,Atalanta BC,Centre-Forward,"Apr 16, 1991",32,Colombia,€5.00m
227,Ivan Provedel,SS Lazio,Goalkeeper,"Mar 17, 1994",29,Italy,€12.00m
228,Luís Maximiano,SS Lazio,Goalkeeper,"Jan 5, 1999",24,Portugal,€6.00m
229,Marius Adamonis,SS Lazio,Goalkeeper,"May 13, 1997",26,Lithuania,€150k
230,Federico Magro,SS Lazio,Goalkeeper,"Jan 10, 2005",18,Italy,-
231,Nicolò Casale,SS Lazio,Centre-Back,"Feb 14, 1998",25,Italy,€22.00m
232,Alessio Romagnoli,SS Lazio,Centre-Back,"Jan 12, 1995",28,Italy,€18.00m
233,Patric,SS Lazio,Centre-Back,"Apr 17, 1993",30,Spain,€5.00m
234,Mario Gila,SS Lazio,Centre-Back,"Aug 29, 2000",22,Spain,€3.00m
235,Fabio Ruggeri,SS Lazio,Centre-Back,"Dec 13, 2004",18,Italy,€75k
236,Luca Pellegrini,SS Lazio,Left-Back,"Mar 7, 1999",24,Italy,€7.00m
237,Mohamed Salim Fares,SS Lazio,Left-Back,"Feb 15, 1996",27,Algeria,€2.00m
238,Dimitrije Kamenovic,SS Lazio,Left-Back,"Jul 16, 2000",22,Serbia,€700k
239,Ștefan Radu,SS Lazio,Left-Back,"Oct 22, 1986",36,Romania,€300k
240,Adam Marusic,SS Lazio,Right-Back,"Oct 17, 1992",30,Montenegro,€8.00m
241,Elseid Hysaj,SS Lazio,Right-Back,"Feb 2, 1994",29,Albania,€5.00m
242,Djavan Anderson,SS Lazio,Right-Back,"Apr 21, 1995",28,Suriname,€275k
243,Romano Floriani Mussolini,SS Lazio,Right-Back,"Jan 27, 2003",20,Italy,€75k
244,Danilo Cataldi,SS Lazio,Defensive Midfield,"Aug 6, 1994",28,Italy,€10.00m
245,Marco Bertini,SS Lazio,Defensive Midfield,"Aug 7, 2002",20,Italy,€100k
246,Sergej Milinković-Savić,SS Lazio,Central Midfield,"Feb 27, 1995",28,Serbia,€50.00m
247,Luis Alberto,SS Lazio,Central Midfield,"Sep 28, 1992",30,Spain,€18.00m
248,Marcos Antônio,SS Lazio,Central Midfield,"Jun 13, 2000",23,Brazil,€8.00m
249,Toma Bašić,SS Lazio,Central Midfield,"Nov 25, 1996",26,Croatia,€6.00m
250,Matías Vecino,SS Lazio,Central Midfield,"Aug 24, 1991",31,Uruguay,€4.50m
251,Manuel Lazzari,SS Lazio,Right Midfield,"Nov 29, 1993",29,Italy,€7.50m
252,Mattia Zaccagni,SS Lazio,Left Winger,"Jun 16, 1995",28,Italy,€30.00m
253,Raúl Moro,SS Lazio,Left Winger,"Dec 5, 2002",20,Spain,€2.50m
254,Diego González,SS Lazio,Left Winger,"Jan 7, 2003",20,Paraguay,€750k
255,Felipe Anderson,SS Lazio,Right Winger,"Apr 15, 1993",30,Brazil,€15.00m
256,Matteo Cancellieri,SS Lazio,Right Winger,"Feb 12, 2002",21,Italy,€5.00m
257,Luka Romero,SS Lazio,Right Winger,"Nov 18, 2004",18,Argentina,€3.00m
258,Pedro,SS Lazio,Right Winger,"Jul 28, 1987",35,Spain,€1.50m
259,Ciro Immobile,SS Lazio,Centre-Forward,"Feb 20, 1990",33,Italy,€15.00m
260,Pierluigi Gollini,ACF Fiorentina,Goalkeeper,"Mar 18, 1995",28,Italy,€4.50m
261,Pietro Terracciano,ACF Fiorentina,Goalkeeper,"Mar 8, 1990",33,Italy,€2.00m
262,Michele Cerofolini,ACF Fiorentina,Goalkeeper,"Jan 4, 1999",24,Italy,€500k
263,Salvatore Sirigu,ACF Fiorentina,Goalkeeper,"Jan 12, 1987",36,Italy,€500k
264,Tommaso Martinelli,ACF Fiorentina,Goalkeeper,"Jan 6, 2006",17,Italy,-
265,Tommaso Vannucchi,ACF Fiorentina,Goalkeeper,"Mar 5, 2007",16,Italy,-
266,Nikola Milenković,ACF Fiorentina,Centre-Back,"Oct 12, 1997",25,Serbia,€18.00m
267,Lucas Martínez Quarta,ACF Fiorentina,Centre-Back,"May 10, 1996",27,Argentina,€10.00m
268,Igor,ACF Fiorentina,Centre-Back,"Feb 7, 1998",25,Brazil,€10.00m
269,Luca Ranieri,ACF Fiorentina,Centre-Back,"Apr 23, 1999",24,Italy,€2.50m
270,Matija Nastasic,ACF Fiorentina,Centre-Back,"Mar 28, 1993",30,Serbia,€1.50m
271,Dimo Krastev,ACF Fiorentina,Centre-Back,"Feb 10, 2003",20,Bulgaria,€200k
272,Cristiano Biraghi,ACF Fiorentina,Left-Back,"Sep 1, 1992",30,Italy,€5.00m
273,Aleksa Terzic,ACF Fiorentina,Left-Back,"Aug 17, 1999",23,Serbia,€2.00m
274,Dodô,ACF Fiorentina,Right-Back,"Nov 17, 1998",24,Brazil,€20.00m
275,Lorenzo Venuti,ACF Fiorentina,Right-Back,"Apr 12, 1995",28,Italy,€2.00m
276,Michael Kayode,ACF Fiorentina,Right-Back,"Jul 10, 2004",18,Italy,€800k
277,Sofyan Amrabat,ACF Fiorentina,Defensive Midfield,"Aug 21, 1996",26,Morocco,€30.00m
278,Rolando Mandragora,ACF Fiorentina,Defensive Midfield,"Jun 29, 1997",26,Italy,€10.00m
279,Lorenzo Amatucci,ACF Fiorentina,Defensive Midfield,"Feb 5, 2004",19,Italy,€700k
280,Gaetano Castrovilli,ACF Fiorentina,Central Midfield,"Feb 17, 1997",26,Italy,€10.00m
281,Youssef Maleh,ACF Fiorentina,Central Midfield,"Aug 22, 1998",24,Morocco,€4.50m
282,Alfred Duncan,ACF Fiorentina,Central Midfield,"Mar 10, 1993",30,Ghana,€4.00m
283,Szymon Żurkowski,ACF Fiorentina,Central Midfield,"Sep 25, 1997",25,Poland,€3.50m
284,Giacomo Bonaventura,ACF Fiorentina,Central Midfield,"Aug 22, 1989",33,Italy,€2.50m
