,사용자명,평점,작성일,작성내용
10,달달디,1,2024년 1월 23일,"왜 배달이 사라지고 자체배달이 생긴걸까요? 이제 알뜰이랑 한집배달만 남은건가요? 일반 배달은 없는건가요? 홈화면을 직접 설정할 수 있는 기능이 있으면 좋을 것 같네요. 그리고 예를들어 치킨을 검색한 후 찜 많은 순으로 하면 중간에 찜갯수가 낮은 가게들은 뭔가요? 찜 많은 순이 찜 많은 순이 아니게 되었어요 광고비를 받아서 한다고 해도 너무 심합니다,,,,"
11,CSLCS,1,2024년 3월 9일,저는 알뜰이나 한집배달이용을 원치않는데 가게검색시에는 가게배달은 선택할수가없네요. 뭔가 언제부턴가 어플이용이 많이 불편해졌습니다. 배민을 제일 많이이용했는데 고객선택이아닌 알뜰이나 한집배달을 유도하는거같아 사용하기 꺼려집니다. 알뜰은 싸지만 음식이 다식어서오고 한집은 배달비면에서 부담인데 참 불편합니다.
12,박현재,3,2024년 1월 28일,다른건 다 괜찮은데 위아래로 스크롤 하는데. 계속 잘못 인식하고 옆으로 갑니다. 예를들어 B마트에서 물건 고르려고 위래로 움직이는데 계속 포장 쪽으로 이동합니다. 매우 센시티브합니다. 앱개선이 필요해 보입니다. 너무 불편해요
13,김지수,5,2024년 3월 3일,사용자만 볼 수있는 배달시켰던 가게들에 대한 메모기능?이랑 언제 몇번 먹었다 같은걸 볼수있는 기능같은게 있었으면 좋겠어요. 여러가게에서 배달을 자주 시켜먹는데 조금 시간이 지나면 그가게 음식의 맛이나 재주문할만한 집이었는지 아니었는지 내가 여기서 시켜먹어본 집이었는지 아닌지 기억이 잘 안나요.
14,우주,5,2023년 11월 25일,어플 덕분에 손 쉽게 음식 시켜먹고 잘 이용하고 있습니다. 몇몇의 가게 점주님들의 불친절한 태도에 상관이 없는 배달의 민족 회사가 가운데서 컴플레인을 겪어야하는 그런 현상이 빈번히 생기는 것 같습니다. 그래서 기능이 하나 추가되어 했으면 하는 바람에 리뷰 적어봅니다. 이용하기 싫은 가게(불친절한 가게) 차단 기능 있었으면 합니다. 검색해도 검색 결과에 노출이 안되게끔 하고 싶은데 이런 기능을 넣어주셨으면 하는 바람입니다. 감사합니다.
15,화분 엘리베이터좋아!!이준서,5,2023년 11월 25일,"장점: 1.음식 주문할때 편하게 주문할수 있다. 2. 다양한 맛집들을 한눈에 보기 편하다. 3. 랙도 없고, 프레임이 부드럽다. 4. 쿠폰도 많다. 5 여러가지 할인도 한다. 단점: 1. 주문할때 다른음식으로 배송올때가 있다. 장점이 진짜많지만,단점도 고쳤으면 하네요. (아주 가끔씩 단점 1번 이니 별 5개)"
16,김재아,5,2023년 12월 20일,"잘 쓰고 있습니다. 웬만한 모든 건에서 지불 금액이 다소 높더라도 편의성만 보장되면 어느 정도 수긍하는 편이라, 한집배달이나 일반 배달 배달팁 등 별 불호도 없고요. 그간의 고객센터 문의도 항상 빠르게 잘 처리해주셨던지라 나쁘지 않습니다. 다만 한 가지 건의인데... 어플 처음 깔고서 위치 선택이 아니라 로그인 혹은 비회원 주문 선택 화면 등으로 업데이트는 불가할까요? 비마트든 일반 배달이든 하도 자주 이용해 나름 줄이고자 무의미하게 어플 삭제와 재설치를 반복하는데 그때마다 일일이 위치부터 설정하기 번거롭더라고요. 이미 내 계정에 주소들이 있는데... (별거 아닌 단계지만 제가 정말 자주 삭제를 해서요) 아무튼간에 잘 사용하고 있습니다. 감사합니다."
17,짱돌,1,2023년 12월 2일,앱 첫 페이지에 '알뜰 한집배달' 버튼 반으로 둘이고 그옆에 '포장'버튼 넣으면 안되는걸까요. 상식적으로 배달 옆에 포장이 있어야된다고 생각하는데요. Ui같은 부분에서 어떻게 앱이 업데이트 하면 할수록 더 퇴화되는 느낌이 드는건가요. 지금도 쓰기 불편한데 앞으로 얼마나 더 불편해질까 당혹스럽습니다
18,shsh j,1,2023년 12월 18일,"배민에서 음식을 시키면 사행성 랜덤뽑기임. 무슨 메뉴가 올지 모름. 1. 상황 1) 메뉴 사진에는 딸기가 포함되어 있음. 2) 메뉴 구성 설명에는 ""제철 과일 특성상 변동될 수 있다"" 라고 적혀 있지, 정확히 주문 시 포함되는 구성이 적혀있지 않음 3) 그런데 딸기는 겨울의 제철과일임. 4) 제철과일인 딸기가 누락된 채로 메뉴 수령함 2. 나의 주장 1) 위에 ""상황"" 에 따라서 딸기가 포함되어 있지 않는 것은 마치 음식 구성품을 '사행성 랜덤 뽑기'와 같이 받는 것과 다를 바 없다고 생각함. 2) 메뉴 수정에 대해 요청하였으나 배민에서는 스토어의 메뉴에 대해 별도 제제가 불가능하다 답변함 3) 배민에서 제제가 불가능하면, 스토어가 부적절한 이미지, 사외석&젠더 이슈가 되는 단어를 기재해도 제재가 불가능하냐고 묻자, 그제서야 정책상 어려운 메뉴는 등록을 하고 있다 답변 함."
19,아젠트,1,2024년 1월 22일,1점인 이유는 1. 리뷰삭제 후 재작성이 안 된다. 2. 어플 내 사진 확인 / 지우기가 안 된다. 3. 리뷰 쓰는 것에도 기간이 있다. 4. 계속 배민 1로 기본 설정돼서 불편하다. 5. 위치 바뀌는 것도 매번 내위치로 재설정 해야한다. 6. 여러 설정들이 추가되면서 앱이 전보다 더 복잡해졌다. 7. 다른 배달 어플에 비해 이벤트가 너무 적다.
20,김다은,1,2021년 6월 17일,업데이트란건 불편사항과 버그들을 고쳐서 더좋은 사용을 위한거 아닌가요? 어떻게 업데이트를 했는데 저번보다 메뉴들이 더복잡하고 불편하고 난잡합니다. 심지어 배달현황에 위치파악이 가능하던게 사라져서 배달이 어디에있는지 언제쯤올지도 모르면서 기다려야합니다. 괜히 업데이트 했나싶기도하고 굳이 내가 이런 불편함들을 감수하면서까지 어플을 사용해야하나라는 생각도 드네요. 업데이트전까지는 정말 잘사용했는데 다음 업데이트가있기전까지는 사용하지 않을거같네요
21,Hyung Jin Park,1,2024년 1월 15일,"배민앱 삭제했습니다. 휴대폰 2개에서 각각의 어플에 같은주소를 입력했는데도 배달팁이 달라서 부당사유로 차액만큼 환불요청을 드렸는데 처음엔 위치팁이 다르면 차이가날수있다(동일주소로 입력해서 위치가같음), 두번째엔 시간이 차이가 나면 배달팁이다르다(동일시간 캡처본 재송부함) 등 변명을 하시더니 세번째엔 프로그램 오류가 아니고 같은 주소지여도 위경도가 다르면 배달팁이 다를수도있답니다. 배달팁 다른화면, 같은주소 설정되있는지 캡쳐해서 보내달라고 하셔서 메일로도 송부드리고 했는데 결국엔 위경도까지 변명이 등장하는군요. 배달하는데 위경도까지 따져야하는가 봅니다. 암튼 잘 웃었습니다. 부자되시기 바랍니다."
22,홍홍홍,5,2023년 10월 14일,어플이 업데이트되면서 좋아진건 음식별로 리뷰를 볼수있어 좋습니다! 그런대..예전에 탭별로 상세메뉴를 보이게 또는 안보게 설정할수있어 굳이 필요없는 메뉴를 안봣는데 업데이트되고 그 기능이 삭제되서 현재는 모든 메뉴를 다봐야한다는 아주 쓸대없고 개불편한 단점이 생겨버렸습니다ㅠㅠ 그 기능 다시 돌려놔주세요ㅠㅠ 쓸대없이 내려서 보는거 너무 힘듭니다ㅠㅠ 제발 꼭 개선해주세요. 부탁드립니다ㅠㅠㅠㅜ 제발요!!!!! 아그리고.. 추가 건의사항이 있습니다! 상점에서 과도하게 깃발을 꽂는것때메 중복적으로 보이는게 너무 심합니다. 배민이나 업체가 돈벌어야한다는건 알지만 과도한 깃발 꽂기는 소비자입장에서 너무나 불필요합니다. 상점이 어떠냐에 따라 다른건대.. 각탭별로 하나씩만 하게 갯수제한 해주셨음 좋겠습니다!!!
23,김헌우,1,2020년 9월 11일,"업데이트에 불만이 있습니다. 기존 버전에선 배민오더로 주문할 시 지도를 이용해 주문할 매장을 선택할 수 있었습니다. 저는 집 근처에 음식점이 별로 없는 관계로 주로 자전거를 타고 20분정도 거리의 상가의 매장에서 주문하는데, 업데이트 이후로 지도를 이용한 주문 대신 집 주변에있는 음식점들의 리스트에서만 주문이 가능해졌습니다. 물론 기존 배민 오더의 지도를 이용한 주문 방식이 음식점을 카테고리별로 분류하지 못 하는점을 보완해야할 필요가 있었던것은 맞으며 이를 잘 보완했지만, 기존 지도 방식을 완전히 없애버려서 저 같은 경우에는 업데이트 이후 더 불편해졌습니다. 기존 방식의 단점을 메꾸는 시도는 좋지만, 기존 방식이 갖는 장점을 아예 없애버리면 업데이트한 의미가 없다고 봅니다. 가장 나은 해결책은 지도 방식과 리스트 방식 둘 다 이용 가능하게 하는 방법이겠지만, 어플이 무거워지는걸 고려하면 기존 지도 방식을 사용하되 따로 필터링을 두어 이용자가 원하는 종류의 음식만 볼 수있게 하는편이"
24,하지윤,4,2023년 2월 15일,"배달의민족 주문시 리뷰를 자주 참고하는 편입니다. 한가지 건의사항이 있다면 최신순,별점순 뿐만아니라 제가 주문하고자하는 메뉴를 특정해서 그 메뉴의 리뷰만 확인할 수 있는 기능이 있으면 좋을 것 같습니다. 메뉴검색 기능처럼 리뷰에서도 특정 메뉴 검색기능이 필요합니다. 주문수가 많지않은 메뉴의 리뷰를 보기 위해서 드래그하느라 시간이 많이 소요되는 비효율이 발생합니다. 긍정적으로 검토해주심 좋을 것 같습니다."
25,댕댕,1,2024년 3월 27일,옛날엔 등급별 할인쿠폰 기존 아무배달에도 적용이 가능했는데 어느순간부터 알뜰한집만 가능하게 바뀌었네요. 시켜먹는곳중에 알뜰한집 자체를 안하는 가게도 있던데 이럴거면 그냥 옛날처럼 어떤 주문이든 쿠폰가능하게끔 적용시켜주세요. 이용을 많이했단 증거가 등급인데 그에 맞는 혜택은 쓸수있는 범위가 줄어든 쿠폰인데 굳이 이용을 해야하나 싶습니다. 알뜰배달만 사용하게끔말고 기존 모든 쿠폰가능으로 바꿔주세요. 기존쿠폰도 최준금액이 조건이 점점 더 커지더니 이젠 알뜰로 바뀌어버리고 알뜰 안쓰는사람들은 쿠폰을 땅에다 버리는셈인데 등급혜택이 점점 더 좋아져야하는데 점점 더 안좋아지는게 참 아이러니하네요
26,MJ Kim,1,2024년 1월 31일,장바구니 상하로 플릭킹하는데 자꾸 좌우 탭이동으로 오작동한다는 말을 왜 못알아듣는척 하는거죠? 터치 인터랙션 조정하면 돼요. 아래에도 다른분이 같은 리뷰 남기셨는데 무슨 말인지 모르겠다는 식으로 답변 복붙하셨더라구요? 무슨 말인지 모르겠으면 UX나 개발 담당부서에 원문 그대로 전달하시면 됩니다. 중간에 커트하지 말구요. 인터랙션 오작동으로 탭이동했다가 다시 돌아오면 선택했던 항목들이 죄다 리셋 돼서 B마트 자주 쓰는 사람은 엄청 짜증납니다. 제발 개선 좀 해 주세요.
27,woodspice,1,2024년 2월 16일,이번에 꼼수로밖에 느껴지지 않는 거리추가금 때문에 어지저찌 사용하다가 떠납니다. 거리추가금이 있는데 거기에 또 추가로 지역별추가금까지(업주가 추가한) 이게 뭔가요? 그동안 이용자들 붙잡으려고 썻던 할인쿠폰 이걸로 만회하는건가요? 들어보나마나 배달료는 자신들께 아니다라고 하겠지만 그럼 수수료는요? 그걸로 다 빼먹는거 모를까봐요? 아무리 외각지역이라도 추가금에 또다시 추가금은 시켜먹지 말라는 뜻으로 이해하고 떠납니다. 뭐 이용할 사람들은 이용하겠지요...하하;; 다신 이용할일 없을꺼에요!
28,김경용,2,2021년 8월 2일,"배민 최근 주문수 및 리뷰가 정확한 숫자로 뜨지 않고, 100+, 그리고 리뷰의 경우에도 최대 100+로만 떠서 맛집인지 어떤지 확인하려면 클릭을 1~2번 정도 더 해서 들어가야 하네요...주문수는 최소 10단위로는 알수 있도록 변경했으면 하고, 리뷰도 10단위로는 바꿔서 이용자가 바로 알 수 있게 했으면 편리할거 같네요"
29,김채윤,4,2021년 6월 12일,정말정말 보완해주신다면 삶의 질이 두배는 올라갈 거 같은 점이 있습니다... 메뉴에 해당하는 리뷰를 메뉴에 들어가면 바로바로 볼 수 있게 리뷰와 메뉴가 연결되면 좋겠습니다 맨날 먹고 싶은 메뉴에 대한 리뷰를 남긴 사람이 없나 계속 스크롤내리면서 찾아보면 시간이 너무 오래 걸리고 귀찮아요 ㅜㅜ 혹시 이미 기능이 있는데 제가 모르는 거라면 죄송하고 알려주시면 감사하겠습니당..
30,KDMPLUS조혜성,3,2021년 7월 2일,이번에 메인화면 ui구조가 상당히 불편하게 바뀐 것 같습니다. 특히 이전에는 제가 시켰던 음식 목록을 한번에 찾을수있어서 편했는데 바뀐 이후에는 스크롤을 내려서 음식목록이 어디있는지 찾아야된다는점이 불편한거같아요. 가게 대표메뉴를 이미지로 보여주는 방식은 더 구미를 당기게한다는점에서는 좋은데 이전 ui구조가 정보 접근성 측면에서 더 편했던거같아요 ㅠ ㅠ
31,Google 사용자,2,2018년 11월 5일,주소 입력이 안되어서 열받았습니다. 고쳐주세요. + 수동으로 입력 했는데도 안되어서 이런 리뷰를 남긴겁니다 ㅜㅜ 피드백 빠르시네요 ..ㅜㅜ 다른거 다 너무좋았는데 제일 중요한 주소지 등록이 안되어서 정말 화났었어요. 근처에 다른 상징적인 건물로 대신 설정하고 제가 직접 받으러 갔다올 뻔했거든요. 기사님이 요청사항 보고 찾아와주셔서 다행이죠.. 배달앱이 집까지 와주는게 좋은점인거잖아요.. 주소지 입력안되면 배달앱 사용할 이유가 없죠. 개발자님 기분상하지 않으셨으면 좋겠네요 ㅠ
32,득드기,1,2022년 3월 22일,이 어플의 가장 큰 문제점은 매장 지도확인 유무가 확률적이라는 점입니다. 지도를 시각적으로 확인하려먼 선택한 매장의 주문 메뉴가 배달-포장으로 분리되어 있을 때 포장을 선택해야지 확인할 수 있습니다. 다시 말해 해당 매장의 주문 메뉴가 배달-포장을 구분하지 않으면 주문을 결제하기 전까지 지도를 확인할 방법이 없다는 기적의 ui를 가지고 있다는 말입니다. 거기다 문제는 메인메뉴에서 포장탭을 선택해서 가게 검색을 했다고 해서 무조건 지도를 확인할 수 있는 게 아니라는 겁니다. 덕분에 포장주문 시킬 때 같은 이름의 다른 매장으로 잘못 찾아가는 일이 적잖이 발생합니다. 다른 배달 어플인 요기요는 100% 지도를 확인할 수 있었는데 왜 이 어플은 지도 확인을 확률제로 만들었나요?
33,Jun Min,1,2021년 6월 17일,첫화면 누구 생각인가요? 앱 사용해보고 만드신거 맞죠? 수수료 받아가서 한다는게 더 불편하게 만드는 건가요? 도대체 검색 칸을 만들어 두고 클릭하면 또다시 검색창으로 가지는건 누구 아이디언가요? 그럴거면 검색 창이 아니라 그냥 바로가기 버튼이죠. 민원24시 앱도 이거보단 직관적 일거 같네요.
34,Google 사용자,4,2019년 8월 27일,배달 음식이 개인의 취향에 따라 입맛이 틀리기 때문에 때론 맛도 허접하고 개념 없는 사장도 있있지만 .. 이곳 저곳 잘 찾아 맛있는곳 찾으면 단골이 됩니다 .. 편하게 집에서 음식을 즐길수 있는 대한민국이 대단 합니다~^^배달의 민족 다양한 음식점이 많아 별점과 리뷰 보며 잘 찾아 맛있는 음식 먹을수 있어 좋아요~^^
35,Google 사용자,4,2019년 4월 13일,"메뉴가 참 다양해서 좋음. 다만 메뉴 가격이나 편리성이 무색해지는 최소주문금액과 배달팁이 큰 단점. 메뉴 하나가 8천원 해도 최소주문금액이 만원이면, 결국 만6천 주고 2인분 시켜야됨. 거기다가 배달팁도 있음. 차라리 배달팁을 더 주고 1인배달을 시켜주든가, 2인분 이상이 배달이라고 하든가. 이해가 안되는 시스템."
36,쪼망이,5,2023년 2월 22일,내가 주문했던 과거목록에서도 검색기능이 있었으면 좋겠어요.. 분명 이 가게에 시킨 기억은 있는데 뭘시켰고 맛있게 먹은게 맞는지 알고싶은데 찾기가 너무 어렵네요.. 먹던 메뉴도 검색가능했으면 좋겠어요! 예를 들면 곱창 을 치면 과거에 시킨 곱창목록이 뜨거나 혹은 가게 리뷰창에 내리뷰보기 가 있어도 좋을거같아요 :)
37,서지민,3,2022년 12월 3일,배민 어플 잘 이용하는 중입니다. 근데 배달기사 잘못인데도 배달기사 평가를 할수가 없어서 잘못없는 음식점이 피해를 받는경우도 종종있고 음식점 별점을 깍을순 없으니 억울하지만 그냥 넘어가는 경우가 생깁니다. 특히 배민 1에는 배달기사 평가가 생겼으면 좋겠네요 그리고 요청사항 저장을 음식점마다 다르게 저장하는 기능도 생겼으면 좋겠습니다. 맨날 시키는 곳이 다르니 저장을 해도 다시 써야하는 경우가 많네요
38,A la,4,2021년 11월 18일,배달앱 중에선 배민이 제일 편한거 같아요~ 몇 년 사용하면서 꽤 불편하다고 느낀점이 있는데 가게 메뉴들 리스트에 적혀있는 설명(보통은 메뉴의 구성을 적어둡니다)과 메뉴를 선택해서 들어가면 보이는 설명이 다를 경우에 리스트에 적혀있는 글이 잘려서 다 안보이면 뒷내용을 알 수 없다는 점이예요. 사진에서 메뉴 구성을 한 눈에 볼 수 있는 메뉴들은 괜찮지만 마라탕과 같이 조리시 사진이 찍혀있는 경우 구성품을 전부 알기 힘든 경우에는 사리를 추가하거나 빼는것이 굉장히 난해합니다. 이런점 때문에 지난 몇 년간 같은 불편함을 격고 있습니다. 주변 지인분들도 공감하시더라구요. 개선되었으면 하네요.
39,애기햄지,5,2022년 9월 4일,"안녕하세요. 몇 년간 어플을 잘 사용하고 있는 유저입니다. 그런데 어플을 꽤 오래 사용하다보니 조금 불편한게 생겼습니다. 배달을 자주 시켜먹다보니 많은 가게들을 찜해놓게 됐는데, 찜한 가게가 많이 쌓이다보니 제가 원하는 가게를 찾기가 조금 번거롭습니다. 원하는 가게를 찾기 위해서는 스크롤을 하염없이 내려야합니다. 내가 찜한가게 내에 검색기능이나, 아니면 카테고리를 분류해서 볼 수 있는 기능이 추가된다면 사용하기에 조금 더 편리할 것 같습니다. 그리고, 찜한 가게를 선택해서 한 번에 여러개 해제할 수 있는 기능도 있으면 좋겠습니다. 찜해놓은 가게들 중 일부가 폐업 등의 이유로 주문이 불가하게 됐는데, 목록에서 자동으로 삭제가 되지 않고 남아있더라구요. 그런데 한 번 찜을 해제할 때마다 자꾸 목록이 맨 위로 올라가는 바람에 여간 번거로운게 아닙니다ㅠㅠ 목록이 보고있는 페이지가 고정되거나, 혹은 선택 삭제를 할 수 있는 기능이 있으면 좋을 것 같습니다. 감사합니다."
40,Google 사용자,3,2019년 2월 25일,"맛집 동네 검색 있음 좋겠음 메뉴 종류 선택 장애 들을 위해서요 글이 잘못 전달 된거 같아 추가 작성합니다. 우리동네 맛집 검색은 있는데, 상호를 알아야만 검색할수 있습니다. 상호 검색은 우리 동네에 무슨 맛집이 있는지 알때 하는거자나요 제말은 검색어 없이 위치 기반으로 주변에 등록된 맛집들을 보여주면 그중에서 선택 할 수 있는 기능을 얘기한겁니다."
41,Google 사용자,1,2019년 1월 20일,멀쩡히 잘 쓰고 있던 정렬 기능을 개편을 위해 삭제한 버전으로 스토어에 올렸다구요? 이게 말이나 되는 소린가요? 기능을 바꾸려고 했다면 먼저 그것부터 충분히 테스트하고 대체해야지 사용자들보고 그냥 참으라고 막무가내로 없데이트한다고? 그걸 누가 믿어요. 그게 아니라 그냥 사람들 간 보고 싶었겠지. 정렬 없어도 괜찮은지 아닌지. 진짜 개편을 위해서 그런 거였다면 그것대로 동네 구멍가게만도 못한 프로세스 수준인 거고. 여러모로 우형의 댕청함이 놀랍네요.
42,sho_Ony,1,2020년 9월 14일,"메인에서 카테고리로 진입하면 텅 비어있거나 몇 안되는데, 검색하기로 찾으면 나오는 업체수가 상당히 많네요. 카테고리로 진입하면 배달 가능한 매장을 다 띄워주는게 아닌가요? 뭔가 범위가 엄청 좁게 설정되어있는 듯한 느낌입니다. 이 문제로 앱 내 문의하기 통해서 여러번 문의했는데, 최신버전 업뎃하라는 말같지도 않은 답변이 와서 여기다 적습니다."
43,Google 사용자,1,2019년 4월 7일,메뉴 이름으로 검색 안 되고 가게 상호명만 검색할 수 있는거 너무 불편해요. 그리고 한식에서도 세부 카테고리가 정해져 있지 않아서 찾는 게 힘들고요.. 인터페이스도 깔끔하지 않고 너저분 해진거 같고 (배민라이더스 서비스 오픈 이후 밑스크롤에 무언가 많이 생겼네요) 복잡해요.
44,Google 사용자,4,2019년 9월 21일,"오랫동안 애용중인 배민인입니다^^ 매장도 계속 추가되고 다양한 음식이 많아져서 정말 좋습니다. 하지만 아쉬운게 있다면, 메뉴사진이 추천메뉴에만 있어서 메뉴선택이 어려워요. 사진이 모두 있다면 메뉴선택이 더 수월할것같아요. 그리고가게 운영시간이 실제 운영시간과 맞지않은 곳이 몇몇있어서 불편함이 있고, 어느 가게는 배송료를 현금으로 받는곳이 있어서 현금이 없을땐 주문을 할 수 없어 아쉬워요. 어플사용에 항상 좋은 환경이 되게 개선 해주셔서 감사하며, 위 사항도 개선된다면 정말 더 좋을것 같아서 적었습니다. 수고하세요^^"
45,Google 사용자,3,2019년 11월 26일,많이쓰다보니 편하기는한데.배달팁이 너무 부담스러워요. 장기적으로 쓸때 이벤트나 다양한 혜택이 한번씩이라도 있으면 좋을거같아요. 지난번 반찬집 배달시에 배달팁을 배달후 요청해서 당황했어요. 자세히 보고 주문했어야하는 제 잘못도 있지만 어떤건 배달팁 같이써있고 같이 결제되는데..상품구매후 별도 배달팁요청 부분은 좀 그랬습니다.확실히 눈에 잘보이게 개선되어 주문시 착오없게되면 좋겠어요! 반찬가게등도 웰빙등 더 많이 업로드 부탁드립니다.감사합니다
46,새황,3,2023년 1월 12일,"메뉴별 리뷰 조회가 가능했으면 좋겠습니다. 결정에 불편합니다. 어차피 ""나 이거 먹고 싶은데 사람들이 뭐라고 했지?"" 하면서 필요한 것만 선별적으로 읽게 되는데 그 과정에서 스크롤링이 매우 귀찮습니다. 특정 메뉴에 대해 단순 기호 표현/매장이 기재하지 않은 재료를 알리는(알레르기 등) 리뷰들을 주로 필요로 하는 고객도 해당 기능으로 더 만족스러운 경험을 할 것으로 보입니다."
