,이름,평점,작성일,내용
31,min ju kim,5/5,2024년 2월 29일,정말 좋은 앱이라고 생각합니다. 그런데 프리토킹이나 ai와 대화시 내가 틀린문장을 말하면 앞에 *표시가 떠서 바로 알 수있더라구요. 이것때문에 뭔가 자신감이 떨어져서 대화를 매끄럽게 이어나가기 어려운데(가뜩이나 못하는데 더 버벅거리게 돼요..ai인데도 ㅠㅠ) 혹시 대화 종료후에 틀린표현을 알 수 있도록 개선되기는 힘들까요?🥺
32,Anna,3/5,2024년 2월 15일,"1. 요근래 오류로 뜨며, 피드백을 못받는 빈도수 높아짐. 2.대화맥락과 맞지않는 내용과 설정언어와 상관없는 라틴어 표출되는 사례 발생. 3. 한국어 번역이 자연스럽지 않거나 오류 나타나고 있음. 결론 : 요즘. Ai튜터 기능이 초반보다 더. 떨어진 느낌."
33,이규원,5/5,2024년 1월 28일,원래 저는 영어를 이해하지 못했는데 선생님께서도 잘 알려주시고 실제 원어민과 대화하는게 있어서 영어실력이 많이 늘것만 같아요 단점이라면 장점이 많아서 딱히 별로없지만 다른 평가 내용도 그렇고 음성 인식 내용에 부정적이 많기도 하고 저도 가끔 음성인식이 안돼서 답답할때가 있는거 빼고는 모든것이 괜찮고 어려운 내용을 쉽게 배울 수 있어 정말 스픽을 추천하고 칭찬하고 싶습니다👍☺
34,최선호,5/5,2024년 3월 7일,"학교다닐 때 이런어플이 있었다면 정말 재밌게 배울 수 있었을텐데 많이 아쉽습니다. 나이가 들어 공부하려니 사실 쉽지는 않지만 이만큼 틈틈히 배울수 있는 어플은 없을 것 같네요. 공부는 습관이라는 말이 와닿고, 매일 조금씩 성장하는 것이 눈에 보이니 더 재밌게 공부하고 있습니다."
35,es kim,2/5,2024년 3월 22일,정말 잘 사용하고 있긴 한데 갑자기 업데이트 하면서 상황별 응용 연습이 추가되어서 전부 미완료로 변경되었는데 문제는 이게 음성 인식이 잘 안 되네요 조금만 주변이 시끄러워도 다시 하라고 하고 답답합니다
36,김주연,5/5,2024년 2월 27일,반복연습이 많이 되고 실제 사용하는 표현들 위주로 쉽게 따라할수있게 짜여있어서 좋아요. 다만 예약한 알람이 정확한 시간에 오지않거나 아예 오지 않는건 좀 불편하네요. 알람의 채찍질 효과가 꽤 크거든요.
37,보비,4/5,2024년 1월 19일,내년에 있는 올림픽 경기보러 가기위해시작한 영어공부 입니다. 언제든지 내가 원하는 시간에! 어디든지 내가 원하는 곳에서! 틀렸을까 실수할까 눈치보지않고 하는 영어회화 연습이 가능하다니! 단순하기만한 단어나 대화뿐아니라 꽤 수준있는 대화훈련까지 가능합니다
38,김성겸,4/5,2024년 2월 27일,기업체용으로도 개발해주셨으면 합니다. 회사에서 외국어 능력개발로 전화영어는 지원이 되는데 아직 Ai튜터는 적용이 되지 않고 있습니다. 이수 평가 관련해서 프로세스가 있으면 직원 능력개발로 많이 사용하지 않을까 싶네요. 가격도 전화영어와 비슷한 수준이라면 매력적인 상품이 될거 같습니다.
39,h y,3/5,2024년 1월 27일,앱은 너무 유용합니다 그런데 자동 결제가 되었어요ㅠㅠ 환불을 어떻게 받을 수 있나요?? 원래 그냥 결제해서 들으려고 했는데 이벤트 가격도 아니고 비싼 가격으로 결제가 되어서 환불하고 다시 해야하는 번거로움이 ㅠㅠ 환불 부탁드립니다. 카카오앱 연동으로 가입해서 휴면 이메일로 결제 뭐시기가 날아가서 어떻게 햐야될지 모르겠네요 ㅠㅠ
40,Grimmza LEE,1/5,2024년 3월 10일,S24사용자임 앱이 내 말을 끝까지 못 알아듣고 내 말을 잘라먹음. 그리고 오답 표기함. 매우 화나는 경험임. 내 스피킹 녹음이 멈추거나 과정 자체가 멈춰버림. 다음 진도로 넘어가지 않음. 캐시 지우면 극히 일부가 해결되나 사용자가 알아서 지워야하는 불편이 있고 계속 말 잘라먹고 오답 표기 정말 엉성하고 화가나서 정말 쌍욕이 나온다
41,Lily,1/5,2024년 3월 14일,"아직 뭐 한것도 없는데 계속 후기 쓰라네요ㅠ 1. 점프인 레슨도 영어 문장좀 읽어주세요. 2. 레슨후에 레슨완료 화면 좀 더 짧게 끝내주세요 3. Ai 질문답 할 때 정답 아니어도 다양한 대답을 해도 맞춘걸로 해주세요, 그리고 녹음은 직접 눌러서 시작하게해주세요 자꾸 잘못눌러버려서 아무말도 안했는데 입력버튼 눌러버리는데 제가 말 안한것 때문에 너무 오랫동안 버퍼링 걸려서 불편해요 4. 녹음기능의 민감도를 높이고낮출 수 있게해주세요 자꾸 못알아들어요 5. 리뷰 썼는데 또 쓰라고해요 6. 전체적으로 앱 개선이 필요 7. 다 틀렸는데 다 맞았대요 *전체적으로 부족한 앱입니다 돈 진짜 아까워요"
42,고범석,5/5,2024년 2월 10일,유료어플이긴하지만 알찬내용과 편의성으로 꾸준한 말하기에 매우 적합한 어플. 특히 발음교정이나 ai를 활용한 대화는 전화영어보다 훨씬 나은 효과를 줄듯함. 아쉬운 점은 퀴즈형식의 단어학습시 문장 음성이 안나오는것 정도
43,선우다연,5/5,2024년 1월 9일,"추가: 이전에 적은 것들 대부분 들어주셔서 지웁니다! 영어 초보 기준 매우매우 도움되는 앱이에요 (본인 A2 정도 수준) 왕초보 1탄, 2탄은 강의 만듦새가 약간 조악했으나, 영어적 사고 기르기부터는 그래픽도 세련되고 강의 수준도 좋아짐 다음 코스도 기대된다! 1. 프리톡에서 언제든지 대화 일시정지하고 다음에 이어서 할 수 있는 기능이 나오길 바람. 뒤로가기 하면 바로 대화가 종료되게 하기 보다는 대화를 종료하시겠습니까? 하고 물어봤으면 좋겠음 2. 저장한 문장!!!!! 제발 나만의 폴더링 가능하게 해주세요!!!! 걍 무작위로 쌓여있으니 저장된 문장을 아예 안보게 됩니다. 애초에 저장된 문장을 들여다보지 않아요. 폴더링이 되면 복습겸 들어가 볼 것 같아요."
44,오냠냠,4/5,2024년 1월 15일,"커리큘럼이 잘 짜여져있어 기초부터 차근차근 따라가기 좋고, 반복학습 또한 지루하지 않게 구성이 잘 되어있다는 생각이 듭니다. 다만 민감도도 높이고, 아주 조용한 환경에서 수업을 듣는데도, 's 발음, 숫자 등 특정 발음의 인식이 너무너무 떨어져 수업 진행이 매끄럽지 않은 경우가 생깁니다.. 처음에는 오류인가 싶어서 오류제보를 했는데, 그것도 아닌 것 같아요.. ㅠㅠ 모쪼록 해결이 되었으면 좋겠습니다.."
45,꺄르르,5/5,2024년 1월 17일,"내향형 인간으로서 영어회화 공부하기 정말 좋은 앱인 것 같아요. 전화영어도 사람 대상으로 말하기 부담스러웠는데 AI라 아무렇게나 이야기하고 정정해줘서 너무 좋습니다. 다만, 수업들을때 제 음성 인식을 잘 못해서 2번,3번 말해야하는 경우도 많아요.ㅜㅜ"
46,YS K,5/5,2024년 1월 8일,전체적인 구성이 좋음. 싑게쉽게 트레이닝하는 느낌. 보완 필요사항으로는 차량 탑승중에 블루투스로 차랑 연결되어있으면(안드로이드 오토 등) 레슨이나 원어민과 대화하기 등의 동영상 부분 사운드가 안나오는 경우가 있음. 수차례 반복재생하다보면 나오기도 하고 계속 안나오기도 함. 이동중에 연습하거나 하고싶은데 그런부분에서 제약이 있음.
47,윤다솜,5/5,2024년 1월 10일,"재밌어요! 표현도 다양하고 편한 시간에 편한 장소에서 연습할 수 있다는 것도 너무 좋아요! 영어실력 향상을 위해 1:1 원어민 수업, 전화영어 등 다양한 방법으로 노력하고 있는데 스픽 수업이 제일 재밌네요ㅎㅎ 광고만 봤을 땐 AI튜터 기능을 좀 의심했는데 기대한 것보다 훨씬 더 제 말을 잘 이해해줘요😂 꾸준히 연습하면 원하는 레벨에 도달할 수 있겠다는 생각이 들어요. 수업이 길지않고 컴팩트해서 남는 시간엔 제 레벨보다 낮은 레벨의 수업도 들으면서 기초도 더 탄탄하게 만들 생각입니다. 아주 만족!!! 스픽 회사가 더더더 열일해서 더 많은 컨텐츠와 기능을 계속계속 업데이트 해주면 좋겠어요🙏🙏"
48,Eunjung Cho,1/5,2024년 2월 5일,"고객지원 수준이 너무 낮습니다. 지원을 위한 실질적인 커뮤니케이션 채널이 작동하지 않습니다. 이메일 문의에는 회신이 없고, 실시간 채팅창은 사실 실시간으로 작동되지 않고 고객이 원하는 질문을 할 수 없고 스픽이 유도하는 질문만 선택 가능해서 제 문제점에 대해 답을 전혀 들을 수 없어 취소하고자 합니다."
49,Jay Kim,5/5,2024년 1월 15일,프리미엄 구독 시작하고 첫 수업 잘 진행 했어요 선생님의 목소리를 비롯한 호감도도 높았고 여러 문장을 제시해주고 반복 연습을 할 수 있어서 마음에 들었습니다. 다만 수업은 좋았지만 한가지 아쉬웠던 점이 있는데요 ai 주도로 진행되는 발음 교정을 위한 토픽 대화에서 ai가 제시하는 문장의 발음을 모든 상황에서 들려주진 않더군요 어떤 ai대화는 문장발음을 바로 들을 수 있어서 비교 교정이 되는데 어떤건 되질 않으니 답답했어요 개선이 필요해보입니다.
50,신재순,3/5,2023년 11월 2일,"스픽 어플 한달이 안되지만 정기결제로 이용중입니다. 다만, 차량 블루투스로 사용시 마이크입력이 거의 안되요. 먹통. 스마트폰 업데이트, 스픽 어플 업데이트. 스픽 어플 캐쉬 삭제, 백그라운드 종료, 재설치까지. 재설치 후 가끔씩 되고 재설치해도 안되는 경우가 더 많습니다. 다만 블루투스가 아닌 일반일때는 잘되요. 차량에서 다른 블루투스 어플 및 기기는 모두 정상 작동됩니다. 유료 어플인만큼 완성도가 생명인데 신속하게 조치 바랍니다."
51,권오민,5/5,2024년 1월 14일,좋습니다 몇가지문제를알려드립니다 1. 레슨중 카카오톡이나 다른앱이 실행되거나하면 다시돌아왓을때 ai봇창으로 넘어가는데 이걸끌수없나요?? 창을닫으면 메인화면으로넘어가버려서 다시하던레슨으로 돌아갈수없고 다시시작해야합니다. 근데 특이한점은 태블릿에서는 그렇지않습니다. 2. 특정레슨중에 한글로 이야기해주는 부분에서 한글발음이 이상하게나올때가있습니다. 한국어가 맞나싶은 정도로 발음이 좋지않구요
52,뿡빵뿡빵,5/5,2024년 1월 21일,큰 기대없이 체험 해봤는데 생각보다 앱 퀄리티도 높고 AI가 궁금한 부분을 자세하고 섬세하게 알려줘서 영어 공부에 확실히 도움이 될 것 같고 스피킹 실력 향상에도 도움이 많이 될 것 같아요. 작은 금액은 아니지만 연간 이용권을 끊고 다른 앱처럼 사용하지 않거나 후회하진 않을 것 같네요.
