Name,Team,Position,Date of Birth,Age,Nationality,Market Value
Benjamin Bourigeaud,Stade Rennais FC,Central Midfield,"Jan 14, 1994",29,France,€18.00m
Flavien Tait,Stade Rennais FC,Central Midfield,"Feb 2, 1993",30,France,€6.00m
Xeka,Stade Rennais FC,Central Midfield,"Nov 10, 1994",28,Portugal,€6.00m
Gabriel Tutu,Stade Rennais FC,Right Midfield,"Jan 29, 2004",19,France,€50k
Lovro Majer,Stade Rennais FC,Attacking Midfield,"Jan 17, 1998",25,Croatia,€20.00m
Désiré Doué,Stade Rennais FC,Attacking Midfield,"Jun 3, 2005",18,France,€15.00m
Amine Gouiri,Stade Rennais FC,Left Winger,"Feb 16, 2000",23,Algeria,€35.00m
Martin Terrier,Stade Rennais FC,Left Winger,"Mar 4, 1997",26,France,€30.00m
Jérémy Doku,Stade Rennais FC,Left Winger,"May 27, 2002",21,Belgium,€28.00m
Kamaldeen Sulemana,Stade Rennais FC,Left Winger,"Feb 15, 2002",21,Ghana,€22.00m
Ibrahim Salah,Stade Rennais FC,Left Winger,"Aug 30, 2001",21,Morocco,€3.00m
Arnaud Kalimuendo,Stade Rennais FC,Centre-Forward,"Jan 20, 2002",21,France,€22.00m
Gaëtan Laborde,Stade Rennais FC,Centre-Forward,"May 3, 1994",29,France,€16.00m
Serhou Guirassy,Stade Rennais FC,Centre-Forward,"Mar 12, 1996",27,Guinea,€14.00m
Karl Toko Ekambi,Stade Rennais FC,Centre-Forward,"Sep 14, 1992",30,Cameroon,€8.00m
Matthis Abline,Stade Rennais FC,Centre-Forward,"Mar 28, 2003",20,France,€4.50m
Alan Do Marcolino,Stade Rennais FC,Centre-Forward,"Mar 19, 2002",21,Gabon,€150k
Alexander Nübel,AS Monaco,Goalkeeper,"Sep 30, 1996",26,Germany,€8.00m
Thomas Didillon,AS Monaco,Goalkeeper,"Nov 28, 1995",27,France,€1.00m
Yann Lienard,AS Monaco,Goalkeeper,"Mar 16, 2003",20,France,€200k
Benoît Badiashile,AS Monaco,Centre-Back,"Mar 26, 2001",22,France,€40.00m
Axel Disasi,AS Monaco,Centre-Back,"Mar 11, 1998",25,France,€30.00m
Guillermo Maripán,AS Monaco,Centre-Back,"May 6, 1994",29,Chile,€10.00m
Malang Sarr,AS Monaco,Centre-Back,"Jan 23, 1999",24,France,€6.00m
Chrislain Matsima,AS Monaco,Centre-Back,"May 15, 2002",21,France,€6.00m
Soungoutou Magassa,AS Monaco,Centre-Back,"Oct 8, 2003",19,France,€800k
Yllan Okou,AS Monaco,Centre-Back,"Dec 23, 2002",20,France,€300k
Caio Henrique,AS Monaco,Left-Back,"Jul 31, 1997",25,Brazil,€20.00m
Ismail Jakobs,AS Monaco,Left-Back,"Aug 17, 1999",23,Senegal,€6.00m
Vanderson,AS Monaco,Right-Back,"Jun 21, 2001",22,Brazil,€20.00m
Ruben Aguilar,AS Monaco,Right-Back,"Apr 26, 1993",30,France,€7.00m
Nazim Babaï,AS Monaco,Right-Back,"Jan 14, 2003",20,Algeria,-
Mohamed Camara,AS Monaco,Defensive Midfield,"Jan 6, 2000",23,Mali,€30.00m
Youssouf Fofana,AS Monaco,Central Midfield,"Jan 10, 1999",24,France,€25.00m
Eliot Matazo,AS Monaco,Central Midfield,"Feb 15, 2002",21,Belgium,€7.00m
Jean Lucas,AS Monaco,Central Midfield,"Jun 22, 1998",25,Brazil,€5.00m
Edan Diop,AS Monaco,Central Midfield,"Aug 28, 2004",18,France,€2.00m
Félix Lemaréchal,AS Monaco,Central Midfield,"Aug 7, 2003",19,France,€1.00m
Aleksandr Golovin,AS Monaco,Attacking Midfield,"May 30, 1996",27,Russia,€28.00m
Eliesse Ben Seghir,AS Monaco,Attacking Midfield,"Feb 16, 2005",18,Morocco,€18.00m
Maghnes Akliouche,AS Monaco,Attacking Midfield,"Feb 25, 2002",21,France,€6.00m
Sofiane Diop,AS Monaco,Left Winger,"Jun 9, 2000",23,Morocco,€15.00m
Takumi Minamino,AS Monaco,Left Winger,"Jan 16, 1995",28,Japan,€6.00m
Krépin Diatta,AS Monaco,Right Winger,"Feb 25, 1999",24,Senegal,€15.00m
Gelson Martins,AS Monaco,Right Winger,"May 11, 1995",28,Portugal,€5.00m
Breel Embolo,AS Monaco,Centre-Forward,"Feb 14, 1997",26,Switzerland,€20.00m
Wissam Ben Yedder,AS Monaco,Centre-Forward,"Aug 12, 1990",32,France,€15.00m
Kevin Volland,AS Monaco,Centre-Forward,"Jul 30, 1992",30,Germany,€8.00m
Myron Boadu,AS Monaco,Centre-Forward,"Jan 14, 2001",22,Netherlands,€7.00m
Anthony Lopes,Olympique Lyon,Goalkeeper,"Oct 1, 1990",32,Portugal,€8.00m
Rémy Riou,Olympique Lyon,Goalkeeper,"Aug 6, 1987",35,France,€400k
Kayne Bonnevie,Olympique Lyon,Goalkeeper,"Jul 22, 2001",21,France,€200k
Castello Lukeba,Olympique Lyon,Centre-Back,"Dec 17, 2002",20,France,€25.00m
Sinaly Diomandé,Olympique Lyon,Centre-Back,"Apr 9, 2001",22,Cote d'Ivoire,€9.00m
Dejan Lovren,Olympique Lyon,Centre-Back,"Jul 5, 1989",33,Croatia,€2.50m
Mamadou Sarr,Olympique Lyon,Centre-Back,"Aug 29, 2005",17,France,€1.00m
Jérôme Boateng,Olympique Lyon,Centre-Back,"Sep 3, 1988",34,Germany,€800k
Damien Da Silva,Olympique Lyon,Centre-Back,"May 17, 1988",35,France,€500k
Nicolás Tagliafico,Olympique Lyon,Left-Back,"Aug 31, 1992",30,Argentina,€9.00m
Henrique Silva,Olympique Lyon,Left-Back,"Apr 25, 1994",29,Brazil,€1.00m
Achraf Laâziri,Olympique Lyon,Left-Back,"Jul 8, 2003",19,Morocco,€250k
Malo Gusto,Olympique Lyon,Right-Back,"May 19, 2003",20,France,€25.00m
Saël Kumbedi,Olympique Lyon,Right-Back,"Mar 26, 2005",18,France,€12.00m
Johann Lepenant,Olympique Lyon,Defensive Midfield,"Oct 22, 2002",20,France,€10.00m
Thiago Mendes,Olympique Lyon,Defensive Midfield,"Mar 15, 1992",31,Brazil,€5.00m
Maxence Caqueret,Olympique Lyon,Central Midfield,"Feb 15, 2000",23,France,€25.00m
Corentin Tolisso,Olympique Lyon,Central Midfield,"Aug 3, 1994",28,France,€14.00m
Houssem Aouar,Olympique Lyon,Central Midfield,"Jun 30, 1998",25,Algeria,€13.00m
Mohamed El Arouch,Olympique Lyon,Central Midfield,"Apr 6, 2004",19,France,€2.00m
Romain Faivre,Olympique Lyon,Right Midfield,"Jul 14, 1998",24,France,€10.00m
Lucas Paquetá,Olympique Lyon,Attacking Midfield,"Aug 27, 1997",25,Brazil,€45.00m
Rayan Cherki,Olympique Lyon,Attacking Midfield,"Aug 17, 2003",19,France,€30.00m
Jeff Reine-Adélaïde,Olympique Lyon,Attacking Midfield,"Jan 17, 1998",25,France,€5.00m
Djibrail Dib,Olympique Lyon,Attacking Midfield,"Jul 3, 2002",20,Algeria,€150k
Bradley Barcola,Olympique Lyon,Left Winger,"Sep 2, 2002",20,France,€18.00m
Jeffinho,Olympique Lyon,Left Winger,"Dec 30, 1999",23,Brazil,€8.00m
Tetê,Olympique Lyon,Right Winger,"Feb 15, 2000",23,Brazil,€25.00m
Alexandre Lacazette,Olympique Lyon,Centre-Forward,"May 28, 1991",32,France,€14.00m
Moussa Dembélé,Olympique Lyon,Centre-Forward,"Jul 12, 1996",26,France,€12.00m
Karl Toko Ekambi,Olympique Lyon,Centre-Forward,"Sep 14, 1992",30,Cameroon,€8.00m
Amin Sarr,Olympique Lyon,Centre-Forward,"Mar 11, 2001",22,Sweden,€8.00m
Tino Kadewere,Olympique Lyon,Centre-Forward,"Jan 5, 1996",27,Zimbabwe,€4.00m
Sekou Lega,Olympique Lyon,Centre-Forward,"Jan 21, 2003",20,France,€150k
Pau López,Olympique Marseille,Goalkeeper,"Dec 13, 1994",28,Spain,€14.00m
Rubén Blanco,Olympique Marseille,Goalkeeper,"Jul 25, 1995",27,Spain,€4.00m
Simon Ngapandouetnbu,Olympique Marseille,Goalkeeper,"Apr 12, 2003",20,Cameroon,€400k
Chancel Mbemba,Olympique Marseille,Centre-Back,"Aug 8, 1994",28,DR Congo,€20.00m
Duje Caleta-Car,Olympique Marseille,Centre-Back,"Sep 17, 1996",26,Croatia,€11.00m
Samuel Gigot,Olympique Marseille,Centre-Back,"Oct 12, 1993",29,France,€10.00m
Leonardo Balerdi,Olympique Marseille,Centre-Back,"Jan 26, 1999",24,Argentina,€10.00m
Sead Kolasinac,Olympique Marseille,Centre-Back,"Jun 20, 1993",30,Bosnia-Herzegovina,€8.00m
Isaak Touré,Olympique Marseille,Centre-Back,"Mar 28, 2003",20,France,€6.00m
Eric Bailly,Olympique Marseille,Centre-Back,"Apr 12, 1994",29,Cote d'Ivoire,€5.00m
Yakine Said M'Madi,Olympique Marseille,Centre-Back,"Mar 11, 2004",19,Comoros,€150k
Nuno Tavares,Olympique Marseille,Left-Back,"Jan 26, 2000",23,Portugal,€18.00m
Jonathan Clauss,Olympique Marseille,Right-Back,"Sep 25, 1992",30,France,€14.00m
Issa Kaboré,Olympique Marseille,Right-Back,"May 12, 2001",22,Burkina Faso,€7.00m
Pol Lirola,Olympique Marseille,Right-Back,"Aug 13, 1997",25,Spain,€2.00m
Pape Gueye,Olympique Marseille,Defensive Midfield,"Jan 24, 1999",24,Senegal,€10.00m
Bartuğ Elmaz,Olympique Marseille,Defensive Midfield,"Feb 19, 2003",20,Türkiye,€300k
Raimane Daou,Olympique Marseille,Defensive Midfield,"Nov 20, 2004",18,Comoros,-
Mattéo Guendouzi,Olympique Marseille,Central Midfield,"Apr 14, 1999",24,France,€25.00m
Valentin Rongier,Olympique Marseille,Central Midfield,"Dec 7, 1994",28,France,€22.00m
Gerson,Olympique Marseille,Central Midfield,"May 20, 1997",26,Brazil,€16.00m
Jordan Veretout,Olympique Marseille,Central Midfield,"Mar 1, 1993",30,France,€16.00m
Azzedine Ounahi,Olympique Marseille,Central Midfield,"Apr 19, 2000",23,Morocco,€12.00m
Esey Gebreyesus,Olympique Marseille,Right Midfield,"Jan 23, 2004",19,Switzerland,€100k
Emran Soglo,Olympique Marseille,Left Midfield,"Jul 11, 2005",17,England,-
Ruslan Malinovskyi,Olympique Marseille,Attacking Midfield,"May 4, 1993",30,Ukraine,€15.00m
Amine Harit,Olympique Marseille,Attacking Midfield,"Jun 18, 1997",26,Morocco,€12.00m
Dimitri Payet,Olympique Marseille,Attacking Midfield,"Mar 29, 1987",36,France,€1.80m
Salim Ben Seghir,Olympique Marseille,Left Winger,"Feb 24, 2003",20,France,€500k
Cengiz Ünder,Olympique Marseille,Right Winger,"Jul 14, 1997",25,Türkiye,€20.00m
François Mughe,Olympique Marseille,Right Winger,"Jun 16, 2004",19,Cameroon,€300k
Vitinha,Olympique Marseille,Centre-Forward,"Mar 15, 2000",23,Portugal,€18.00m
Arkadiusz Milik,Olympique Marseille,Centre-Forward,"Feb 28, 1994",29,Poland,€8.00m
Luis Suárez,Olympique Marseille,Centre-Forward,"Dec 2, 1997",25,Colombia,€8.00m
Bamba Dieng,Olympique Marseille,Centre-Forward,"Mar 23, 2000",23,Senegal,€8.00m
Cédric Bakambu,Olympique Marseille,Centre-Forward,"Apr 11, 1991",32,DR Congo,€5.00m
Alexis Sánchez,Olympique Marseille,Centre-Forward,"Dec 19, 1988",34,Chile,€4.00m
Kasper Schmeichel,OGC Nice,Goalkeeper,"Nov 5, 1986",36,Denmark,€2.00m
Marcin Bulka,OGC Nice,Goalkeeper,"Oct 4, 1999",23,Poland,€2.00m
Teddy Boulhendi,OGC Nice,Goalkeeper,"Apr 9, 2001",22,Algeria,€150k
Enzo Garrido,OGC Nice,Goalkeeper,"Jul 26, 2003",19,France,-
Jean-Clair Todibo,OGC Nice,Centre-Back,"Dec 30, 1999",23,France,€30.00m
Flavius Daniliuc,OGC Nice,Centre-Back,"Apr 27, 2001",22,Austria,€8.00m
Mattia Viti,OGC Nice,Centre-Back,"Jan 24, 2002",21,Italy,€7.00m
Mads Bech Sörensen,OGC Nice,Centre-Back,"Jan 7, 1999",24,Denmark,€2.50m
Dante,OGC Nice,Centre-Back,"Oct 18, 1983",39,Brazil,€600k
Yannis Nahounou,OGC Nice,Centre-Back,"May 16, 2004",19,France,€150k
Melvin Bard,OGC Nice,Left-Back,"Nov 6, 2000",22,France,€7.00m
Ayoub Amraoui,OGC Nice,Left-Back,"May 14, 2004",19,Morocco,€2.50m
Joe Bryan,OGC Nice,Left-Back,"Sep 17, 1993",29,England,€2.20m
Jordan Lotomba,OGC Nice,Right-Back,"Sep 29, 1998",24,Switzerland,€8.00m
Youcef Atal,OGC Nice,Right-Back,"May 17, 1996",27,Algeria,€7.00m
Antoine Mendy,OGC Nice,Right-Back,"May 27, 2004",19,France,€1.00m
Youssouf Ndayishimiye,OGC Nice,Defensive Midfield,"Oct 27, 1998",24,Burundi,€12.00m
Mario Lemina,OGC Nice,Defensive Midfield,"Sep 1, 1993",29,Gabon,€10.00m
Pablo Rosario,OGC Nice,Defensive Midfield,"Jan 7, 1997",26,Netherlands,€6.00m
Alexis Beka Beka,OGC Nice,Defensive Midfield,"Mar 29, 2001",22,France,€4.50m
Reda Belahyane,OGC Nice,Defensive Midfield,"Jun 1, 2004",19,France,€300k
Théo Trinker,OGC Nice,Defensive Midfield,"Jun 20, 2001",22,France,€100k
Khéphren Thuram,OGC Nice,Central Midfield,"Mar 26, 2001",22,France,€40.00m
Hicham Boudaoui,OGC Nice,Central Midfield,"Sep 23, 1999",23,Algeria,€8.00m
Ross Barkley,OGC Nice,Central Midfield,"Dec 5, 1993",29,England,€6.00m
Aaron Ramsey,OGC Nice,Central Midfield,"Dec 26, 1990",32,Wales,€2.50m
Soudeysse Kari,OGC Nice,Central Midfield,"Feb 7, 2002",21,France,€100k
Tom Louchet,OGC Nice,Central Midfield,"May 4, 2003",20,France,€100k
Daouda Traoré,OGC Nice,Central Midfield,"Jul 22, 2006",16,France,€100k
Calvin Stengs,OGC Nice,Attacking Midfield,"Dec 18, 1998",24,Netherlands,€10.00m
Alexis Claude-Maurice,OGC Nice,Attacking Midfield,"Jun 6, 1998",25,France,€4.50m
Andrea Dacourt,OGC Nice,Attacking Midfield,"Jul 30, 2005",17,France,-
Amine Gouiri,OGC Nice,Left Winger,"Feb 16, 2000",23,Algeria,€35.00m
Sofiane Diop,OGC Nice,Left Winger,"Jun 9, 2000",23,Morocco,€15.00m
Billal Brahimi,OGC Nice,Left Winger,"Mar 14, 2000",23,Algeria,€7.00m
Rares Ilie,OGC Nice,Left Winger,"Apr 19, 2003",20,Romania,€2.50m
Nicolas Pépé,OGC Nice,Right Winger,"May 29, 1995",28,Cote d'Ivoire,€18.00m
Badredine Bouanani,OGC Nice,Right Winger,"Dec 8, 2004",18,Algeria,€6.00m
Terem Moffi,OGC Nice,Centre-Forward,"May 25, 1999",24,Nigeria,€20.00m
Gaëtan Laborde,OGC Nice,Centre-Forward,"May 3, 1994",29,France,€16.00m
Andy Delort,OGC Nice,Centre-Forward,"Oct 9, 1991",31,Algeria,€7.00m
Lucas Chevalier,LOSC Lille,Goalkeeper,"Nov 6, 2001",21,France,€10.00m
Léo Jardim,LOSC Lille,Goalkeeper,"Mar 20, 1995",28,Brazil,€3.00m
Benoît Costil,LOSC Lille,Goalkeeper,"Jul 3, 1987",35,France,€1.00m
Adam Jakubech,LOSC Lille,Goalkeeper,"Jan 2, 1997",26,Slovakia,€300k
Tom Negrel,LOSC Lille,Goalkeeper,"Apr 13, 2003",20,France,€50k
Tiago Djaló,LOSC Lille,Centre-Back,"Apr 9, 2000",23,Portugal,€16.00m
Leny Yoro,LOSC Lille,Centre-Back,"Nov 13, 2005",17,France,€10.00m
Alexsandro,LOSC Lille,Centre-Back,"Aug 9, 1999",23,Brazil,€5.00m
José Fonte,LOSC Lille,Centre-Back,"Dec 22, 1983",39,Portugal,€600k
Abdoulaye Ousmane,LOSC Lille,Centre-Back,"Feb 22, 2000",23,Mauritania,€50k
Gabriel Gudmundsson,LOSC Lille,Left-Back,"Apr 29, 1999",24,Sweden,€4.50m
Ismaily,LOSC Lille,Left-Back,"Jan 11, 1990",33,Brazil,€2.50m
Bafodé Diakité,LOSC Lille,Right-Back,"Jan 6, 2001",22,France,€10.00m
Akim Zedadka,LOSC Lille,Right-Back,"May 30, 1995",28,Algeria,€2.50m
Simon Ramet,LOSC Lille,Right-Back,"Mar 13, 2003",20,France,€150k
Benjamin André,LOSC Lille,Defensive Midfield,"Aug 3, 1990",32,France,€9.00m
Carlos Baleba,LOSC Lille,Defensive Midfield,"Jan 3, 2004",19,Cameroon,€5.00m
Jonas Martin,LOSC Lille,Defensive Midfield,"Apr 9, 1990",33,France,€1.50m
André Gomes,LOSC Lille,Central Midfield,"Jul 30, 1993",29,Portugal,€16.00m
Timothy Weah,LOSC Lille,Right Midfield,"Feb 22, 2000",23,United States,€14.00m
Angel Gomes,LOSC Lille,Attacking Midfield,"Aug 31, 2000",22,England,€16.00m
Yusuf Yazıcı,LOSC Lille,Attacking Midfield,"Jan 29, 1997",26,Türkiye,€9.00m
Rémy Cabella,LOSC Lille,Attacking Midfield,"Mar 8, 1990",33,France,€5.00m
Mattéo Makhabe,LOSC Lille,Attacking Midfield,"Nov 28, 2003",19,France,€100k
Jonathan Bamba,LOSC Lille,Left Winger,"Mar 26, 1996",27,Cote d'Ivoire,€20.00m
Alan Virginius,LOSC Lille,Left Winger,"Jan 3, 2003",20,France,€4.00m
Edon Zhegrova,LOSC Lille,Right Winger,"Mar 31, 1999",24,Kosovo,€8.00m
Adam Ounas,LOSC Lille,Right Winger,"Nov 11, 1996",26,Algeria,€7.00m
Isaac Lihadji,LOSC Lille,Right Winger,"Apr 10, 2002",21,France,€1.20m
Ichem Ferrah,LOSC Lille,Right Winger,"Sep 23, 2005",17,France,€100k
Jonathan David,LOSC Lille,Centre-Forward,"Jan 14, 2000",23,Canada,€60.00m
Mohamed Bayo,LOSC Lille,Centre-Forward,"Jun 4, 1998",25,Guinea,€6.00m
Amine Messoussa,LOSC Lille,Centre-Forward,"Oct 12, 2004",18,France,€400k
Brice Samba,RC Lens,Goalkeeper,"Apr 25, 1994",29,France,€13.00m
Wuilker Fariñez,RC Lens,Goalkeeper,"Feb 15, 1998",25,Venezuela,€3.50m
Jean-Louis Leca,RC Lens,Goalkeeper,"Sep 21, 1985",37,France,€200k
Yannick Pandor,RC Lens,Goalkeeper,"May 1, 2001",22,Comoros,€150k
Kevin Danso,RC Lens,Centre-Back,"Sep 19, 1998",24,Austria,€22.00m
Facundo Medina,RC Lens,Centre-Back,"May 28, 1999",24,Argentina,€22.00m
Christopher Wooh,RC Lens,Centre-Back,"Sep 18, 2001",21,Cameroon,€6.00m
Jonathan Gradit,RC Lens,Centre-Back,"Nov 24, 1992",30,France,€5.00m
Julien Le Cardinal,RC Lens,Centre-Back,"Aug 3, 1997",25,France,€2.00m
Steven Fortes,RC Lens,Centre-Back,"Apr 17, 1992",31,Cape Verde,€400k
Adrien Louveau,RC Lens,Centre-Back,"Feb 1, 2000",23,France,€100k
Ismaëlo Ganiou,RC Lens,Centre-Back,"Mar 14, 2005",18,France,€50k
Deiver Machado,RC Lens,Left-Back,"Sep 2, 1993",29,Colombia,€4.00m
Massadio Haidara,RC Lens,Left-Back,"Dec 2, 1992",30,Mali,€3.00m
Ismaël Boura,RC Lens,Left-Back,"Aug 14, 2000",22,Comoros,€1.00m
Salis Abdul Samed,RC Lens,Defensive Midfield,"Mar 26, 2000",23,Ghana,€18.00m
Jean Onana,RC Lens,Defensive Midfield,"Jan 8, 2000",23,Cameroon,€6.00m
Patrick Berg,RC Lens,Defensive Midfield,"Nov 24, 1997",25,Norway,€4.50m
Yacouba Barry,RC Lens,Defensive Midfield,"Nov 25, 2002",20,France,€100k
Fodé Sylla,RC Lens,Defensive Midfield,"Apr 16, 2006",17,France,-
Seko Fofana,RC Lens,Central Midfield,"May 7, 1995",28,Cote d'Ivoire,€32.00m
Lukasz Poreba,RC Lens,Central Midfield,"Mar 13, 2000",23,Poland,€2.00m
Mamadou Camara,RC Lens,Central Midfield,"Oct 15, 2002",20,Senegal,€250k
Yaya Fofana,RC Lens,Central Midfield,"Jun 12, 2004",19,Cote d'Ivoire,€150k
Przemyslaw Frankowski,RC Lens,Right Midfield,"Apr 12, 1995",28,Poland,€9.00m
Jimmy Cabot,RC Lens,Right Midfield,"Apr 18, 1994",29,France,€3.50m
Angelo Fulgini,RC Lens,Attacking Midfield,"Aug 20, 1996",26,France,€9.00m
David Pereira da Costa,RC Lens,Attacking Midfield,"Jan 5, 2001",22,Portugal,€8.00m
Adrien Thomasson,RC Lens,Attacking Midfield,"Dec 10, 1993",29,France,€6.00m
Alexis Claude-Maurice,RC Lens,Attacking Midfield,"Jun 6, 1998",25,France,€4.50m
Gaël Kakuta,RC Lens,Attacking Midfield,"Jun 21, 1991",32,DR Congo,€1.80m
Nolan Bonte,RC Lens,Attacking Midfield,"Jan 19, 2004",19,France,€100k
Loïs Openda,RC Lens,Centre-Forward,"Feb 16, 2000",23,Belgium,€35.00m
Adam Buksa,RC Lens,Centre-Forward,"Jul 12, 1996",26,Poland,€5.00m
Ignatius Ganago,RC Lens,Centre-Forward,"Feb 16, 1999",24,Cameroon,€4.00m
Florian Sotoca,RC Lens,Centre-Forward,"Oct 25, 1990",32,France,€4.00m
Wesley Saïd,RC Lens,Centre-Forward,"Apr 19, 1995",28,France,€2.00m
Rémy Labeau Lascary,RC Lens,Centre-Forward,"Mar 3, 2003",20,Guadeloupe,€500k
Ibrahima Baldé,RC Lens,Centre-Forward,"Jan 17, 2003",20,France,€400k
Yvon Mvogo,FC Lorient,Goalkeeper,"Jun 6, 1994",29,Switzerland,€3.50m
Paul Nardi,FC Lorient,Goalkeeper,"May 18, 1994",29,France,€3.00m
Julian Pollersbeck,FC Lorient,Goalkeeper,"Aug 16, 1994",28,Germany,€500k
